Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2015-06-01,1600536787,507.6,84.6,423,Posturite (Uk) Limited,Environment and Community Safety,Furniture
Salford City Council,2015-06-01,601143030,576,0,576,Resolution Law,Customer and Support Services,Liability Insurance
Salford City Council,2015-06-01,601142994,671.45,111.91,559.54,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2015-06-01,1600535919,693,0,693,Kidz R Us The Lodge,Children's Services,Payts to Agencies
Salford City Council,2015-06-01,1600535677,700,0,700,Redacted Data,Children's Services,Other Prof Fees
Salford City Council,2015-06-01,601142137,720,0,720,Mikes Merc,Children's Services,Pupil Assistance
Salford City Council,2015-06-01,1600535676,769.2,128.2,641,Halliday James Ltd,Sustainable Regeneration,Equipment Purchase
Salford City Council,2015-06-01,601143036,782.28,130.38,651.9,Teaching Personnel Ltd,Children's Services,Supply Teach-Basic
Salford City Council,2015-06-01,601140483,800,0,800,Redacted Data,Children's Services,Payts to Agencies
Salford City Council,2015-06-01,601142996,855.8,142.63,713.17,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2015-06-01,601142998,908.03,151.34,756.69,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2015-06-01,601143017,980,0,980,S & M Hotel Ltd,"Community, Health & Social Care",Rents
Salford City Council,2015-06-01,601142256,990,0,990,Thc Travel,Children's Services,Pupil Assistance
Salford City Council,2015-06-01,1600536482,990.74,165.12,825.62,Salford Innovation Park Ltd,Sustainable Regeneration,Rents
Salford City Council,2015-06-01,1600536479,1017.03,48.43,968.6,Emo Oil Ltd,Sustainable Regeneration,Fuel Oil
Salford City Council,2015-06-01,1600536480,1017.03,48.43,968.6,Emo Oil Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2015-06-01,601143016,1085,0,1085,S & M Hotel Ltd,"Community, Health & Social Care",Rents
Salford City Council,2015-06-01,1600536815,1100,0,1100,Out In Salford,Customer and Support Services,Other Prof Fees
Salford City Council,2015-06-01,601141718,1106,0,1106,Redacted Data,"Community, Health & Social Care",Rents
Salford City Council,2015-06-01,601142054,1169.4,194.9,974.5,Renaissance Learning Uk Ltd,Children's Services,Computer Software
Salford City Council,2015-06-01,601143032,1205,0,1205,Glp Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2015-06-01,1600536805,1431.6,238.6,1193,Qualys Ltd,Customer and Support Services,IT  Licence Fee
Salford City Council,2015-06-01,601141881,1845,0,1845,Lancashire County Council,Children's Services,Training expenses
Salford City Council,2015-06-01,601141722,1903.28,0,1903.28,Home Focus,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-06-01,601142997,2147.59,357.93,1789.66,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2015-06-01,601142999,2396.48,399.41,1997.07,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2015-06-01,601143024,2510,0,2510,Resolution Law,Customer and Support Services,Liability Insurance
Salford City Council,2015-06-01,601143033,2545,0,2545,Higgs And Sons,Customer and Support Services,Liability Insurance
Salford City Council,2015-06-01,601142119,2610,0,2610,Lancashire County Council,Children's Services,Training expenses
Salford City Council,2015-06-01,1600536732,3557.25,0,3557.25,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2015-06-01,1600536753,3624.64,0,3624.64,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2015-06-01,601143040,3705,0,3705,The Pennine Acute Hospitals,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-06-01,1600536735,3745.46,0,3745.46,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2015-06-01,1600534497,3751.96,625.33,3126.63,Mitie Security Ltd,Sustainable Regeneration,Security Services
Salford City Council,2015-06-01,1600536754,3969,0,3969,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2015-06-01,1600536807,4833.33,0,4833.33,Beis Ruchel Girls School,Children's Services,Release of Provision
Salford City Council,2015-06-01,601143035,5820,970,4850,Gatenby Sanderson Limited,Customer and Support Services,Other Prof Fees
Salford City Council,2015-06-01,601143031,6034.27,0,6034.27,Glp Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2015-06-01,1600536661,8131.2,1355.2,6776,Saltax Ltd,Children's Services,Clothing & Uniforms
Salford City Council,2015-06-01,1600533838,8312.4,1385.4,6927,Ingenitech Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2015-06-01,1600533860,8312.4,1385.4,6927,Ingenitech Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2015-06-01,1600536748,13710,0,13710,Footsteps A Path To Change Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-01,1600536375,33800.84,5633.47,28167.37,Mitie Security Ltd,Environment and Community Safety,Security/Equipment
Salford City Council,2015-06-01,1600536779,211000.01,35166.67,175833.34,Career Connect,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537034,9584.68,0,9584.68,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537460,6710.93,0,6710.93,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537438,4248.89,0,4248.89,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537445,4245.69,0,4245.69,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537430,4182.74,0,4182.74,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537433,3837.71,0,3837.71,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537436,3837.71,0,3837.71,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537428,3834.82,0,3834.82,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537441,3777.96,0,3777.96,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,1600537051,3374.35,0,3374.35,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-06-02,601142995,921.3,153.55,767.75,Language Empire Limited,Children's Services,Interpreter/translat
Salford City Council,2015-06-02,1600537044,535.38,0,535.38,Courtyard Care Ltd,Children's Services,Payts to Agencies
