Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2013-10-01,601098607,1117.76,0,1117.76,C Smithies Builders,Sustainable Regeneration,Other Prof Fees
Salford City Council,2013-10-01,601098605,793.22,0,793.22,G Jones Builders,Sustainable Regeneration,Other Prof Fees
Salford City Council,2013-10-01,601098599,742.36,0,742.36,Hughes Brothers Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2013-10-01,601098609,738.57,0,738.57,Dial Construction Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2013-10-01,601098590,525,0,525,S & M Hotel Ltd,Community Health & Social Care,Rents
Salford City Council,2013-10-01,1600482034,534.94,89.16,445.78,E & J Kane Ltd,Capital Expenditure,Works & Building
Salford City Council,2013-10-01,53467007,541.18,90.2,450.98,Makro Self Service,Customer and Support Services,Cleaning Materials
Salford City Council,2013-10-01,1600483619,544.5,90.75,453.75,Calligraphy Uk Ltd,Environment and Community Safety,Gen Resaleable Items
Salford City Council,2013-10-01,1600481668,563.93,93.98,469.95,Bunzl Catering Supplies,Environment and Community Safety,Catering Materials
Salford City Council,2013-10-01,1600481687,564.9,94.15,470.75,Rm Education Plc,Children's Services,IT  Licence Fee
Salford City Council,2013-10-01,601098634,615,0,615,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2013-10-01,601098575,642.53,30.6,611.93,British Gas Business,Children's Services,Electricity
Salford City Council,2013-10-01,601098641,660,0,660,Redacted Data,Capital Expenditure,Disturbance Payments
Salford City Council,2013-10-01,1600482688,712.8,118.8,594,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2013-10-01,1600482689,712.8,118.8,594,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2013-10-01,1600482870,712.8,118.8,594,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2013-10-01,1600483631,714.28,0,714.28,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,2203555465,746.3,124.38,621.92,Arval,Environment and Community Safety,Vehicle Lease
Salford City Council,2013-10-01,1600481829,780,130,650,West March Systems Ltd,Children's Services,Postage
Salford City Council,2013-10-01,1600481956,792,0,792,Small Wonders Day Nursery Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,601098593,795.4,132.56,662.84,The Nas Services Ltd,Community Health & Social Care,Day Care
Salford City Council,2013-10-01,601098654,841.96,140.32,701.64,Vista Group Plc,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-10-01,1600483615,845.5,0,845.5,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600483620,845.5,0,845.5,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600483610,846.45,0,846.45,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600483613,846.45,0,846.45,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600483609,875.9,0,875.9,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600482937,900,0,900,The Tutor Trust,Children's Services,Pupil Assistance
Salford City Council,2013-10-01,1600482066,992.16,165.36,826.8,Dlp Services (Northern) Ltd,Community Health & Social Care,Adapts/Alterations
Salford City Council,2013-10-01,601098667,993.44,165.57,827.87,S I G Roofing Supplies Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-10-01,1600481663,1031.76,171.96,859.8,Astor-Bannerman (Medical) Ltd,Community Health & Social Care,Equipment Repair
Salford City Council,2013-10-01,1600482065,1045.44,174.24,871.2,Dlp Services (Northern) Ltd,Community Health & Social Care,Adapts/Alterations
Salford City Council,2013-10-01,601098588,1050,0,1050,Redacted Data,Sustainable Regeneration,Rents
Salford City Council,2013-10-01,1600482001,1072.47,178.74,893.73,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2013-10-01,1600482033,1111.3,185.21,926.09,E & J Kane Ltd,Sustainable Regeneration,Mobile Phones
Salford City Council,2013-10-01,601098647,1161.25,193.57,967.68,Pts,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-10-01,601098645,1266,211.02,1054.98,Bullock Construction Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-10-01,601097026,1270.74,0,1270.74,Bury Council,Sustainable Regeneration,NNDR
Salford City Council,2013-10-01,1600482032,1320.13,220.01,1100.12,E & J Kane Ltd,Environment and Community Safety,Insurance
Salford City Council,2013-10-01,601098660,1429.18,238.2,1190.98,Rixonway Kitchens Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-10-01,601098597,1546,0,1546,Handicare,Capital Expenditure,Improvement Grants
Salford City Council,2013-10-01,601098587,1606,0,1606,Creative Support Limited,Community Health & Social Care,Supported Tenancies
Salford City Council,2013-10-01,601098663,1622.25,270.36,1351.89,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-10-01,601098611,1912.08,318.68,1593.4,Pressure Coolers Ltd,Customer and Support Services,Provisions
Salford City Council,2013-10-01,1600482989,2000,0,2000,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2013-10-01,601098626,2000,0,2000,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2013-10-01,1600483611,2141.94,356.99,1784.95,Burnt Tree Group Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2013-10-01,601098669,2163.24,0,2163.24,Morgan Properties,Capital Expenditure,Miscellaneous Exes
Salford City Council,2013-10-01,53467024,2164,0,2164,Alexander Support Serv,Sustainable Regeneration,Travel
Salford City Council,2013-10-01,601098635,2182.03,0,2182.03,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2013-10-01,1600481660,2205.9,367.65,1838.25,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2013-10-01,1600481667,2224.8,370.8,1854,James Leckey Design Ltd,Community Health & Social Care,Epuipment-paediatric
Salford City Council,2013-10-01,601098661,2326.76,387.82,1938.94,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-10-01,1600481833,2357.14,0,2357.14,Alliance Care And Education,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600481681,2400,400,2000,Nxo Preston,Community Health & Social Care,Training expenses
Salford City Council,2013-10-01,1600481690,2592,432,2160,Hint Media,Children's Services,Marketing/Publicity
Salford City Council,2013-10-01,601098565,2651.47,441.91,2209.56,Mitie Security Ltd,Capital Expenditure,Other Works
Salford City Council,2013-10-01,601098600,2677.86,0,2677.86,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2013-10-01,601098286,2761.83,0,2761.83,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600481849,2988.4,0,2988.4,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600481969,3007,0,3007,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,601098602,3044.94,0,3044.94,Stannah Stairlifts Limited.,Capital Expenditure,Improvement Grants
Salford City Council,2013-10-01,1600481689,3090,515,2575,Hint Media,Office of the Chief Executive,Marketing/Publicity
Salford City Council,2013-10-01,1600481848,3107.44,0,3107.44,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,601098594,3109.92,518.32,2591.6,The Nas Services Ltd,Community Health & Social Care,Day Care
Salford City Council,2013-10-01,1600481986,3151.15,0,3151.15,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600482072,3178.9,529.82,2649.08,E & J Kane Ltd,Capital Expenditure,Works & Building
Salford City Council,2013-10-01,1600481847,3232.99,0,3232.99,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600481970,3233.3,0,3233.3,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,601098592,3265.41,544.23,2721.18,The Nas Services Ltd,Community Health & Social Care,Day Care
Salford City Council,2013-10-01,601098287,3299.33,0,3299.33,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,601098293,3307.39,0,3307.39,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600481982,3317,0,3317,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,601098292,3317,0,3317,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600481975,3342.57,0,3342.57,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600481985,3342.57,0,3342.57,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600481972,3374.35,0,3374.35,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-10-01,1600481990,3374.35,0,3374.35,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
