Ã¯»¿Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2020-06-01,601277399,3669.00,611.50,3057.50,Addleshaw Goddard Llp,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-06-01,6003046736,560.00,0.00,560.00,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-06-01,1600648449,2000.00,0.00,2000.00,Bayis Sheli Ltd - Burlington House,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-01,601276020,783.00,0.00,783.00,Blackpool Teaching Hospitals Nhs Ft,Public Health,Payts to Agencies
Salford City Council,2020-06-01,1600648403,8824.62,0.00,8824.62,Bolton Council,People (Childrens) Service Group,Consultants
Salford City Council,2020-06-01,6003046637,555.70,11.70,544.00,Boots Store 1178,Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046670,1857.50,108.31,1749.19,Bowness Pharmacy (Little Hulton),Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046700,780.00,0.00,780.00,Clarendon Medical Practice,Public Health,Payts to Agencies
Salford City Council,2020-06-01,601277413,1938.96,0.00,1938.96,Clarendon Medical Practice,Public Health,Payts to Agencies
Salford City Council,2020-06-01,1600648470,1900.00,0.00,1900.00,Edintervention Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-01,6003046672,2158.35,122.64,2035.71,Georgemead Ltd T/A Cohens Chemist,Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046726,600.00,0.00,600.00,Iz *Kevin Booth Painting,People (Adults) - CHSC,Other Professional Fees
Salford City Council,2020-06-01,6003046730,600.00,0.00,600.00,Iz *Kevin Booth Painting,People (Adults) - CHSC,Other Professional Fees
Salford City Council,2020-06-01,6003046735,600.00,0.00,600.00,Iz *Kevin Booth Painting,People (Adults) - CHSC,Other Professional Fees
Salford City Council,2020-06-01,1600648434,684.00,114.00,570.00,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-01,1600648435,2280.00,380.00,1900.00,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-01,1600648444,4332.00,722.00,3610.00,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-01,601277336,1175.70,0.00,1175.70,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-01,6003046675,1289.96,75.86,1214.10,K'S Chemist,Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046648,1122.74,22.22,1100.52,Lloyds Pharmacy In Sainsburys,Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046676,570.86,36.18,534.68,Lloyds Pharmacy Ltd - 90 Liverpool,Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046677,550.66,30.37,520.29,Lloyds Pharmacy Ltd -178 Liverpool,Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046679,2254.98,130.67,2124.31,Lloyds Pharmacy Ltd-Pendleton Gatew,Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046647,515.56,11.46,504.10,Lloyds Pharmacy-109 Langworthy Road,Public Health,Payts to Agencies
Salford City Council,2020-06-01,601277362,1785.00,0.00,1785.00,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Unitary Charge
Salford City Council,2020-06-01,1600648271,24576.00,4096.00,20480.00,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,2020-06-01,1600648196,108382.80,18063.80,90319.00,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-06-01,1600648469,810.00,135.00,675.00,Ohec,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-06-01,601277414,1249.68,0.00,1249.68,Ordsall Health Surgery,Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046690,1719.97,105.62,1614.35,Pct Healthcare Ltd (Hodg),Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046659,590.18,13.38,576.80,Pct Healthcare Ltd (Hult),Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046691,1763.14,108.67,1654.47,Pct Healthcare Ltd (Mars),Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046688,1922.12,125.53,1796.59,Pct Healthcare Ltd-Coniston Avenue,Public Health,Payts to Agencies
Salford City Council,2020-06-01,1600648472,6759.00,1126.50,5632.50,Reactec Ltd,Place Directorate,Equipment Purchase
Salford City Council,2020-06-01,601277358,573.12,0.00,573.12,Redacted Data,People (Childrens) Service Group,Contingency
Salford City Council,2020-06-01,601277415,876.10,0.00,876.10,Redacted Data,Public Health,Payts to Agencies
Salford City Council,2020-06-01,601277411,1839.36,0.00,1839.36,Redacted Data,Public Health,Payts to Agencies
