Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2012-12-01,41239713,2605,0,2605,Alexander Support Serv,Sustainable Regeneration,Travel
Salford City Council,2012-12-03,1600455155,840,140,700,Acas,"Community, Health & Social Care",Other Prof Fees
Salford City Council,2012-12-03,601074560,1045.23,174.2,871.03,Acumen,Customer and Support Services,Liability Insurance
Salford City Council,2012-12-03,601074559,1441.91,240.31,1201.6,Acumen,Customer and Support Services,Liability Insurance
Salford City Council,2012-12-03,601072210,4512,752,3760,Addleshaw Goddard,Children's Services,Legal Fees
Salford City Council,2012-12-03,601073340,539.42,89.9,449.52,Adt Fire & Security Plc,Capital Expenditure,Works & Building
Salford City Council,2012-12-03,1600454606,547.47,91.24,456.23,Airwave,Environment and Community Safety,Security/Equipment
Salford City Council,2012-12-03,1600455624,13692.85,0,13692.85,Alliance Care And Education,Children's Services,Payts to Agencies
Salford City Council,2012-12-03,601072854,1500,250,1250,Amblehurst Hotel,Sustainable Regeneration,Support for the Homeless
Salford City Council,2012-12-03,601074526,14100,2350,11750,Aon Ltd,Customer and Support Services,Repaymt-Insur Hldg
Salford City Council,2012-12-03,1600456943,1422.48,0,1422.48,B Littler & Sons,"Community, Health & Social Care",Funerals
Salford City Council,2012-12-03,41485300,536.57,13.85,522.72,Brake Bros Ltd,Environmental and Community Health,Food and refreshments
Salford City Council,2012-12-03,1600455610,5443.2,907.2,4536,Broxap Limited,Environment and Community Safety,Accessibility Adaptations & Alterations
Salford City Council,2012-12-03,1600455612,11232,1872,9360,Broxap Limited,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2012-12-03,1600455391,2025,0,2025,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2012-12-03,1600455614,4050,0,4050,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2012-12-03,1600456222,2154,359,1795,"C. Masters Decorators Ltd.,",Environment and Community Safety,Accessibility Adaptations & Alterations
Salford City Council,2012-12-03,1600455623,108000,18000,90000,Careers Solutions,Children's Services,Grants
Salford City Council,2012-12-03,601074524,292890.73,48815.12,244075.61,Carillion Construction Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2012-12-03,601074517,908.88,0,908.88,Caritas Diocese Of Salford,Children's Services,Other Prof Fees
Salford City Council,2012-12-03,601074515,1363.32,0,1363.32,Caritas Diocese Of Salford,Children's Services,Other Prof Fees
Salford City Council,2012-12-03,1600455568,1700,0,1700,Creative Industries In Salford Ltd,Children's Services,Marketing/Publicity
Salford City Council,2012-12-03,1600457226,37558.75,0,37558.75,Cross Roads Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2012-12-03,1600457228,37558.75,0,37558.75,Cross Roads Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2012-12-03,1600456185,1472.42,245.4,1227.02,Cruden Property Services Ltd.,Office of the Chief Executive,Electricity
