Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2015-05-01,1600534204,572.10,95.35,476.75,1St Base Solutions Ltd,Children's Services,Clothing & Uniforms
Salford City Council,2015-05-01,601140748,7033.96,0.00,7033.96,Abbotsound Limited,"Community, Health & Social Care",Day Care
Salford City Council,2015-05-01,601141101,7033.96,0.00,7033.96,Abbotsound Limited,"Community, Health & Social Care",Day Care
Salford City Council,2015-05-01,1600534140,29535.20,0.00,29535.20,Age Concern Salford,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-05-01,1600533645,520.97,86.83,434.14,Air Products Plc,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-05-01,1600534667,595.20,99.20,496.00,Alan Franklin Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2015-05-01,1600534668,639.36,106.56,532.80,Alan Franklin Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2015-05-01,1600534725,28974.96,4829.16,24145.80,Balfour Beatty Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2015-05-01,1600535045,12621.42,0.00,12621.42,Birtenshaw Hall,Children's Services,Non-Maint Spec Schls
Salford City Council,2015-05-01,1600535044,15395.30,0.00,15395.30,Birtenshaw Hall,Children's Services,Non-Maint Spec Schls
Salford City Council,2015-05-01,1600535043,15669.11,0.00,15669.11,Birtenshaw Hall,Children's Services,Non-Maint Spec Schls
Salford City Council,2015-05-01,601140944,39450.87,0.00,39450.87,Bnos Yisroel Schools Manchester Ltd,Children's Services,Release of Provision
Salford City Council,2015-05-01,601140961,1000.00,0.00,1000.00,Broadoak Cp School,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,1600534671,3745.46,0.00,3745.46,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2015-05-01,1600534673,3745.46,0.00,3745.46,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2015-05-01,601140950,2361.62,0.00,2361.62,Caritas Care Limtied,Children's Services,Payts to Agencies
Salford City Council,2015-05-01,601141073,12427.36,0.00,12427.36,Caritas Care Limtied,Children's Services,Payts to Agencies
Salford City Council,2015-05-01,601141038,12750.00,0.00,12750.00,Carr Properties Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2015-05-01,1600534655,659.76,109.96,549.80,Cefndy Enterprises Healthcare,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-05-01,601140963,2000.00,0.00,2000.00,Chatsworth High School,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,601140957,1000.00,0.00,1000.00,Clarendon Road Community  Primary,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,1600535228,653.75,0.00,653.75,Cst North West,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,1600534771,936.00,0.00,936.00,Dlf Trifolium Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-05-01,1600534538,591.96,98.66,493.30,Dlp Services (Northern) Ltd,"Community, Health & Social Care",Adapts/Alterations
Salford City Council,2015-05-01,601141012,20750.00,0.00,20750.00,Ds Properties Cheshire Llp,Capital Expenditure,Improvement Grants
Salford City Council,2015-05-01,601141037,20750.00,0.00,20750.00,Ds Properties Cheshire Llp,Capital Expenditure,Improvement Grants
Salford City Council,2015-05-01,601141020,56646.00,0.00,56646.00,Environmental Resources Management,Capital Expenditure,Unidentified Income
Salford City Council,2015-05-01,1600534727,60768.59,10128.10,50640.49,Eric Wright Civil Engineering Ltd,Capital Expenditure,Engineers Fee Based
Salford City Council,2015-05-01,1600533265,2808.00,468.00,2340.00,Etron Uk Ltd,Capital Expenditure,Works & Building
Salford City Council,2015-05-01,1600533917,1654.36,275.72,1378.64,F. R. Sharrock Limited,Capital Expenditure,Vehicle Related Expenditure
Salford City Council,2015-05-01,601141022,1800.00,0.00,1800.00,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2015-05-01,601140893,718.06,0.00,718.06,Great Places Housing Association,Sustainable Regeneration,Grants - External
Salford City Council,2015-05-01,601140892,914.92,0.00,914.92,Great Places Housing Association,Sustainable Regeneration,Grants - External
Salford City Council,2015-05-01,601141041,9530.00,0.00,9530.00,Greater Manchester West,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2015-05-01,601140772,540.00,90.00,450.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2015-05-01,601140562,738.00,123.00,615.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2015-05-01,601140563,838.80,139.80,699.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2015-05-01,1600535293,3600.00,600.00,3000.00,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2015-05-01,1600535291,1878.26,313.04,1565.22,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2015-05-01,1600533851,17716.49,2952.75,14763.74,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2015-05-01,1600535324,10185.71,0.00,10185.71,Hexagon Care Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-05-01,601140967,1000.00,0.00,1000.00,Irlam Primary,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,1600534406,10512.00,1752.00,8760.00,J & P Moorcroft Ltd,Capital Expenditure,Works & Building
Salford City Council,2015-05-01,1600533906,5880.00,980.00,4900.00,Lawrence Harvey Search&Selection,Capital Expenditure,External Fees-Other
Salford City Council,2015-05-01,1600533914,3339.34,0.00,3339.34,Lorimer Foster Services,Children's Services,Payts to Agencies
Salford City Council,2015-05-01,601140959,1000.00,0.00,1000.00,Monton Green Primary,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,601140964,2000.00,0.00,2000.00,Moorside High,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,601140958,1000.00,0.00,1000.00,Moorside Primary School,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,601140956,1000.00,0.00,1000.00,North Walkden Primary School,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,601140978,1000.00,0.00,1000.00,North Walkden Primary School,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,601140603,2500.00,416.67,2083.33,Northgate Information Solutions,Customer and Support Services,IT  Licence Fee
Salford City Council,2015-05-01,1600534359,530.40,88.40,442.00,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-05-01,1600534353,712.80,118.80,594.00,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-05-01,601141030,600.00,0.00,600.00,Paypoint Plc,Sustainable Regeneration,Provisions
Salford City Council,2015-05-01,1600533916,1540.08,256.68,1283.40,Pressure Coolers Ltd,Customer and Support Services,Provisions
Salford City Council,2015-05-01,1600533915,1659.48,276.58,1382.90,Pressure Coolers Ltd,Customer and Support Services,Provisions
Salford City Council,2015-05-01,601140286,27000.00,4500.00,22500.00,Pricewaterhousecoopers Llp,Sustainable Regeneration,Consult/Contractors
Salford City Council,2015-05-01,601140084,3791.20,630.00,3161.20,Redacted Data,Children's Services,Agency Fees
Salford City Council,2015-05-01,601139790,3053.12,0.00,3053.12,Redacted Data,"Community, Health & Social Care",Carers Respite
Salford City Council,2015-05-01,601140573,2854.25,0.00,2854.25,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2015-05-01,601141035,5040.00,0.00,5040.00,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-05-01,601141039,10000.00,0.00,10000.00,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-05-01,601141011,10000.00,0.00,10000.00,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-05-01,601140917,8000.00,0.00,8000.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2015-05-01,601141034,682.50,0.00,682.50,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,601141021,2288.92,0.00,2288.92,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2015-05-01,601140952,1533.28,0.00,1533.28,Redacted Data,Children's Services,Rents
Salford City Council,2015-05-01,601140948,4292.00,0.00,4292.00,Redacted Data,Children's Services,Rents
Salford City Council,2015-05-01,601139785,3439.13,0.00,3439.13,Royal Mail Group Plc,Customer and Support Services,Print & Photocopying
Salford City Council,2015-05-01,1600535065,124620.14,20770.02,103850.12,S & W Tlp Education Partnership Ltd,Children's Services,Other Prof Fees
Salford City Council,2015-05-01,1600534688,195549.51,32591.58,162957.93,S & W Tlp Education Partnership Ltd,Children's Services,Other Prof Fees
Salford City Council,2015-05-01,1600535312,197584.10,32930.68,164653.42,S & W Tlp Education Partnership Ltd,Children's Services,Other Prof Fees
Salford City Council,2015-05-01,1600534032,17578.25,2929.71,14648.54,S & W Tlp Education Partnership Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2015-05-01,1600534008,851.40,141.90,709.50,Sarabec Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-05-01,1600534012,2170.00,0.00,2170.00,Social Care Services (Clayton) Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-05-01,601140962,1000.00,0.00,1000.00,St Andrews Methodist Primary,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,601140960,1000.00,0.00,1000.00,St Johns Ce Primary,Children's Services,Pupil Assistance
Salford City Council,2015-05-01,1600533912,702.00,117.00,585.00,Supplies Team,"Community, Health & Social Care",Stationery
Salford City Council,2015-05-01,601141009,12750.00,0.00,12750.00,Td Investments Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2015-05-01,601141008,21250.00,0.00,21250.00,Td Investments Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2015-05-01,601141010,34000.00,0.00,34000.00,Td Investments Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2015-05-01,601140583,876.00,146.00,730.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2015-05-01,601140363,1134.00,189.00,945.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2015-05-01,601140584,1903.20,317.20,1586.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2015-05-01,1600534096,700.60,116.77,583.83,Terberg Matec Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-05-01,1600534210,5279.17,0.00,5279.17,The Albion Academy,Sustainable Regeneration,Electricity
Salford City Council,2015-05-01,601140257,1426.00,0.00,1426.00,The Hawthorn Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-05-01,1600535167,558.60,93.10,465.50,Tribune Avs Ltd,Sustainable Regeneration,Security Sys R & Mnt
Salford City Council,2015-05-01,1600534150,898.00,0.00,898.00,Unitas,Children's Services,Training expenses
Salford City Council,2015-05-01,1600534009,812.56,135.43,677.13,Vanguard Storage Systems,Sustainable Regeneration,Removal Expenses
Salford City Council,2015-05-01,1600534603,1298.63,216.44,1082.19,Vodafone Formerly Cable & Wireless,Customer and Support Services,Computer Equipment
Salford City Council,2015-05-01,601140247,930.00,0.00,930.00,White Lodge Hotel,"Community, Health & Social Care",Rents
