Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L descript
Salford City Council,2018-07-02,1600608629,3564,594,2970,Knight Kavanagh & Page Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2018-07-02,601221231,20516.61,0,20516.61,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221235,7209.05,0,7209.05,David Marlow Building Contractor Lt,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221228,4200.92,0,4200.92,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221223,6431.17,0,6431.17,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221225,6868.59,0,6868.59,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221222,7081.03,0,7081.03,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221240,7170.02,0,7170.02,Hughes Brothers Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221237,2183.52,0,2183.52,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221232,4583.43,0,4583.43,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221230,6370,0,6370,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221227,7315.75,0,7315.75,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,601221234,14875,0,14875,Pollock Lifts,Capital Expenditure,Improvement Grants
Salford City Council,2018-07-02,1600609257,2592,432,2160,R B Asbestos Consultants,Capital Expenditure,Works & Building
Salford City Council,2018-07-02,1600609384,1854,309,1545,Teleshore Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-07-02,1600609371,3451.5,575.25,2876.25,Groundwork Landscapes Ltd,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2018-07-02,1600609373,7066.03,1177.67,5888.36,Horticon Ltd,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2018-07-02,601221196,3000,500,2500,G & J Seddon Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-07-02,1600608627,681.52,113.59,567.93,H Jenkinson & Company Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-07-02,601221210,560.5,93.42,467.08,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-07-02,601221209,589.48,98.25,491.23,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-07-02,601221208,624,104,520,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-07-02,601221207,1175.03,195.84,979.19,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-07-02,601219965,18579.6,3096.6,15483,T/A Amblehurst Hotel,People (Adults) - CHSC,Rents
Salford City Council,2018-07-02,601221178,579.84,96.64,483.2,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-07-02,601221180,724.8,120.8,604,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-07-02,601221181,724.8,120.8,604,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-07-02,601221179,1249.5,208.25,1041.25,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-07-02,601221211,2240,0,2240,Csin Cic,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-07-02,1600609383,29785.44,0,29785.44,Egerton High School,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-07-02,1600609375,2214.29,0,2214.29,Caritas Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-02,1600609385,3100,0,3100,Papyrus Prevention Of Young Suicide,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-02,601221219,665.7,0,665.7,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-07-02,1600609394,12420,0,12420,University Of Salford,People (Childrens) Service Group,Training expenses
Salford City Council,2018-07-02,1600609409,19577.52,0,19577.52,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-07-02,1600609407,641845.07,106974.18,534870.89,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-07-02,601221183,56000,0,56000,The Lowry Centre Trust,Place Directorate,Grants
Salford City Council,2018-07-02,1600609014,780.97,130.16,650.81,Northgate Vehicle Hire (Nw) Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2018-07-02,1600609279,602.99,100.5,502.49,Alliance Disposables Ltd,Place Directorate,Cleaning Materials
Salford City Council,2018-07-02,1600609364,1338,0,1338,National Retail Systems Ltd,Place Directorate,IT  Licence Fee
Salford City Council,2018-07-02,1600608931,2919.4,486.57,2432.83,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2018-07-02,601221216,540,0,540,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221187,558,93,465,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221214,615,0,615,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221190,792,132,660,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221215,916.6,0,916.6,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221185,1170,195,975,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221193,1238.4,206.4,1032,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221217,1292.4,0,1292.4,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221194,2172,362,1810,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221195,3339,556.5,2782.5,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,601221191,3670.8,569.3,3101.5,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-07-02,1600609403,740.86,123.48,617.38,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-07-02,1600609395,1499.18,249.86,1249.32,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-07-02,1600609402,2597.86,432.98,2164.88,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-07-02,601221255,9972,1662,8310,Cipfa Business Ltd,Service Reform (Corp Bus & Transform),Vehicle Hire - perm
Salford City Council,2018-07-02,wzgnzldkk,528,0,528,Hmcourts-Service,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2018-07-02,mvrzddpfb,7488,0,7488,Hmcourts-Service,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2018-07-03,1600608945,19075.05,3179.18,15895.87,Click Fire & Security Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-07-03,1600609489,29770,4961.67,24808.33,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2018-07-03,601220757,850,0,850,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2018-07-03,601220759,3240,0,3240,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2018-07-03,6002575358,24040.52,0,24040.52,Three Circles Fostering,People (Childrens) Service Group,VAT Adjustment
Salford City Council,2018-07-03,6002575353,12396.2,0,12396.2,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-07-03,6002575349,17200,0,17200,Cambian Childcare Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-07-03,6002575370,15000,0,15000,Care 4 Children Residential Service,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-07-03,6002575351,12428,0,12428,Care Today Childrens Services,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-07-03,6002575347,16400,0,16400,Meadows Care Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-07-03,6002575364,13007.6,0,13007.6,After Care (Nw) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575362,14686,0,14686,After Care (Nw) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575334,23104.96,0,23104.96,Alpha Plus Fostering  Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575354,6589.2,0,6589.2,By The Bridge,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575356,9894.57,0,9894.57,Capstone Foster Care (North) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575359,12000,0,12000,Choices Home For Children Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575363,2264.61,0,2264.61,Compass Fostering North Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575365,3906.12,0,3906.12,Compass Fostering North Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575372,17000,0,17000,Cornerstone Childrens Homes Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575377,13980,0,13980,Courtyard Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575330,3628.28,0,3628.28,Crossroads Together Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575333,2444.96,0,2444.96,Fairfield Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575345,11016,0,11016,Fairfield Residential,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575378,16000,0,16000,Family Child Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575341,8993.44,0,8993.44,Foster Care Associates Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575337,3200,0,3200,Foster Cares Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575344,32266.87,0,32266.87,Fostering Solutions Limited,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575371,7280,0,7280,Fusion Fostering,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575366,16480,0,16480,Holistic Approach Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575343,15024,0,15024,Horizon Care & Education Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575373,6110,0,6110,Jan Anderson T/A A1 Foster Care,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575340,15800,0,15800,Keys Childcare Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575368,19657.14,0,19657.14,Lonsdale Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575379,18800,0,18800,Lytham Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,601221282,3711.43,0,3711.43,Meadows Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575357,22372,0,22372,Nugent Care,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575367,8204,0,8204,Orange Grove Foster Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575376,19800,0,19800,Outbound Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575348,3120,0,3120,Parallel Parents,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575374,12800,0,12800,Pebbles Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575346,3404.04,0,3404.04,Perpetual Fostering Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575332,16383.72,0,16383.72,Reed Specialist Recruitment Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575355,23800,0,23800,Sandcastle Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575336,11984,0,11984,Social Care Services (Clayton) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-07-03,6002575329,18000,0,18000,Social Care Services (Clayton) Ltd,People (Childrens) Service Group,Payts to Agencies
