Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2017-04-03,601189284,3030.50,504.00,2526.50,Redacted Data,Children's Services,Agency Fees
Salford City Council,2017-04-03,601187282,660.00,110.00,550.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-04-03,601188564,2891.18,481.86,2409.32,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-04-03,601189003,827.34,137.89,689.45,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-04-03,601189001,750.00,125.00,625.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-04-03,601189002,750.00,125.00,625.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-04-03,601187274,1270.80,0.00,1270.80,Aqa Education,Children's Services,Class Supplies Capit
Salford City Council,2017-04-03,1600582067,2697.77,449.63,2248.14,Insight Direct (Uk) Limited,Children's Services,Computer Equipment
Salford City Council,2017-04-03,1600582069,3594.00,599.00,2995.00,Pilat (Uk) Ltd,Corporate Business,Computer Software
Salford City Council,2017-04-03,1600582068,1787.94,297.99,1489.95,Connevans Limited,Children's Services,Equipment Purchase
Salford City Council,2017-04-03,1600579062,809.83,134.97,674.86,Calligraphy Uk Ltd,Environment and Community Safety,Gen Resaleable Items
Salford City Council,2017-04-03,1600579063,693.08,115.51,577.57,Calligraphy Uk Ltd,Environment and Community Safety,Gen Resaleable Items
Salford City Council,2017-04-03,601187748,1248.00,208.00,1040.00,The School Of Military Ltd,Children's Services,Hire of Facilities
Salford City Council,2017-04-03,1600582519,2705.12,450.85,2254.27,J Fletcher Engineers Ltd,Sustainable Regeneration,Internet
Salford City Council,2017-04-03,1600582650,1306.80,217.80,1089.00,Info Technology Supply Ltd,Corporate Business,IT  Licence Fee
Salford City Council,2017-04-03,601189089,1543.20,257.20,1286.00,Cunningham & Lindsey United Kingdom,Corporate Business,Liability Insurance
Salford City Council,2017-04-03,601189350,22800.00,0.00,22800.00,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-04-03,601189349,20000.00,0.00,20000.00,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-04-03,601189352,9396.00,0.00,9396.00,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-04-03,601188039,5994.00,0.00,5994.00,Bolton Council,Children's Services,Marketing/Publicity
Salford City Council,2017-04-03,1600582191,9030.00,1505.00,7525.00,Agito Transport Planning Llp,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-04-03,1600581873,1933.70,0.00,1933.70,Spw Consultancy Ltd,Children's Services,Other Prof Fees
Salford City Council,2017-04-03,1600583299,33100.00,5516.67,27583.33,The Lowry Centre Limited,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-04-03,1600583298,27400.00,4566.67,22833.33,The Lowry Centre Limited,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-04-03,601189342,1010.00,0.00,1010.00,Paypoint Plc,Sustainable Regeneration,Premises Insurance
Salford City Council,2017-04-03,wkrltfjue,597.60,0.00,597.60,Browns Ctp Ltd,Corporate Business,Printing & Photocopying
Salford City Council,2017-04-03,601189306,11559.15,0.00,11559.15,Cleggs Chilled Food Service,Environment and Community Safety,Provisions
Salford City Council,2017-04-03,1600583385,11455.87,1909.31,9546.56,Enviro Technology Services Plc,Environment and Community Safety,Sampling
Salford City Council,2017-04-03,1600581886,1170.00,0.00,1170.00,Lancashire County Council,Children's Services,Training expenses
Salford City Council,2017-04-03,1600581882,720.00,0.00,720.00,Lancashire County Council,Children's Services,Training expenses
Salford City Council,2017-04-03,1600581883,720.00,0.00,720.00,Lancashire County Council,Children's Services,Training expenses
Salford City Council,2017-04-03,1600581884,675.00,0.00,675.00,Lancashire County Council,Children's Services,Training expenses
Salford City Council,2017-04-03,601187846,1059.49,0.00,1059.49,Jacobs,Corporate Business,VAT Adjustment
Salford City Council,2017-04-03,1600582857,23856.00,3976.00,19880.00,Local Government Information Unit,Office of the Chief Executive,Vehicle Hire - perm
Salford City Council,2017-04-03,1600582851,2882.62,480.44,2402.18,T/A Labc Training,Sustainable Regeneration,Vehicle Hire - perm
Salford City Council,2017-04-03,601187783,950.00,0.00,950.00,Step Ahead Resource Services Ltd,Children's Services,Vehicle RunningCosts
Salford City Council,2017-04-03,1600570741,503.63,83.94,419.69,Hodgkinson Bennis Limited,Capital Expenditure,Works & Building
Salford City Council,2017-04-04,1600582182,3840.00,640.00,3200.00,C P Davidson & Sons Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2017-04-04,1600581984,2146.20,357.69,1788.51,Cartridge Care Ltd,Children's Services,Computer Consumables
Salford City Council,2017-04-04,1600581989,1323.70,0.00,1323.70,Ashworth Events Limited,Office of the Chief Executive,Consult/Contractors
Salford City Council,2017-04-04,1600581988,1000.00,0.00,1000.00,Ashworth Events Limited,Office of the Chief Executive,Consult/Contractors
Salford City Council,2017-04-04,nprqomtlr,1200.00,0.00,1200.00,Www.Djgearhire.Com,Sustainable Regeneration,Consultants
Salford City Council,2017-04-04,1600582303,34990.28,5831.71,29158.57,Mitie Security Ltd,Environment and Community Safety,Contractors
Salford City Council,2017-04-04,1600582377,578.40,96.40,482.00,G Jones Builders Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-04-04,1600581889,2016.00,336.00,1680.00,Csl Dual Com Ltd,Environment and Community Safety,Equipment Purchase
Salford City Council,2017-04-04,burkltahf,4122.58,0.00,4122.58,Cheshire Food Services,Environment and Community Safety,Food and refreshments
Salford City Council,2017-04-04,gofiwnwkp,957.32,0.00,957.32,Creamline Dairies Trafford,Environment and Community Safety,Food and refreshments
Salford City Council,2017-04-04,bsynvhgun,1526.41,0.00,1526.41,Quayside Bakery,Environment and Community Safety,Food and refreshments
