Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description
Salford City Council,2015-02-02,1600525302,524.88,87.48,437.40,Premier Paper Group Ltd,Customer and Support Services,Stationery
Salford City Council,2015-02-02,601134206,623.04,0.00,623.04,Living Ambitions,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2015-02-02,601134248,628.60,0.00,628.60,Redacted Data,"Community, Health & Social Care",Carers Respite
Salford City Council,2015-02-02,601134242,630.00,0.00,630.00,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2015-02-02,1600526560,662.64,110.44,552.20,Whale Tankers Limited,Environment and Community Safety,Vehicle related expenditure
Salford City Council,2015-02-02,601134224,675.00,0.00,675.00,First Manchester Limited,Sustainable Regeneration,Grants
Salford City Council,2015-02-02,601134243,712.80,0.00,712.80,Comus Auto Cabs,Children's Services,Pupil Assistance
Salford City Council,2015-02-02,1600526672,716.40,119.40,597.00,G Jones Builders,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2015-02-02,601134217,720.00,120.00,600.00,Trinity Mirror Publishing Ltd,"Community, Health & Social Care",Oth Office Expenses
Salford City Council,2015-02-02,601134222,727.20,121.20,606.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2015-02-02,601134237,735.00,0.00,735.00,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2015-02-02,1600526747,768.00,128.00,640.00,F. R. Sharrock Limited,Environment and Community Safety,Vehicle related expenditure
Salford City Council,2015-02-02,1600525539,786.60,0.00,786.60,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-02-02,1600525540,830.30,0.00,830.30,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-02-02,1600525538,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-02-02,601134250,851.08,141.84,709.24,Executive Travel,Children's Services,Pupil Assistance
Salford City Council,2015-02-02,1600525295,852.16,142.03,710.13,Arco Limited,Environment and Community Safety,Clothing & Uniforms
Salford City Council,2015-02-02,601134232,907.20,151.20,756.00,Fab Travel Ltd,Children's Services,Pupil Assistance
Salford City Council,2015-02-02,601134226,908.40,151.40,757.00,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Consult/Contractors
