Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L no.
Salford City Council,2014-06-02,601116808,560.56,0.00,560.56,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-06-02,601116807,849.86,0.00,849.86,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-06-02,1600505019,752.44,125.41,627.03,Dennis Eagle Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-02,1600505066,546.29,91.05,455.24,HGV Direct,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-02,1600505065,570.00,95.00,475.00,HGV Direct,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-02,1600505217,2319.68,386.61,1933.07,Spearhead Machinery Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-02,601116821,615.00,0.00,615.00,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-02,601116819,2500.00,0.00,2500.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-02,601116790,3400.00,0.00,3400.00,Russell And Russell Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-02,601116787,502.40,0.00,502.40,Simpsons Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-02,601116820,5750.00,0.00,5750.00,The Rose Partnership Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-02,601116734,522.00,87.00,435.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2014-06-02,601116729,604.80,100.80,504.00,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2014-06-02,601116731,1380.22,230.04,1150.18,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2014-06-02,601116781,599.94,99.99,499.95,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-06-02,1600506930,1086.00,181.00,905.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-06-02,1600504935,1044.00,174.00,870.00,Footlights,Children's Services,External Audit Fees
Salford City Council,2014-06-02,1600506085,967.68,161.28,806.40,Mitie Security Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2014-06-02,1600505507,1615.20,269.20,1346.00,C. Masters Decorators Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-06-02,1600505497,763.20,127.20,636.00,Door Repair Service  Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-06-02,1600505488,944.49,157.41,787.08,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-06-02,1600504341,512.40,85.40,427.00,Spectra Security,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-06-02,1600504362,4200.00,700.00,3500.00,Cia 2000 Ltd,Children's Services,UV Light/Fire
Salford City Council,2014-06-02,1600504387,588.10,98.02,490.08,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-02,1600505499,8224.80,1370.80,6854.00,C. Masters Decorators Ltd,Environment and Community Safety,Building Maintenance
Salford City Council,2014-06-02,1600505494,592.52,98.75,493.77,Dlp Services (Northern) Ltd,"Community, Health & Social Care",Adapts/Alterations
Salford City Council,2014-06-02,1600505492,950.64,158.44,792.20,Dlp Services (Northern) Ltd,"Community, Health & Social Care",Adapts/Alterations
Salford City Council,2014-06-02,1600505350,26658.68,4443.11,22215.57,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2014-06-02,1600506441,810.00,135.00,675.00,F. R. Sharrock Limited,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-06-02,1600506036,712.80,118.80,594.00,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-06-02,1600505299,2160.00,360.00,1800.00,Versapak (International) Ltd,Customer and Support Services,Equipment Purchase
Salford City Council,2014-06-02,1600505615,734.40,122.40,612.00,Prism Medical Uk,"Community, Health & Social Care",Equipment Repair
Salford City Council,2014-06-02,601116778,527.90,88.00,439.90,Make Learn Play Ltd,Children's Services,Furniture
Salford City Council,2014-06-02,1600504695,2014.80,335.80,1679.00,James Leckey Design Ltd,"Community, Health & Social Care",Equipment-paediatric
Salford City Council,2014-06-02,1600504891,1266.00,211.00,1055.00,Chiltern Invadex (Uk) Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-02,1600505543,10842.00,1807.00,9035.00,Direct Healthcare Services Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-02,1600506918,4950.00,825.00,4125.00,Mangar International Ltd,"Community, Health & Social Care",Disability Equipment
