Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L descript
Salford City Council,2020-03-02,601266890,721.5,120.25,601.25,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-03-02,1600643199,687.6,114.6,573,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-03-02,1600643195,690,115,575,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-03-02,1600643380,690,115,575,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-03-02,1600643189,1080.00,180,900,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-03-02,1600643252,797.16,132.86,664.3,Kompan Ltd,Capital Expenditure,Capital Expenses
Salford City Council,2020-03-02,1600643298,1805.94,300.99,1504.95,Security Plus Ltd,Place Directorate,Cash in Transit Serv
Salford City Council,2020-03-02,1600643549,868.54,144.76,723.78,Technology Supplies Ltd,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2020-03-02,1600641340,1890.73,315.12,1575.61,T/A Printerland.Co.Uk,People (Childrens) Service Group,Computer Consumables
Salford City Council,2020-03-02,6002999107,921.08,0,921.08,Adobe Creative Cloud,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-03-02,601264571,96152.00,16025.33,80126.67,Nsl Ltd,Place Directorate,Contractors
Salford City Council,2020-03-02,1600642945,20900.00,0,20900.00,The Broughton Trust,Place Directorate,Contractors
Salford City Council,2020-03-02,601265240,21445.75,3574.29,17871.46,Civica Uk Ltd,Service Reform (Corp Bus & Transform),Electoral expenses
Salford City Council,2020-03-02,1600643355,1884.00,314,1570.00,Central Power Services Ltd,Service Reform (Corp Bus & Transform),Equipment Maint'ce
Salford City Council,2020-03-02,1600642560,720,120,600,Swift (Nw) Ltd T/A Swift Hire & Sal,Place Directorate,Equipment Purchase
Salford City Council,2020-03-02,1600642567,936.9,156.15,780.75,Swift (Nw) Ltd T/A Swift Hire & Sal,Place Directorate,Equipment Purchase
Salford City Council,2020-03-02,1600642561,1767.56,294.59,1472.97,Swift (Nw) Ltd T/A Swift Hire & Sal,Place Directorate,Equipment Purchase
Salford City Council,2020-03-02,6003014205,572.97,2.09,570.88,Brake Bros Ltd,Place Directorate,Food and refreshment
Salford City Council,2020-03-02,601266783,722.84,120.47,602.37,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-03-02,601266756,735.13,122.52,612.61,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
