Authority Name,Date of Payment,SAP Document Number,Amount,,,Supplier Name,Directorate,G/L description.
,,,Gross,VAT,Net,,,
Salford City Council,2018-11-01,1600616736,1360.66,226.78,1133.88,Alan Franklin Builders Ltd,Place Directorate,Rechargeable R & Mnt
Salford City Council,2018-11-01,1600616343,654.86,109.15,545.71,Alliance Disposables Ltd,Place Directorate,Catering Materials
Salford City Council,2018-11-01,1600616669,5916,0,5916,Aqua Clenz,Capital Expenditure,Works & Building
Salford City Council,2018-11-01,601229929,5500,0,5500,Bakers Solicitors Ltd,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-01,1600616068,1431.08,238.51,1192.57,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-01,601229903,30905.91,0,30905.91,Central Manchester University,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,601229168,1742.66,0,1742.66,Child Action Northwest,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616764,682,0,682,Cromwood Housing Ltd,People (Childrens) Service Group,Rents
Salford City Council,2018-11-01,601229550,853.45,142.24,711.21,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-01,601229553,1097.33,182.89,914.44,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-01,601229549,1627.34,271.22,1356.12,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-01,1600614855,792,132,660,Door Repair Service  Ltd,Place Directorate,UV Dec&Flr
Salford City Council,2018-11-01,1600614856,792,132,660,Door Repair Service  Ltd,Place Directorate,UV Dec&Flr
Salford City Council,2018-11-01,601229869,1290,0,1290,Environment Agency,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-01,601229925,536.62,89.44,447.18,Exclusec Security Solutions Ltd,Place Directorate,Security Services
Salford City Council,2018-11-01,601229927,8000,0,8000,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-01,601229928,10500,0,10500,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-01,1600616302,888,148,740,Front Yard Company,Capital Expenditure,Other Works
Salford City Council,2018-11-01,601229956,558,93,465,Gf Associates Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-01,601229957,930,155,775,Gf Associates Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-01,601229958,930,155,775,Gf Associates Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-01,601229959,930,155,775,Gf Associates Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-01,601229960,930,155,775,Gf Associates Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-01,601229961,930,155,775,Gf Associates Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-01,601229962,930,155,775,Gf Associates Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-01,601229963,930,155,775,Gf Associates Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-01,1600616756,6666.66,0,6666.66,Gmw Mental Health Nhs Ft,Public Health,Payts to Agencies
Salford City Council,2018-11-01,1600616754,6666.67,0,6666.67,Gmw Mental Health Nhs Ft,Public Health,Payts to Agencies
Salford City Council,2018-11-01,1600616762,36000,6000,30000,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2018-11-01,1600616307,522,87,435,Ijm Electrical Contractors Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-01,1600616306,522,87,435,Ijm Electrical Contractors Ltd,Place Directorate,UV Day to Day
Salford City Council,2018-11-01,1600616163,2200,0,2200,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-01,1600616680,531.84,88.64,443.2,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616681,628.8,104.8,524,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616687,1087.2,181.2,906,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616684,1127.04,187.84,939.2,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616683,1129.44,188.24,941.2,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616685,1136.64,189.44,947.2,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616682,1250.4,208.4,1042,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616679,1257.6,209.6,1048,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616686,2136,356,1780,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616677,2152.32,358.72,1793.6,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,601228559,3006.91,501.15,2505.76,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-01,601228563,14496,0,14496,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-01,601229890,33332.69,0,33332.69,Myskills Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600615230,595.2,99.2,496,Powercare - Shorrocks Trichem -,Place Directorate,Equipment Purchase
Salford City Council,2018-11-01,1600615946,729.6,121.6,608,Ptsg,Place Directorate,UV Prog Rep
Salford City Council,2018-11-01,601229955,1927.2,321.2,1606,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2018-11-01,601229932,815.84,0,815.84,Redacted Data,People (Adults) - CHSC,Rental Bonds
Salford City Council,2018-11-01,1600616761,145833.33,0,145833.33,Royal Bolton Hospital Nhs,Public Health,Payts to Agencies
Salford City Council,2018-11-01,1600615612,5000,0,5000,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,601229897,28359,0,28359,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,601229896,56718,0,56718,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-01,1600616086,1539.01,256.5,1282.51,Scarab Sweepers Ltd,Capital Expenditure,Vehicle Maintenance
