ï»¿Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2020-07-01,1600649936,535.68,89.28,446.40,T/A Vizwear Ltd,Place Directorate,Clothing & Uniforms
Salford City Council,2020-07-01,6003063054,617.50,0.00,617.50,Dvla Vehicle Tax,Place Directorate,Payment to Government Departments
Salford City Council,2020-07-01,6003063061,617.50,0.00,617.50,Dvla Vehicle Tax,Place Directorate,Payment to Government Departments
Salford City Council,2020-07-01,1600649962,660.00,0.00,660.00,Ladybird Private Day Nursery,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-01,601280138,708.35,0.00,708.35,Eeven Homes Ltd,People (Childrens) Service Group,Rents
Salford City Council,2020-07-01,1600645980,770.57,128.43,642.14,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-07-01,601280144,890.00,0.00,890.00,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2020-07-01,1600649955,993.38,165.56,827.82,Commsec Ltd,Place Directorate,Security Services
Salford City Council,2020-07-01,601280216,1000.00,0.00,1000.00,Grove Estates,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280156,1500.00,0.00,1500.00,Ordsall Community Arts,Place Directorate,Payts to Vol Orgs
Salford City Council,2020-07-01,601280154,1620.00,0.00,1620.00,Weaste Ladies Health & Craft Group,Place Directorate,Payts to Vol Orgs
Salford City Council,2020-07-01,1600648733,1665.19,274.56,1390.63,Ashtead Plant Hire Co Ltd No:2 Acco,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-07-01,1600649966,1771.20,295.20,1476.00,Hodgkinson Bennis Ltd,People (Childrens) Service Group,UV Heat Rep
Salford City Council,2020-07-01,601280143,1840.00,0.00,1840.00,Hawthorn Hotel,People (Childrens) Service Group,Fuel Oil
Salford City Council,2020-07-01,601280149,2000.00,0.00,2000.00,Salford Storm Football Club,Place Directorate,Payts to Vol Orgs
Salford City Council,2020-07-01,1600649934,2065.96,344.33,1721.63,T/A Vizwear Ltd,Place Directorate,Clothing & Uniforms
Salford City Council,2020-07-01,6003063041,2240.00,0.00,2240.00,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-01,601280147,2402.00,0.00,2402.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-07-01,1600649957,2736.00,456.00,2280.00,Buymemedia,Place Directorate,Marketing/Publicity
Salford City Council,2020-07-01,6003063065,2800.00,0.00,2800.00,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-01,6003063056,2800.00,0.00,2800.00,Approved Property Mana,People (Adults) - CHSC,Rents
Salford City Council,2020-07-01,601280161,3254.89,0.00,3254.89,Arts Let Loose,Place Directorate,Payts to Vol Orgs
Salford City Council,2020-07-01,601280157,3359.63,0.00,3359.63,Dlp Services Northern Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-07-01,601280155,3776.20,0.00,3776.20,Ordsall Community Arts,Place Directorate,Payts to Vol Orgs
Salford City Council,2020-07-01,1600646144,4187.04,697.84,3489.20,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-07-01,601280217,4500.00,0.00,4500.00,Walker Print Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,1600646033,4973.50,828.92,4144.58,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-07-01,1600646035,4973.50,828.92,4144.58,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-07-01,601280139,5000.00,0.00,5000.00,Kosher Savers Ltd,People (Adults) - CHSC,Food and refreshment
Salford City Council,2020-07-01,601280148,6332.00,0.00,6332.00,Savas & Savage Solicitors Ltd,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2020-07-01,1600646209,7302.55,1217.09,6085.46,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-07-01,601280158,8833.50,0.00,8833.50,Dlp Services Northern Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-07-01,6003063064,8960.00,0.00,8960.00,Approved Property Mana,People (Adults) - CHSC,Rents
Salford City Council,2020-07-01,601280221,10000.00,0.00,10000.00,Aram Barbers Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280237,10000.00,0.00,10000.00,Astley Mini Store Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280230,10000.00,0.00,10000.00,Capriconny Mechanical Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280239,10000.00,0.00,10000.00,Commercial & Residential Properties,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280235,10000.00,0.00,10000.00,Glocal Media Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280232,10000.00,0.00,10000.00,Highlead Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280244,10000.00,0.00,10000.00,Jsl Brickwork Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280225,10000.00,0.00,10000.00,Ljs Incorporation Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280242,10000.00,0.00,10000.00,M.H. Butchers Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280226,10000.00,0.00,10000.00,Martyn Shedwick T/A Sprint Motors,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280222,10000.00,0.00,10000.00,Nelson Construction Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280218,10000.00,0.00,10000.00,Open Forum Events Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280220,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280224,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280228,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280240,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280236,10000.00,0.00,10000.00,Salford Loaves And Fishes Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280234,10000.00,0.00,10000.00,Salford Sea Cadets (T S Ilex),Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280238,10000.00,0.00,10000.00,Sk Fashion Nw Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280233,10000.00,0.00,10000.00,T/A Salford Sea Cadets (T S Ilex),Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280219,10000.00,0.00,10000.00,Thompson Crabtree Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280223,10000.00,0.00,10000.00,W T Autos Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280241,10000.00,0.00,10000.00,Westnorth Estates Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280231,15000.00,0.00,15000.00,Work Wear 1 Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280227,25000.00,0.00,25000.00,E & E Potts Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280229,25000.00,0.00,25000.00,M And A Brown(Engravers) Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601280243,25000.00,0.00,25000.00,Marble Beers Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-01,601278519,439206.00,0.00,439206.00,Salford Royal Nhs Foundation Trust,Public Health,Payts to Agencies
Salford City Council,2020-07-02,1600650063,508.80,84.80,424.00,Blake Envelopes,Place Directorate,Postage
Salford City Council,2020-07-02,601280271,525.00,0.00,525.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-02,601280213,528.00,88.00,440.00,Autogate Systems Ltd,People (Childrens) Service Group,Equipment Repair
Salford City Council,2020-07-02,601280180,547.10,0.00,547.10,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,1600650038,599.22,99.87,499.35,Firemark Ltd,Place Directorate,Fire Equipment
Salford City Council,2020-07-02,1600649990,609.31,101.55,507.76,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2020-07-02,1600649991,610.18,101.70,508.48,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2020-07-02,601280181,610.23,0.00,610.23,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,1600649989,613.48,102.24,511.24,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2020-07-02,601280263,630.00,105.00,525.00,Monarch Education,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-02,601280264,630.00,105.00,525.00,Monarch Education,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-02,1600649977,684.00,114.00,570.00,The Assoc Of Electoral Adminis,Service Reform (Corp Bus & Transform),Advertising
Salford City Council,2020-07-02,601280245,720.00,120.00,600.00,Teacher Active Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-02,6003063819,731.55,0.00,731.55,Redacted Data,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2020-07-02,6003063706,772.45,0.00,772.45,Redacted Data,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2020-07-02,1600650008,800.00,0.00,800.00,Djg Consultancy And Training,People (Childrens) Service Group,Consultants
Salford City Council,2020-07-02,601280208,803.88,133.98,669.90,Solon Security,Place Directorate,Payts to Vol Orgs
Salford City Council,2020-07-02,1600649994,828.00,138.00,690.00,Traffic Direct,Place Directorate,Contractors
Salford City Council,2020-07-02,1600649999,879.76,146.63,733.13,Esendex Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-07-02,1600649973,900.00,150.00,750.00,H & C Plant Hire,Place Directorate,Equipment Hire
Salford City Council,2020-07-02,1600649982,918.54,153.09,765.45,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-07-02,6003063534,935.50,0.00,935.50,Redacted Data,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-07-02,1600649979,1003.64,167.27,836.37,Limelight Signs Limited,Place Directorate,Materials
Salford City Council,2020-07-02,1600649993,1014.90,169.15,845.75,Allied Publicity Services (M/Cr) Lt,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-07-02,1600649974,1062.00,177.00,885.00,H & C Plant Hire,Place Directorate,Equipment Hire
Salford City Council,2020-07-02,601280215,1140.00,190.00,950.00,Redacted Data,Place Directorate,del'd kitchen formul
Salford City Council,2020-07-02,601279305,1248.00,208.00,1040.00,W T Gunson,Place Directorate,Rents
Salford City Council,2020-07-02,1600650028,1256.64,209.44,1047.20,Chippendale Plant Limited,Place Directorate,Equipment Hire
Salford City Council,2020-07-02,1600650026,1260.00,210.00,1050.00,Unb Ltd,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-07-02,601280170,1348.50,0.00,1348.50,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,1600650029,1452.00,242.00,1210.00,Chippendale Plant Limited,Place Directorate,Equipment Hire
Salford City Council,2020-07-02,601280164,1749.64,0.00,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,601280166,1749.64,0.00,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,601280167,1749.64,0.00,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,601280168,1749.64,0.00,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,601280169,1749.64,0.00,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,601280172,1749.64,0.00,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,601280173,1749.64,0.00,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,601280162,1749.68,0.00,1749.68,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,1600650067,1914.00,319.00,1595.00,Bradweld Fabrications Ltd,Place Directorate,Contractors
Salford City Council,2020-07-02,1600650030,1950.00,0.00,1950.00,Tameside Mbc,Public Health,Payts to Agencies
Salford City Council,2020-07-02,1600649968,2098.32,349.72,1748.60,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-07-02,601279314,2140.00,356.67,1783.33,W T Gunson,Place Directorate,Rents
