Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L descript
Salford City Council,2019-11-01,601256241,1440,240,1200,Axcis Education Recruitment,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601256242,750,125,625,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601257429,1494.5,249.08,1245.42,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601257432,1494.5,249.08,1245.42,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601257436,1505.95,250.99,1254.96,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601257439,1618.94,269.82,1349.12,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601257441,1826.78,304.46,1522.32,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601257444,848.23,141.37,706.86,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601257447,1814.4,302.4,1512,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601257448,1608.14,268.02,1340.12,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,601257450,1583.3,263.88,1319.42,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-01,1600636946,2031.14,338.52,1692.62,One Stop Fencing Products Ltd,Capital expenditure,Capital Expenses
Salford City Council,2019-11-01,1600636235,1189.44,198.24,991.2,Killgerm Chemicals,Place Directorate,Chemicals
Salford City Council,2019-11-01,601257456,547.94,15.34,532.6,1010 Taxis,People (Childrens) Service Group,Children Act-Sect 17
Salford City Council,2019-11-01,1600636944,704.53,0,704.53,1010 Taxis,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2019-11-01,1600636464,3186.72,531.12,2655.6,Xma Ltd,Place Directorate,Cmputer Eqt purchase
Salford City Council,2019-11-01,1600636488,717.04,119.51,597.53,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2019-11-01,1600636499,1274.69,212.45,1062.24,Xma Ltd,Place Directorate,Cmputer Eqt purchase
Salford City Council,2019-11-01,1600636500,1274.69,212.45,1062.24,Xma Ltd,Place Directorate,Cmputer Eqt purchase
Salford City Council,2019-11-01,1600636501,3186.72,531.12,2655.6,Xma Ltd,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2019-11-01,1600636503,717.04,119.51,597.53,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2019-11-01,1600636504,2549.38,424.9,2124.48,Xma Ltd,People (Adults) - CHSC,Cmputer Eqt purchase
Salford City Council,2019-11-01,1600636505,1912.03,318.67,1593.36,Xma Ltd,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2019-11-01,601257380,738,123,615,The Key Support Services Ltd,People (Childrens) Service Group,Computer Software
Salford City Council,2019-11-01,6002919185,551.06,0,551.06,Www Elmhurstenergy Co Uk,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,2019-11-01,6002919207,1679.45,0,1679.45,Www.Nisbets.Com,Place Directorate,Equipment Purchase
Salford City Council,2019-11-01,1600635958,98020.92,16336.82,81684.1,Groundwork Landscapes Ltd,Capital expenditure,Ext Fees-Other
Salford City Council,2019-11-01,1600636245,14400,2400,12000,Marketing Manchester,Capital expenditure,Ext Fees-Other
Salford City Council,2019-11-01,6002928087,1166.96,0,1166.96,Brake Bros Ltd,Place Directorate,Food and Refreshments
Salford City Council,2019-11-01,601257479,638.21,106.37,531.84,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257480,906.67,151.11,755.56,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257488,974.23,162.39,811.84,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257489,1039.96,173.33,866.63,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257490,1263.17,210.53,1052.64,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257493,1366.58,227.76,1138.82,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257496,1268.22,211.37,1056.85,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257500,1049.82,174.97,874.85,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257512,1136.54,189.42,947.12,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257515,1004.64,167.44,837.2,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,601257531,1004.69,167.45,837.24,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-01,1600635809,5706,951,4755,Handicare,Capital expenditure,Improvement Grants
Salford City Council,2019-11-01,1600636923,3600,600,3000,Marketing Manchester,Service Reform (Corp Bus & Transform),Marketing/Publicity
Salford City Council,2019-11-01,1600636690,562.8,93.8,469,Phillip Dean Ltd,Place Directorate,Materials
Salford City Council,2019-11-01,1600635587,27400,4566.67,22833.33,The Lowry Centre Trust,Capital expenditure,Miscellaneous Exes
Salford City Council,2019-11-01,601257424,576,0,576,Salford Community Leisure Ltd,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2019-11-01,601257509,780,130,650,Acs Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2019-11-01,1600636929,13320,2220,11100,V.U City Ltd,Place Directorate,Other Prof Fees
Salford City Council,2019-11-01,1600636975,49700.8,8283.47,41417.33,Helping Hands Minor Repairs Service,Capital expenditure,Other Works
Salford City Council,2019-11-01,1600635586,33100,5516.67,27583.33,The Lowry Centre Trust,Place Directorate,Payts to Agencies
Salford City Council,2019-11-01,1600636346,1401.6,233.6,1168,Preventx Ltd,Public Health,Payts to Agencies
Salford City Council,2019-11-01,1600636723,41630,0,41630,Healthwatch Salford,People (Adults) - CHSC,Payts to Agencies
Salford City Council,2019-11-01,1600636857,2450,0,2450,St. Michael'S C.E. (Aided) Primary,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2019-11-01,601257516,2990.84,0,2990.84,Salford Forum For Refugees,Place Directorate,Payts to Vol Orgs
Salford City Council,2019-11-01,1600636622,6181.22,1030.2,5151.02,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2019-11-01,1600636626,703.27,117.21,586.06,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2019-11-01,1600636576,2750,0,2750,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2019-11-01,601257521,1003.2,0,1003.2,Holly House Day Nursery,People (Childrens) Service Group,Release of Provision
Salford City Council,2019-11-01,601257522,920.4,0,920.4,Little Sprouts Day Nursery Ltd,People (Childrens) Service Group,Release of Provision
Salford City Council,2019-11-01,601256705,640,0,640,Eeven Homes Ltd,People (Childrens) Service Group,Rents
Salford City Council,2019-11-01,601257508,3846.68,641.12,3205.56,Peel Media Ltd,Place Directorate,Service Tenancies
Salford City Council,2019-11-01,1600636950,2640,440,2200,Clarion Housing Group Ltd,People (Adults) - CHSC,Subscriptions
Salford City Council,2019-11-01,1600636968,609,101.5,507.5,Lodge Tyre Co.Ltd,Capital expenditure,Vehicle Maintenance
Salford City Council,2019-11-01,1600635956,51438.7,8573.12,42865.58,Seddon Construction Limited,Capital expenditure,Works & Building
Salford City Council,2019-11-01,1600635957,105759.36,17626.56,88132.8,Seddon Construction Limited,Capital expenditure,Works & Building
Salford City Council,2019-11-01,1600636239,4301.45,716.91,3584.54,Harry Fairclough Construction Ltd,Capital expenditure,Works & Building
Salford City Council,2019-11-01,1600636240,13714.63,2285.77,11428.86,Truline Construction & Interior,Capital expenditure,Works & Building
Salford City Council,2019-11-04,601256956,1140,190,950,Axcis Education Recruitment,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-04,601257564,726,121,605,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-11-04,601257351,2100,0,2100,Brighter Futures,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2019-11-04,601257353,3000,0,3000,Brighter Futures,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2019-11-04,1600636148,2707.27,451.21,2256.06,Xma Ltd,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2019-11-04,1600636149,1353.64,225.61,1128.03,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2019-11-04,1600636375,864,144,720,Sunshine Events Uk Ltd,Service Reform (Corp Bus & Transform),Contract Hire
Salford City Council,2019-11-04,1600636255,11134.42,1855.74,9278.68,Exclusec Group Ltd,Place Directorate,Contractors
Salford City Council,2019-11-04,6002920730,990,0,990,Carl Allen Furnishings Li,People (Adults) - CHSC,Equipment Purchase
Salford City Council,2019-11-04,6002920742,1865,0,1865,Carl Allen Furnishings Li,People (Adults) - CHSC,Equipment Purchase
Salford City Council,2019-11-04,601257538,1031.56,171.93,859.63,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-11-04,1600636150,2707.27,451.21,2256.06,Xma Ltd,Place Directorate,Gen Resaleable Items
