Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2020-08-03,1600651676,6361.75,1060.29,5301.46,Apem Ltd,Place Directorate,Gen Contractor Work,
Salford City Council,2020-08-03,601282770,8037.66,0.00,8037.66,Beenstock Home Management Co Ltd,People (Adults) - CHSC,Resid Care Home,
Salford City Council,2020-08-03,601282771,13063.04,0.00,13063.04,Beenstock Home Management Co Ltd,People (Adults) - CHSC,Resid Care Home,
Salford City Council,2020-08-03,1600651674,4776.00,796.00,3980.00,Bgl Rieber,Place Directorate,Equipment Purchase,
Salford City Council,2020-08-03,1600651168,64578.91,10763.15,53815.76,Capita Property & Infrastructure Lt,Place Directorate,Consultants,
Salford City Council,2020-08-03,1600651167,71797.69,11966.28,59831.41,Capita Property & Infrastructure Lt,Place Directorate,Consultants,
Salford City Council,2020-08-03,601282812,3104.40,0.00,3104.40,Claremont Neighbourhood Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,1600651684,3240.00,540.00,2700.00,Connell Bros Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2020-08-03,1600651381,2162.17,360.36,1801.81,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2020-08-03,1600651383,2162.17,360.36,1801.81,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2020-08-03,1600651700,801.45,133.58,667.87,F. R. Sharrock Limited,Service Reform (Corp Bus & Transform),Stock Control (VMS),
Salford City Council,2020-08-03,601282629,1816.76,0.00,1816.76,G & A Taylors Hotels Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2020-08-03,601282772,4033.85,0.00,4033.85,Ggs Care Home Limited,People (Adults) - CHSC,Resid Care Home,
Salford City Council,2020-08-03,601282853,705.60,117.60,588.00,Granart Memorials,Place Directorate,Gen Resaleable Items,
Salford City Council,2020-08-03,601282849,1024.80,170.80,854.00,Granart Memorials,Place Directorate,Gen Resaleable Items,
Salford City Council,2020-08-03,1600651687,3700.00,0.00,3700.00,Greater Manchester Combined,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2020-08-03,1600651695,770.57,128.43,642.14,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire,
Salford City Council,2020-08-03,1600651697,770.57,128.43,642.14,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire,
Salford City Council,2020-08-03,1600651696,829.03,138.17,690.86,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire,
Salford City Council,2020-08-03,1600651181,550.80,91.80,459.00,J Fletcher Engineers Ltd,People (Childrens) Service Group,UV Heat Rep,
Salford City Council,2020-08-03,601282814,792.36,0.00,792.36,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,601282840,936.35,0.00,936.35,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,601282815,630.00,0.00,630.00,Kidzrus  Nursery Ltd - Monton,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,601282835,961.35,0.00,961.35,Kinderland,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,1600651675,5394.60,899.10,4495.50,La Directories Ltd,Service Reform (Corp Bus & Transform),Computer Software,
Salford City Council,2020-08-03,601282816,811.20,0.00,811.20,Manchester Jnr Girls School,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,601282830,516.75,0.00,516.75,Mice To Meet You Playgroup Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,601282820,824.85,0.00,824.85,Pomegranate Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,601282844,1922.70,0.00,1922.70,Pomegranate Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,1600650703,799.20,133.20,666.00,Ptsg,Place Directorate,Equipment Repair,
Salford City Council,2020-08-03,601282713,625.00,0.00,625.00,Redacted Data,People (Adults) - CHSC,Rental Bonds,
Salford City Council,2020-08-03,1600650591,541.51,90.25,451.26,Schofield & Sons,Place Directorate,UV Day to Day,
Salford City Council,2020-08-03,1600650559,547.20,91.20,456.00,Schofield & Sons,Place Directorate,UV Day to Day,
Salford City Council,2020-08-03,1600650560,552.96,92.16,460.80,Schofield & Sons,Place Directorate,UV Day to Day,
Salford City Council,2020-08-03,1600651227,588.53,98.09,490.44,Schofield & Sons,Place Directorate,UV Day to Day,
Salford City Council,2020-08-03,1600650572,673.92,112.32,561.60,Schofield & Sons,Place Directorate,UV Day to Day,
Salford City Council,2020-08-03,1600650588,523.58,87.26,436.32,Schofield & Sons,Service Reform (Corp Bus & Transform),UV Vandalism,
Salford City Council,2020-08-03,1600651670,1250.00,0.00,1250.00,Spw Consultancy Ltd,People (Childrens) Service Group,Other Prof Fees,
Salford City Council,2020-08-03,1600651671,1250.00,0.00,1250.00,Spw Consultancy Ltd,People (Childrens) Service Group,Other Prof Fees,
Salford City Council,2020-08-03,601282821,776.10,0.00,776.10,St Lukes Pre-School Playgroup,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,601282841,961.35,0.00,961.35,The Dollhouse,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,601282823,1540.50,0.00,1540.50,The Stables Day Nursery Limited,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-03,601282838,2144.55,0.00,2144.55,Treasures Child Care Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-04,601282954,1500.00,0.00,1500.00,Accountant General Of The Senior Co,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2020-08-04,1600651422,3600.00,600.00,3000.00,Advocacy & Mediation Consultants Lt,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2020-08-04,1600651736,11480.95,1913.49,9567.46,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2020-08-04,1600651735,12057.22,2009.54,10047.68,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2020-08-04,1600651737,20484.24,3414.04,17070.20,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2020-08-04,1600651396,8910.00,1485.00,7425.00,Air Services & Systems (Europe) Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv,
Salford City Council,2020-08-04,1600651809,984.55,164.09,820.46,Angel Springs T/A Waterlogic Gb Ltd,Service Reform (Corp Bus & Transform),Food and refreshment,
Salford City Council,2020-08-04,1600651726,1024.56,170.76,853.80,Arrow County Supplies Ltd,Place Directorate,Cleaning Materials,
Salford City Council,2020-08-04,1600651725,1260.00,210.00,1050.00,Arrow County Supplies Ltd,Place Directorate,Materials,
