Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2013-01-02,6001215715,5983.72,0.00,5983.72,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216162,2757.92,0.00,2757.92,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216175,1822.29,0.00,1822.29,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216064,1793.28,0.00,1793.28,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216355,1712.56,0.00,1712.56,Tri Care Ltd - Priestley Care Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2013-01-02,6001215990,1617.12,0.00,1617.12,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216471,1509.46,0.00,1509.46,Beechill Nursing Home,"Community, Health & Social Care",Nursing Home
Salford City Council,2013-01-02,6001216133,1463.36,0.00,1463.36,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216127,1443.00,0.00,1443.00,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216210,1436.92,0.00,1436.92,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216158,1367.52,0.00,1367.52,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216249,1360.76,0.00,1360.76,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216275,1344.08,0.00,1344.08,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001215945,1314.40,0.00,1314.40,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216179,1304.44,0.00,1304.44,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001215851,1296.88,0.00,1296.88,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001215684,1288.64,0.00,1288.64,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216239,1248.08,0.00,1248.08,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216173,1179.40,0.00,1179.40,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216186,1176.96,0.00,1176.96,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216138,1138.16,0.00,1138.16,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001215767,1101.20,0.00,1101.20,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001215666,1051.20,0.00,1051.20,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001215760,1024.00,0.00,1024.00,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216140,1000.28,0.00,1000.28,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216269,997.76,0.00,997.76,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001215782,964.32,0.00,964.32,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2013-01-02,6001216141,963.38,0.00,963.38,Redacted Personal Data,"Community, Health & Social Care",Payt to care clients
