Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2011-12-01,601031304,690.00,0.00,690.00,Music Unlimited,Children's Services,Agency Fees
Salford City Council,2011-12-01,1600427292,528.00,88.00,440.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-12-01,1600427309,2296.80,382.80,1914.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-12-01,1600427631,11558.40,1926.40,9632.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-12-01,1600427630,73180.80,12196.80,60984.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-12-01,601029743,2184.00,364.00,1820.00,Cipfa Business Ltd,Children's Services,Benchmarking Service
Salford City Council,2011-12-01,601031241,518.40,86.40,432.00,Blackline Private Hire,Children's Services,Children Act-Sect 23
Salford City Council,2011-12-01,601031234,816.00,136.00,680.00,Blackline Private Hire,Children's Services,Children Act-Sect 23
Salford City Council,2011-12-01,601031221,864.00,144.00,720.00,Blackline Private Hire,Children's Services,Children Act-Sect 23
Salford City Council,2011-12-01,601031238,1296.00,216.00,1080.00,Blackline Private Hire,Children's Services,Children Act-Sect 23
Salford City Council,2011-12-01,601031236,1461.60,243.60,1218.00,Blackline Private Hire,Children's Services,Children Act-Sect 23
Salford City Council,2011-12-01,1600426679,13824.00,2304.00,11520.00,Cunninghams,Environment and Community Safety,Computer Equipment
Salford City Council,2011-12-01,1600423004,600.00,100.00,500.00,Iccm National Office,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-12-01,1600428406,1200.00,200.00,1000.00,Iccm National Office,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-12-01,1600428479,1200.00,200.00,1000.00,Iccm National Office,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-12-01,1600422075,1800.00,300.00,1500.00,Iccm National Office,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-12-01,1600422502,1800.00,300.00,1500.00,Iccm National Office,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-12-01,1600422705,1800.00,300.00,1500.00,Iccm National Office,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-12-01,1600426805,1440.00,240.00,1200.00,Languard Ltd,Environment and Community Safety,Contractors
Salford City Council,2011-12-01,601031277,5179.21,244.87,4934.34,Salford Community Leisure Ltd,Environment and Community Safety,Contractors
Salford City Council,2011-12-01,601031214,3353.84,558.96,2794.88,The Nas Services Ltd,Community Health & Social Care,Day Care
Salford City Council,2011-12-01,1600428466,609.91,101.65,508.26,Aqua Clenz,Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2011-12-01,1600428468,637.81,106.30,531.51,Aqua Clenz,Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2011-12-01,1600426933,1248.00,208.00,1040.00,Barratt & Hughes,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-12-01,1600428477,1694.40,282.40,1412.00,Northern Insulation Conts.,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-12-01,1600426695,778.06,129.68,648.38,Prism Medical Uk,Community Health & Social Care,Disability Equipment
Salford City Council,2011-12-01,1600426680,1020.00,170.00,850.00,The Design Concept Ltd,Community Health & Social Care,Electricity
Salford City Council,2011-12-01,601031321,559.52,93.25,466.27,Furniture Resource Centre Ltd,Sustainable Regeneration,Equipment Purchase
Salford City Council,2011-12-01,601031218,660.00,110.00,550.00,Sound Performance,Environment and Community Safety,Equipment Purchase
Salford City Council,2011-12-01,601030608,1940.40,323.40,1617.00,Broxap Limited,Children's Services,Equipment Purchase
Salford City Council,2011-12-01,1600418159,4944.00,0.00,4944.00,Manchester City Council,Children's Services,Equipment Purchase
Salford City Council,2011-12-01,601031331,8600.00,0.00,8600.00,Allied London,Capital Expenditure,External Fees-Other
Salford City Council,2011-12-01,601031305,19692.55,3282.09,16410.46,S & W Tlp Education Partnership Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2011-12-01,6000923572,763.31,0.00,763.31,Redacted Personal Data,Children's Services,Fst Care Xmas Allow
Salford City Council,2011-12-01,1600427535,3902.06,0.00,3902.06,Better Choices - Connexions,Children's Services,Grants
Salford City Council,2011-12-01,601031380,5000.00,0.00,5000.00,St Sebastians Hall Account,Sustainable Regeneration,Grants
Salford City Council,2011-12-01,601031330,40247.88,0.00,40247.88,Allied London,Capital Expenditure,Grants to Industry
Salford City Council,2011-12-01,601031374,1850.00,0.00,1850.00,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-12-01,601031375,1850.00,0.00,1850.00,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-12-01,601031323,522.00,87.00,435.00,Handyman Services (Manchester) Ltd,Sustainable Regeneration,Horticultural/GMaintenance
