Authority Name,Date of Payment,SAP Document Number,Amount,,,Supplier Name,Directorate,G/L description.
,,,Gross,VAT,Net,,,
Salford City Council,2018-04-02,bqncamvxm,3540,0,3540,Adobe Creative Cloud,Service Reform,Subscriptions
Salford City Council,2018-04-03,601215181,4852.06,0,4852.06,Bgc Brokers Lp,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2018-04-03,601213114,1655.5,0,1655.5,Carrington Riding Centre,Children's Services,Class Supplies Capit
Salford City Council,2018-04-03,1600602103,530.02,88.34,441.68,Central Power Services Ltd,Service Reform,Equipment Maint'ce
Salford City Council,2018-04-03,601215195,10065.25,0,10065.25,Cfg Law,Service Reform,Liability Insurance
Salford City Council,2018-04-03,601215196,24572,0,24572,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-03,1600602685,5600,0,5600,Gap Group Hire Solutions,Environment and Community Safety,Electricity
Salford City Council,2018-04-03,1600601338,6666.66,0,6666.66,Gmw Mental Health Nhs Ft,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2018-04-03,1600601632,149210.27,0,149210.27,Gmw Mental Health Nhs Ft,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2018-04-03,601215200,509.46,0,509.46,Grosvenor Road Primary School,Environment and Community Safety,Equipment Purchase
Salford City Council,2018-04-03,601215183,980.82,0,980.82,Icap Europe Limited,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2018-04-03,1600602818,1243.67,207.28,1036.39,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2018-04-03,1600604610,38506.38,6417.73,32088.65,Laing O'Rourke Construction North,Capital Expenditure,External Fees-Other
Salford City Council,2018-04-03,1600603722,69106.64,11517.77,57588.87,Laing O'Rourke Construction North,Capital Expenditure,Works & Building
Salford City Council,2018-04-03,1600604226,9414,1569,7845,Lk Consult Limited,Environment and Community Safety,Other Prof Fees
Salford City Council,2018-04-03,1600605001,2016,336,1680,Manchester Ymca Inc,Children's Services,Vehicle Hire - perm
Salford City Council,2018-04-03,601215182,504.11,0,504.11,Martin Brokers (Uk) Ltd,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2018-04-03,1600604084,3600,0,3600,Me Learning Ltd,Service Reform,Training of Others
Salford City Council,2018-04-03,2204912714,602650.16,0,602650.16,NHS CCG,"Community, Health & Social Care",Payments to HA
Salford City Council,2018-04-03,601215015,1438.12,239.69,1198.43,Non Stop Recruitment,Children's Services,Agency Fees
Salford City Council,2018-04-03,1600604234,8254.8,1375.8,6879,Norseman Direct Ltd,Environment and Community Safety,del'd kitchen formul
Salford City Council,2018-04-03,1600604235,10500,1750,8750,Northgate Public Services (Uk) Ltd,"Community, Health & Social Care",Computer Software
Salford City Council,2018-04-03,601213619,2937.6,489.6,2448,Reach Publishing Services Ltd,Sustainable Regeneration,Cleaning
Salford City Council,2018-04-03,601215199,557.05,0,557.05,Redacted Data,Environment and Community Safety,Refunds
Salford City Council,2018-04-03,601215202,1136.2,189.37,946.83,Refreshment Systems Ltd,Service Reform,Equipment Leasing
Salford City Council,2018-04-03,1600602779,504,84,420,Roche Audio Visual,Service Reform,Computer Equipment
Salford City Council,2018-04-03,1600605048,815.48,135.91,679.57,S & W Tlp (Project Co One) Ltd,Children's Services,Unitary Charge
Salford City Council,2018-04-03,601215207,1698,283,1415,Societe Generale Equipment Fin Ltd,Environment and Community Safety,Veh Operating Leases
Salford City Council,2018-04-03,1600602254,3139.88,523.31,2616.57,Softcat Limited,Service Reform,Computer Equipment
Salford City Council,2018-04-03,1600601521,3953.36,658.89,3294.47,Softcat Limited,Service Reform,Computer Equipment
Salford City Council,2018-04-03,1600601819,11842.66,1973.78,9868.88,Softcat Limited,Service Reform,Computer Equipment
Salford City Council,2018-04-03,1600602830,10138.12,0,10138.12,Tameside Mbc,Office of the Chief Executive,Grants
Salford City Council,2018-04-03,601214392,1299,216.5,1082.5,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-04-03,601215179,4265.75,0,4265.75,Tradition (Uk) Limited,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2018-04-03,601215180,7753.42,0,7753.42,Tradition (Uk) Limited,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2018-04-03,601215184,758.9,0,758.9,Tullett Prebon (Uk) Ltd,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2018-04-03,601215185,5068.5,0,5068.5,Tullett Prebon (Uk) Ltd,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2018-04-03,1600604245,750,125,625,Wainwright Stump Removal Ltd,Environment and Community Safety,Contractors
Salford City Council,2018-04-03,1600602822,572.56,95.43,477.13,Xma Ltd,Children's Services,Computer Equipment
Salford City Council,2018-04-04,601215315,13000,0,13000,22 Devonshire Road Housekeeping Acc,Children's Services,Housekeeping
Salford City Council,2018-04-04,601215216,600.25,0,600.25,Aqa Education,Children's Services,Other Prof Fees
Salford City Council,2018-04-04,1600598730,32303.6,0,32303.6,Autism Initiatives,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-04-04,1600602781,948,158,790,Blake Envelopes,Service Reform,Postage
Salford City Council,2018-04-04,1600602780,1608,268,1340,Blake Envelopes,Service Reform,Postage
Salford City Council,2018-04-04,1600604266,735,122.5,612.5,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2018-04-04,1600598447,1200,200,1000,Civica Uk Ltd,"Community, Health & Social Care",Computer Software
Salford City Council,2018-04-04,1600598432,1145.16,190.86,954.3,Civica Uk Ltd,"Community, Health & Social Care",Computer Software
Salford City Council,2018-04-04,601213962,1200,200,1000,Civica Uk Ltd,Service Reform,Computer Maintenance
Salford City Council,2018-04-04,1600600593,2489.95,414.99,2074.96,Compass Minerals Uk Ltd,Environment and Community Safety,Materials
Salford City Council,2018-04-04,1600602307,8721.04,1453.5,7267.54,Compass Minerals Uk Ltd,Environment and Community Safety,Materials
Salford City Council,2018-04-04,1600604277,1404,234,1170,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-04,1600604271,4719.6,786.6,3933,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-04,1600604581,5496.2,700.2,4796,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-04,1600604269,5524.8,920.8,4604,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-04,1600604272,6766.8,1127.8,5639,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-04,1600604267,8316,1386,6930,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-04,1600604270,11704.8,1950.8,9754,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-04,1600603874,1696.5,282.75,1413.75,Ecg Facilities Services Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2018-04-04,1600602131,6440.16,1073.36,5366.8,Ecg Facilities Services Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2018-04-04,601214331,864,144,720,Educationcity.Com,Children's Services,IT  Licence Fee
Salford City Council,2018-04-04,1600602320,641.03,106.84,534.19,Facultatieve Technologies Ltd,Environment and Community Safety,Prog Maint & Works
Salford City Council,2018-04-04,1600602308,3014.02,502.34,2511.68,Facultatieve Technologies Ltd,Environment and Community Safety,Prog Maint & Works
Salford City Council,2018-04-04,1600602314,3192.5,532.08,2660.42,Facultatieve Technologies Ltd,Environment and Community Safety,Prog Maint & Works
Salford City Council,2018-04-04,1600600152,10839.5,0,10839.5,First Group Plc,Children's Services,Vehicle RunningCosts
Salford City Council,2018-04-04,1600602249,114276.73,0,114276.73,Foundations Support & Care Services,Children's Services,Payts to Agencies
Salford City Council,2018-04-04,1600604103,4200,700,3500,Gap Group Hire Solutions,Environment and Community Safety,Electricity
Salford City Council,2018-04-04,1600600629,1758,293,1465,Horticon Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-04-04,1600587453,1380,230,1150,Horticon Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-04-04,1600605141,605.4,100.9,504.5,Hsl Compliance,Children's Services,UV Heat Rep
Salford City Council,2018-04-04,1600605139,647.88,107.98,539.9,Hsl Compliance,Environment and Community Safety,UV Tank Clean
Salford City Council,2018-04-04,1600603873,698.8,116.47,582.33,Hsl Compliance,Sustainable Regeneration,UV Tank Clean
Salford City Council,2018-04-04,1600603729,681.6,113.6,568,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2018-04-04,1600603730,2118,353,1765,J Fletcher Engineers Ltd,Children's Services,UV Air Con
Salford City Council,2018-04-04,601214344,1494,0,1494,Mable Therapy Ltd,Children's Services,Class Supplies Capit
Salford City Council,2018-04-04,1600599751,2168.69,361.45,1807.24,Mott Macdonald Ltd,Environment and Community Safety,Other Prof Fees
Salford City Council,2018-04-04,601215209,1920,320,1600,North West Local Authorities,Service Reform,Other Prof Fees
Salford City Council,2018-04-04,1600602617,11020.8,1836.8,9184,One51 Es Plastics (Uk) Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-04-04,1600602615,11772,1962,9810,One51 Es Plastics (Uk) Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-04-04,1600602616,11772,1962,9810,One51 Es Plastics (Uk) Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-04-04,601215218,1010,0,1010,Paypoint Plc,Sustainable Regeneration,Premises Insurance
Salford City Council,2018-04-04,601214323,870,145,725,Randstad Public Services Limited,Children's Services,Agency Fees
Salford City Council,2018-04-04,601214332,600,100,500,Randstad Public Services Limited,Children's Services,Agency Fees
Salford City Council,2018-04-04,601214336,630,105,525,Randstad Public Services Limited,Children's Services,Pupil Assistance
Salford City Council,2018-04-04,601214333,696,116,580,Randstad Public Services Limited,Children's Services,Agency Fees
