Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,Description
Salford City Council,2011-11-01,1600426073,14448.00,2408.00,12040.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-11-01,1600426074,91476.00,15246.00,76230.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-11-01,601026965,2400.00,0.00,2400.00,Young Peoples Learning,Customer and Support Services,Bad Debt - Debtors
Salford City Council,2011-11-01,1600426193,8700.00,0.00,8700.00,Revival Recycling & Distribution,Capital Expenditure,Capital Expenses
Salford City Council,2011-11-01,601023968,583.91,97.32,486.59,Walton Lea Project,Community Health & Social Care,Day Care
Salford City Council,2011-11-01,601026914,1184.21,0.00,1184.21,Brookvale,Community Health & Social Care,Day Care
Salford City Council,2011-11-01,1600426187,585.32,97.55,487.77,Electricity North West Ltd,Capital Expenditure,Demolition
Salford City Council,2011-11-01,1600426212,1699.50,283.25,1416.25,Palmer Demolition Ltd,Capital Expenditure,Demolition
Salford City Council,2011-11-01,601026978,640.00,0.00,640.00,Redacted Personal Data,Capital Expenditure,Disturbance Payments
Salford City Council,2011-11-01,1600424723,9722.40,1620.40,8102.00,Nationwide Marquees Ltd,Chief Executives,Equipment Hire
Salford City Council,2011-11-01,1600425879,2634.00,439.00,2195.00,P W Systems Ltd,Sustainable Regeneration,Equipment Purchase
Salford City Council,2011-11-01,601026519,986.40,164.40,822.00,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2011-11-01,601026522,1530.00,255.00,1275.00,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2011-11-01,601026518,1532.40,255.40,1277.00,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2011-11-01,601026521,1532.40,255.40,1277.00,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2011-11-01,601026948,1275.50,0.00,1275.50,Emmanuel Church,Community Health & Social Care,Grants
