Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2011-08-01,601013004,550.80,91.80,459.00,A Taylor Properties,Children's Services,Children Act-Sect 17
Salford City Council,2011-08-01,1600419001,11071.34,0.00,11071.34,Arc Adventure (Bury) Ltd,Children's Services,Payts to Agencies
Salford City Council,2011-08-01,1600418503,669.84,111.64,558.20,"Arjo Limited,",Community Health & Social Care,Vehicle Related Expenditure
Salford City Council,2011-08-01,601014053,900.00,150.00,750.00,Assent Building Control Ltd,Capital Expenditure,Works & Building
Salford City Council,2011-08-01,1600419011,644.93,107.49,537.44,Bcl,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-08-01,1600418952,4786.20,797.70,3988.50,Chubb Electronic Security Systems,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-08-01,1600418953,2070.00,345.00,1725.00,Chubb Electronic Security Systems,Community Health & Social Care,Disability Equipment
Salford City Council,2011-08-01,1600419118,5808.00,968.00,4840.00,Click Fire & Security Ltd,Capital Expenditure,Works & Building
Salford City Council,2011-08-01,1600418710,581.34,96.89,484.45,Discount Displays,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-08-01,1600417628,9610.68,1601.78,8008.90,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-08-01,1600417639,9096.41,0.00,9096.41,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2011-08-01,1600418553,1146.00,191.00,955.00,Five Star Fencing,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-08-01,1600418563,957.60,159.60,798.00,Five Star Fencing,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-08-01,1600418274,2013.60,335.60,1678.00,G&S Smirthwaite Ltd,Community Health & Social Care,Disability Equipment
Salford City Council,2011-08-01,1600416392,2846.93,0.00,2846.93,H Booth The Elder Charity,Community Health & Social Care,Insurance Premiums
Salford City Council,2011-08-01,1600416378,1185.11,0.00,1185.11,H Booth The Elder Charity,Community Health & Social Care,Insurance Premiums
Salford City Council,2011-08-01,1600418227,2200.75,366.79,1833.96,H Jenkinson & Company Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-08-01,1600417699,1770.00,295.00,1475.00,Harvest Healthcare,Community Health & Social Care,Disability Equipment
Salford City Council,2011-08-01,1600418915,1978.00,0.00,1978.00,Heaven's Scent Aromatherapy,Community Health & Social Care,Grants - External
Salford City Council,2011-08-01,24381408,738.98,123.16,615.82,Heineken UK Ltd,Environment and Community Safety,Bar Stocks for Hired Venues for resale
Salford City Council,2011-08-01,601012646,169585.37,28264.23,141321.14,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-08-01,601014041,5000.00,0.00,5000.00,John Pickering & Partners Llp,Customer and Support Services,Liability Insurance
Salford City Council,2011-08-01,601014047,5837.52,0.00,5837.52,John Pickering & Partners Llp,Customer and Support Services,Liability Insurance
Salford City Council,2011-08-01,601014027,639.12,0.00,639.12,Langworthy Cornerstone Assoc.,Children's Services,Rents
Salford City Council,2011-08-01,601012932,1839.60,306.60,1533.00,Lockhart Catering Equipment,Environment and Community Safety,Equipment Purchase
Salford City Council,2011-08-01,1600418200,11090.23,1848.37,9241.86,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2011-08-01,1600418718,2764.80,460.80,2304.00,Media Clarity Ltd,Chief Executives,Marketing/Publicity
Salford City Council,2011-08-01,1600419094,14700.00,2450.00,12250.00,Micron Electrical Contracting Ltd,Children's Services,Dev Servs Day to Day
Salford City Council,2011-08-01,601014099,540.00,90.00,450.00,Redacted Personal Data,Children's Services,Legal Fees
Salford City Council,2011-08-01,1600419069,1791.36,298.56,1492.80,Mitie Security Ltd,Sustainable Regeneration,Oth Office Expenses
Salford City Council,2011-08-01,1600417943,5880.00,980.00,4900.00,P W Systems Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2011-08-01,1600417944,12603.60,2100.60,10503.00,P W Systems Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2011-08-01,1600419114,18582.60,3097.10,15485.50,Powerperfector Plc,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-08-01,601014014,738.37,109.97,628.40,Pressure Coolers Ltd,Customer and Support Services,Provisions
Salford City Council,2011-08-01,601014050,830.00,0.00,830.00,Redacted Personal Data,Capital Expenditure,Disturbance Payments
Salford City Council,2011-08-01,1600418712,3200.00,0.00,3200.00,Redacted Personal Data,Children's Services,Consult/Contractors
Salford City Council,2011-08-01,1600419106,1980.00,330.00,1650.00,S & S Marquees,Chief Executives,Other Prof Fees
Salford City Council,2011-08-01,1600418570,648.76,108.13,540.63,Safe & Secure (Uk) Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-08-01,601013999,3299.00,0.00,3299.00,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2011-08-01,1600419126,3625.68,604.28,3021.40,Solon Security,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-08-01,1600418895,4482.00,747.00,3735.00,Tis Limited,Capital Expenditure,Purch of Comp Equip
Salford City Council,2011-08-02,1600417562,1948.09,324.68,1623.41,Alliance Disposables Ltd,Environment and Community Safety,Cleaning Materials
