Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2011-09-01,601016920,8149.26,1358.21,6791.05,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2011-09-01,601016921,8146.93,1357.82,6789.11,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2011-09-01,601016922,7718.33,1286.39,6431.94,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2011-09-01,601016923,6780.62,1130.10,5650.52,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2011-09-01,601018322,42196.94,7032.73,35164.21,Comensura Ltd,Capital Expenditure,Agency Fees
Salford City Council,2011-09-01,601018323,50209.81,8368.24,41841.57,Comensura Ltd,Capital Expenditure,Agency Fees
Salford City Council,2011-09-01,601018314,3150.00,525.00,2625.00,Outcomes Uk Ltd,Children's Services,Agency Fees
Salford City Council,2011-09-01,601018315,6300.00,1050.00,5250.00,Outcomes Uk Ltd,Children's Services,Agency Fees
Salford City Council,2011-09-01,601018316,6599.72,1099.96,5499.76,Outcomes Uk Ltd,Children's Services,Agency Fees
Salford City Council,2011-09-01,601018334,6599.72,1099.96,5499.76,Outcomes Uk Ltd,Children's Services,Agency Fees
Salford City Council,2011-09-01,1600421699,549.36,91.56,457.80,Burnt Tree Group Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-09-01,601018477,7250.00,0.00,7250.00,O.Y.Y. Lubavitch Girls School,Children's Services,Books & Periodicals
Salford City Council,2011-09-01,601017592,1693.88,282.31,1411.57,Vaughan Decor,Sustainable Regeneration,Building Maintenance
Salford City Council,2011-09-01,601017593,1882.22,313.70,1568.52,Vaughan Decor,Sustainable Regeneration,Building Maintenance
Salford City Council,2011-09-01,601018391,864.00,0.00,864.00,Redacted Personal Data,Children's Services,Children Act-Sect 17
Salford City Council,2011-09-01,1600421064,732.64,122.10,610.54,Alliance Disposables Ltd,Environment and Community Safety,Cleaning Materials
Salford City Council,2011-09-01,1600420985,677.30,112.89,564.41,Rm Education Plc,Children's Services,Computer Equipment
Salford City Council,2011-09-01,1600421050,1876.08,312.68,1563.40,Viglen,Customer and Support Services,Computer Equipment
Salford City Council,2011-09-01,601016825,2700.00,450.00,2250.00,Turner & Townsend,Sustainable Regeneration,Consult/Contractors
Salford City Council,2011-09-01,1600420488,2852.26,475.36,2376.90,Jws Waste & Recycling Systems Ltd,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-09-01,1600421649,782.35,130.39,651.96,Marlow Electrical Co,Environment and Community Safety,del'd kitchen formul
Salford City Council,2011-09-01,1600421660,777.77,129.64,648.13,E And J Kane Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-09-01,1600420994,3403.44,567.24,2836.20,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-09-01,1600420692,2066.40,344.40,1722.00,Micron Electrical Contracting Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2011-09-01,1600421001,3462.90,577.15,2885.75,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-09-01,1600421310,522.00,87.00,435.00,Hanlon Fencing,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2011-09-01,1600420405,4674.00,779.00,3895.00,A  Venning Ltd,Environment and Community Safety,Equipment Purchase
Salford City Council,2011-09-01,601018465,502.80,83.80,419.00,H&S Electrical Wholesalers Ltd,Sustainable Regeneration,Equipment Purchase
Salford City Council,2011-09-01,601018490,618.00,103.00,515.00,H&S Electrical Wholesalers Ltd,Sustainable Regeneration,Equipment Purchase
Salford City Council,2011-09-01,601018349,2478.00,0.00,2478.00,Baaf,Children's Services,Fees & Charges
Salford City Council,2011-09-01,601018378,2418.00,0.00,2418.00,Baaf,Children's Services,Fees & Charges
Salford City Council,2011-09-01,601018455,681.64,113.61,568.03,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2011-09-01,601018517,637.20,106.20,531.00,H&S Electrical Wholesalers Ltd,Sustainable Regeneration,Furniture
Salford City Council,2011-09-01,601018380,8964.25,0.00,8964.25,Salford Foundation Ltd,Children's Services,Grants
Salford City Council,2011-09-01,601018463,1594.84,0.00,1594.84,Redacted Personal Data,Chief Executives,Grants
Salford City Council,2011-09-01,601018289,1398.00,233.00,1165.00,Simon & Simon Security Ltd,Sustainable Regeneration,Grants
Salford City Council,2011-09-01,601018294,5625.00,0.00,5625.00,Redacted Personal Data,Children's Services,Grants - External
Salford City Council,2011-09-01,601018297,5625.00,0.00,5625.00,Redacted Personal Data,Children's Services,Grants - External
Salford City Council,2011-09-01,601018295,5625.00,0.00,5625.00,Redacted Personal Data,Children's Services,Grants - External
Salford City Council,2011-09-01,601017784,5625.00,0.00,5625.00,Redacted Personal Data,Children's Services,Grants - External
Salford City Council,2011-09-01,601018290,5625.00,0.00,5625.00,Redacted Personal Data,Children's Services,Grants - External
Salford City Council,2011-09-01,601018501,910.00,0.00,910.00,St Aidan Pcc,Community Health & Social Care,Hire of Facilities
Salford City Council,2011-09-01,601017046,651.00,0.00,651.00,Langworthy Cornerstone Assoc.,Children's Services,Hire of Facilities
Salford City Council,2011-09-01,601018375,10694.10,1782.35,8911.75,Ingenitech Ltd,Customer and Support Services,Lease line rentals
Salford City Council,2011-09-01,601018376,8832.37,1472.06,7360.31,Ingenitech Ltd,Customer and Support Services,Lease line rentals
Salford City Council,2011-09-01,601014958,1352.70,225.45,1127.25,Michael Page International,Sustainable Regeneration,Legal Fees
Salford City Council,2011-09-01,601018494,1294.38,0.00,1294.38,Temperley Taylor,Children's Services,Legal Fees
Salford City Council,2011-09-01,601018321,1130.95,188.49,942.46,The Danwood Group Limited,Customer and Support Services,MFP Devices
Salford City Council,2011-09-01,601017893,10844.86,0.00,10844.86,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-01,601017044,1755.00,0.00,1755.00,St Ambrose Young Families,Children's Services,Other Prof Fees
Salford City Council,2011-09-01,601014975,26356.00,0.00,26356.00,Criminal Records Bureau,Environment and Community Safety,Other Prof Fees
Salford City Council,2011-09-01,2202903485,220162.81,0.00,220162.81,HMRC,Customer and Support Services,Payment of tax due
Salford City Council,2011-09-01,601017959,1090.10,0.00,1090.10,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2011-09-01,601016723,10163.66,0.00,10163.66,Social Care Services (Clayton) Ltd,Children's Services,Payts to Agencies
Salford City Council,2011-09-01,601014988,1428.56,0.00,1428.56,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2011-09-01,1600421585,11657.14,0.00,11657.14,Alliance Care And Education,Children's Services,Payts to Agencies
Salford City Council,2011-09-01,601016725,14149.28,0.00,14149.28,Alliance Care And Education,Children's Services,Payts to Agencies
Salford City Council,2011-09-01,601016729,21638.00,0.00,21638.00,Cornerstones,Children's Services,Payts to Agencies
Salford City Council,2011-09-01,601016730,6100.00,0.00,6100.00,Shared Care T/A Maple Leaf Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2011-09-01,601018300,11173.50,0.00,11173.50,Bolton Council,Children's Services,Payts to Other LA's
Salford City Council,2011-09-01,601018302,35661.34,0.00,35661.34,Bolton Council,Children's Services,Payts to Other LA's
Salford City Council,2011-09-01,601014549,3890.50,0.00,3890.50,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2011-09-01,601018443,2500.00,0.00,2500.00,Salford Community Relations,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2011-09-01,601018317,500.00,0.00,500.00,Churches Together In Eccles,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2011-09-01,601018285,519.68,0.00,519.68,Redacted Personal Data,Sustainable Regeneration,Pmnts Privt Provider
Salford City Council,2011-09-01,6000859952,1049.08,0.00,1049.08,Imagine Act And Succeed,Sustainable Regeneration,Pmnts Privt Provider
Salford City Council,2011-09-01,6000859953,2091.12,0.00,2091.12,Paragon Care,Sustainable Regeneration,Pmnts Privt Provider
Salford City Council,2011-09-01,6000859951,2948.40,0.00,2948.40,Redacted Personal Data,Sustainable Regeneration,Pmnts Privt Provider
Salford City Council,2011-09-01,6000859950,16259.89,0.00,16259.89,Beacon Support,Sustainable Regeneration,Pmnts Privt Provider
Salford City Council,2011-09-01,6000859955,3059.84,0.00,3059.84,Cheshire Deaf Society,Sustainable Regeneration,Pmts Chartble. Organ
Salford City Council,2011-09-01,6000859957,3570.00,0.00,3570.00,Salford Foundation Limited,Sustainable Regeneration,Pmts Chartble. Organ
Salford City Council,2011-09-01,6000859956,6119.96,0.00,6119.96,Retail Trust,Sustainable Regeneration,Pmts Chartble. Organ
Salford City Council,2011-09-01,6000859926,15546.72,0.00,15546.72,Project  34,Sustainable Regeneration,Pmts Chartble. Organ
Salford City Council,2011-09-01,6000859928,19316.92,0.00,19316.92,Salvation Army,Sustainable Regeneration,Pmts Chartble. Organ
Salford City Council,2011-09-01,6000859927,21057.12,0.00,21057.12,Salford Women'S Aid,Sustainable Regeneration,Pmts Chartble. Organ
Salford City Council,2011-09-01,6000859932,688.86,0.00,688.86,Gmjha,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859933,1024.52,0.00,1024.52,Carr Gomm Society Ltd,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859941,1037.40,0.00,1037.40,St Vincent'S,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859936,1236.96,0.00,1236.96,Housing 21,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859930,1676.08,0.00,1676.08,Agudas Israel Ha Ltd,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859945,2003.68,0.00,2003.68,Turning Point,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859935,2233.00,0.00,2233.00,Henshaws Society For The Blind,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859931,2904.62,0.00,2904.62,Anchor Trust,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859947,2953.44,0.00,2953.44,Manchester & District Ha,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859938,2993.94,0.00,2993.94,Contour Housing Group Ltd,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859939,5209.28,0.00,5209.28,Space New Living Limited,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859937,6913.43,0.00,6913.43,Irwell Valley Ha,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859929,20567.68,0.00,20567.68,Adullum Homes Ha,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859940,21372.40,0.00,21372.40,Stonham Ha,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859949,27040.16,0.00,27040.16,New Leaf,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859946,30612.96,0.00,30612.96,English Churches Housing Group,Sustainable Regeneration,Pmts Reg Soc l'lords
Salford City Council,2011-09-01,6000859942,3226.72,0.00,3226.72,Creative Support,Sustainable Regeneration,Pmts Voluntary Orgs
Salford City Council,2011-09-01,6000859943,9479.68,0.00,9479.68,Foundations Ltd,Sustainable Regeneration,Pmts Voluntary Orgs
Salford City Council,2011-09-01,6000859944,35657.03,0.00,35657.03,Positive Lifestyles,Sustainable Regeneration,Pmts Voluntary Orgs
Salford City Council,2011-09-01,601018324,158490.84,26415.14,132075.70,Smartestenergy Ltd,Sustainable Regeneration,Principal Road Maint
Salford City Council,2011-09-01,25267046,3268.80,544.80,2724.00,Indigo Lithoprint Ltd,Customer and Support Services,Printing & Photocopying
Salford City Council,2011-09-01,601017322,5794.16,965.69,4828.47,Imserv Europe Ltd,Sustainable Regeneration,Private Road Maint
Salford City Council,2011-09-01,25267072,843.21,17.65,825.56,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2011-09-01,1600421051,3444.00,574.00,2870.00,Viglen,Capital Expenditure,Purch of Comp Equip
Salford City Council,2011-09-01,601018356,667.20,0.00,667.20,Adullam Homes,Children's Services,Rents
Salford City Council,2011-09-01,601018088,2914.00,0.00,2914.00,Langworthy Cornerstone Assoc.,Children's Services,Rents
Salford City Council,2011-09-01,1600421172,31578.29,5263.05,26315.24,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Rents
Salford City Council,2011-09-01,1600419494,1021.82,170.30,851.52,Lyreco Uk Limited,Customer and Support Services,Stationery
Salford City Council,2011-09-01,25267088,560.70,93.45,467.25,Antalis Uk Ltd,Customer and Support Services,Stationery
Salford City Council,2011-09-01,601018306,780.00,130.00,650.00,Bedspace Resource Limited,Community Health & Social Care,Supported Tenancies
Salford City Council,2011-09-01,601018301,2200.00,0.00,2200.00,Empty Homes Training Ltd,Sustainable Regeneration,Training
Salford City Council,2011-09-01,601018330,2037.00,0.00,2037.00,T.V. Licensing,Community Health & Social Care,TV Licences
Salford City Council,2011-09-01,601017389,663.22,110.54,552.68,Jacobs,Customer and Support Services,VAT Adjustment
Salford City Council,2011-09-01,601015194,590.13,0.00,590.13,Forbes Solicitors,Customer and Support Services,VAT Adjustment
Salford City Council,2011-09-02,601018426,909.00,151.50,757.50,Ranstad Education Limited,Children's Services,Agency Fees
Salford City Council,2011-09-02,601018427,727.20,121.20,606.00,Ranstad Education Limited,Children's Services,Agency Fees
Salford City Council,2011-09-02,601018428,909.00,151.50,757.50,Ranstad Education Limited,Children's Services,Agency Fees
Salford City Council,2011-09-02,601018429,1365.00,227.50,1137.50,Ranstad Education Limited,Children's Services,Agency Fees
Salford City Council,2011-09-02,601018458,727.20,121.20,606.00,Ranstad Education Limited,Children's Services,Agency Fees
Salford City Council,2011-09-02,601018462,1365.00,227.50,1137.50,Ranstad Education Limited,Children's Services,Agency Fees
Salford City Council,2011-09-02,601018684,870.00,145.00,725.00,Ranstad Education Limited,Children's Services,Agency Fees
Salford City Council,2011-09-02,601018685,870.00,145.00,725.00,Ranstad Education Limited,Children's Services,Agency Fees
Salford City Council,2011-09-02,601018467,3150.00,525.00,2625.00,Outcomes Uk Ltd,Children's Services,Agency Fees
Salford City Council,2011-09-02,1600421783,604.80,100.80,504.00,Pjp (Uk) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-09-02,1600421795,552.00,92.00,460.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-09-02,1600421796,2401.20,400.20,2001.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-09-02,1600421761,552.28,92.05,460.23,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2011-09-02,601018152,5665.00,0.00,5665.00,Talmud Torah Chinuch Norim School,Children's Services,Books & Periodicals
Salford City Council,2011-09-02,1600421067,964.91,160.82,804.09,Killgerm Chemicals,Environment and Community Safety,Chemicals
Salford City Council,2011-09-02,601018489,1022.87,170.48,852.39,Rentokil Initial,Children's Services,Cleaning Services
Salford City Council,2011-09-02,1600421046,1508.04,251.34,1256.70,Viglen,Community Health & Social Care,Computer Equipment
Salford City Council,2011-09-02,1600420359,8456.36,1409.39,7046.97,Danfo (Uk ) Ltd,Sustainable Regeneration,Consult/Contractors
Salford City Council,2011-09-02,1600421728,684.00,114.00,570.00,British Parking Association,Sustainable Regeneration,Consult/Contractors
Salford City Council,2011-09-02,601018671,1331.70,0.00,1331.70,Redacted Personal Data,Chief Executives,Consult/Contractors
Salford City Council,2011-09-02,601018536,7402.50,1233.75,6168.75,Commission For The New Economy,Sustainable Regeneration,Consult/Contractors
Salford City Council,2011-09-02,1600421200,1800.00,300.00,1500.00,Iccm National Office,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-09-02,601018670,14000.00,0.00,14000.00,Children Our Ultimate Investment Uk,Children's Services,Consult/Contractors
Salford City Council,2011-09-02,601018637,1884.57,0.00,1884.57,Mjcc,Community Health & Social Care,Day Care
