Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2016-02-01,1600553384,560,0,560,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2016-02-01,1600553669,560,0,560,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2016-02-01,1600554876,567,94.5,472.5,Churches Fire And Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2016-02-01,1600554080,580.32,96.72,483.6,Rubax Lifts Ltd,Sustainable Regeneration,UV Lift Maint
Salford City Council,2016-02-01,1600553921,587.57,97.93,489.64,G Jones Builders,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2016-02-01,1600554921,696,0,696,Federation Of Jewish Services,Children's Services,Payts to Agencies
Salford City Council,2016-02-01,1600554917,703.25,0,703.25,Federation Of Jewish Services,Children's Services,Payts to Agencies
Salford City Council,2016-02-01,601158767,816,136,680,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Legal Fees
Salford City Council,2016-02-01,601158793,823.42,14.7,808.72,Swinton Private Hire Ltd,Children's Services,Vehicle Running Cost
Salford City Council,2016-02-01,1600553385,840,0,840,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2016-02-01,1600554903,938,0,938,Bolton Mbc,Children's Services,Uniforms
Salford City Council,2016-02-01,601157896,946.7,157.78,788.92,Arjohuntleigh Uk,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2016-02-01,1600553511,1000,0,1000,Noel Goulding T/A Moveo,Children's Services,Pupil Assistance
Salford City Council,2016-02-01,1600554873,1006.5,167.75,838.75,G Jones Builders,Environment and Community Safety,del'd kitchen formul
Salford City Council,2016-02-01,601158801,1020,170,850,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2016-02-01,1600553346,1044.92,174.15,870.77,Gmw Mental Health Foundation Trust,"Community, Health & Social Care",Payments to H A
Salford City Council,2016-02-01,1600553924,1115.68,185.95,929.73,G Jones Builders,Sustainable Regeneration,Adaptations
Salford City Council,2016-02-01,1600554137,1160,0,1160,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2016-02-01,601158791,1170,0,1170,The Hawthorn Hotel,"Community, Health & Social Care",Rents
Salford City Council,2016-02-01,601158750,1199.76,199.96,999.8,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2016-02-01,601158751,1299.41,216.57,1082.84,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2016-02-01,601158803,1337,0,1337,The Court Service,Sustainable Regeneration,Debt Recoveries Agen
Salford City Council,2016-02-01,1600554168,1461.6,243.6,1218,Psi (Resources) Limited,Environment and Community Safety,del'd kitchen formul
Salford City Council,2016-02-01,601157931,1616.83,269.47,1347.36,Arjohuntleigh Uk,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2016-02-01,1600554303,1658.76,276.46,1382.3,William Annelay Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2016-02-01,1600554610,1828.56,304.76,1523.8,Horticon Ltd,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2016-02-01,1600554899,1986.6,0,1986.6,Bolton Mbc,Children's Services,Uniforms
Salford City Council,2016-02-01,1600553502,2000,0,2000,The Ethical Education Enterprise,Children's Services,Pupil Assistance
Salford City Council,2016-02-01,1600554883,2173.5,0,2173.5,Bolton Mbc,Children's Services,Uniforms
Salford City Council,2016-02-01,1600554870,2781.6,463.6,2318,G Jones Builders,Children's Services,Electricity
Salford City Council,2016-02-01,601158804,3370,0,3370,Paypoint Plc,Sustainable Regeneration,Provisions
Salford City Council,2016-02-01,601158773,3428.57,0,3428.57,Care & Support Initiative,Children's Services,Vehicle Running Cost
Salford City Council,2016-02-01,601158769,3542.86,0,3542.86,Care & Support Initiative,Children's Services,Vehicle Running Cost
Salford City Council,2016-02-01,1600553517,4458.67,0,4458.67,George House Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2016-02-01,601158732,4951.36,825.23,4126.13,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2016-02-01,1600553325,5354.4,892.4,4462,Treework Arboricultural Services,Environment and Community Safety,Contractors
Salford City Council,2016-02-01,1600552991,6162,1027,5135,Lloyds Tsb Commercial Finance,Capital Expenditure,Works & Building
Salford City Council,2016-02-01,1600553381,8435.1,1405.85,7029.25,Jontek Ltd.,Sustainable Regeneration,Computer Maintenance
