Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2014-03-03,601109722,504.00,84.00,420.00,Tesgl Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-03-03,601108011,513.50,79.00,434.50,Bradshaw International,Capital Expenditure,Disturbance Payments
Salford City Council,2014-03-03,1600495416,518.06,86.34,431.72,Electricity North West Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-03-03,601109803,543.36,0.00,543.36,Redacted Data,"Community, Health & Social Care",Sessional
Salford City Council,2014-03-03,59324149,569.36,0.00,569.36,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2014-03-03,1600498606,594.00,99.00,495.00,Abacus Cleaning Services Ltd,Capital Expenditure,Other Works
Salford City Council,2014-03-03,59324047,610.80,101.80,509.00,Cadsoftsolu,Customer and Support Services,Computer Software
Salford City Council,2014-03-03,1600498284,618.00,103.00,515.00,Anglia Dna Services Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2014-03-03,59324208,681.48,2.24,679.24,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2014-03-03,601109075,685.74,114.28,571.46,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-03-03,1600495628,693.41,115.57,577.84,Ellesmere Engineering Co Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2014-03-03,601109699,716.38,0.00,716.38,Equita Limited,Customer and Support Services,VAT Adjustment
Salford City Council,2014-03-03,1600497703,720.00,120.00,600.00,Buddi Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-03-03,601109697,750.00,0.00,750.00,Calderstones Nhs Trust,"Community, Health & Social Care",Supp Employment Pays
Salford City Council,2014-03-03,1600496658,1032.00,172.00,860.00,Garryowen Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-03-03,1600496771,1141.89,190.32,951.57,Warrington Truck Parts Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-03-03,601108419,1248.00,208.00,1040.00,Eddisons Commercial,Environment and Community Safety,Rents
Salford City Council,2014-03-03,601107811,1265.48,0.00,1265.48,Martin Brokers (Uk) Ltd,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2014-03-03,601109076,1284.57,214.11,1070.46,Plumbing Trade Supplies,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-03-03,601109077,1510.04,251.66,1258.38,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-03-03,601109849,1530.00,255.00,1275.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-03-03,601109061,1587.08,264.51,1322.57,S I G Roofing Supplies Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-03-03,1600497659,1673.64,278.94,1394.70,Yeshili Reflective Materials Ltd,Environment and Community Safety,Clothing & Uniforms
Salford City Council,2014-03-03,601109710,1675.20,279.20,1396.00,Paragon Services,Customer and Support Services,Stationery
Salford City Council,2014-03-03,1600496965,1676.80,0.00,1676.80,Broadoak Funeral Service,"Community, Health & Social Care",Funerals
Salford City Council,2014-03-03,1600496919,1981.98,330.33,1651.65,CG Cleaning,Office of the Chief Executive,Electricity
Salford City Council,2014-03-03,601109686,2270.88,0.00,2270.88,Redacted Data,"Community, Health & Social Care",Refunds
