Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2018-01-02,1600597775,548.05,91.34,456.71,Lex Autolease Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2018-01-02,601208308,1710,285,1425,Rm Education Plc,Children's Services,Computer Software
Salford City Council,2018-01-02,1600597675,69867.24,11644.54,58222.7,Indigo Park Services Uk Ltd,Sustainable Regeneration,Contractors
Salford City Council,2018-01-02,ovjjupzod,642.97,5.28,637.69,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-01-02,2204792640,6202650.16,0,6202650.16,NHS CCG,"Community, Health & Social Care",Payments to Health Authority
Salford City Council,2018-01-02,1600598268,10768.08,0,10768.08,Oldham Mbc,Children's Services,Payts to Other LA's
Salford City Council,2018-01-02,1600598274,10768.08,0,10768.08,Stockport M.B.C.,Children's Services,Payts to Other LA's
Salford City Council,2018-01-02,601208296,687.7,114.62,573.08,Whistl Uk Ltd,Environment and Community Safety,Postage
Salford City Council,2018-01-02,1600597923,577.33,96.22,481.11,Whistl Uk Ltd,Service Reform,Postage
Salford City Council,2018-01-02,1600597924,844.91,140.82,704.09,Whistl Uk Ltd,Service Reform,Postage
Salford City Council,2018-01-02,1600597925,3688.97,614.83,3074.14,Whistl Uk Ltd,Service Reform,Postage
Salford City Council,2018-01-02,1600598275,650,0,650,Evidence Based Psychology Hub Ltd,Children's Services,Training
Salford City Council,2018-01-02,1600598273,24000,4000,20000,Sap (Uk) Limited,Service Reform,Training
Salford City Council,2018-01-02,1600598146,2660,0,2660,Greater Manchester Travelcards Ltd,Service Reform,Training expenses
Salford City Council,2018-01-02,601208338,660,110,550,Saltax Ltd,Children's Services,Vehicle RunningCosts
Salford City Council,2018-01-03,601208459,4546,756,3790,G Kern,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208460,3034,504,2530,G Kern,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208471,1110,185,925,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208314,750,125,625,Randstad Public Services Limited,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208317,870,145,725,Randstad Public Services Limited,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208475,2472.91,412.15,2060.76,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208477,570.72,95.12,475.6,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208478,713.4,118.9,594.5,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208479,713.4,118.9,594.5,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208480,713.4,118.9,594.5,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208481,570.72,95.12,475.6,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-01-03,601208524,1000,0,1000,Rotary Club Of Irlam,Service Reform,Catering Materials
Salford City Council,2018-01-03,1600597979,710.6,118.43,592.17,Dick Leigh,Environment and Community Safety,Clothing & Uniforms
Salford City Council,2018-01-03,601208509,955.2,159.2,796,Medica Cpd Ltd,Children's Services,Conferences/Seminars
Salford City Council,2018-01-03,601208511,1168.85,194.81,974.04,Berendsen Uk Ltd,Environment and Community Safety,Laundry
Salford City Council,2018-01-03,601208512,825.82,137.64,688.18,Berendsen Uk Ltd,Environment and Community Safety,Laundry
Salford City Council,2018-01-03,1600598111,11197.33,0,11197.33,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-01-03,1600598112,11197.33,0,11197.33,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-01-03,1600598113,11197.33,0,11197.33,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-01-03,1600598114,11197.33,0,11197.33,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-01-03,1600598115,6000,0,6000,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-01-03,1600598116,3970.49,0,3970.49,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-01-03,1600598117,11533.33,0,11533.33,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-01-03,1600598466,1266,211,1055,Teaching Personnel Ltd,Children's Services,Other Prof Fees
Salford City Council,2018-01-03,601208499,1540,0,1540,Birtenshaw Hall,Children's Services,Payts to Agencies
Salford City Council,2018-01-03,1600598333,3750,0,3750,Federation Of Jewish Services,Children's Services,Payts to Agencies
Salford City Council,2018-01-03,bmhhpzhww,4044,674,3370,Www.Nbcolourprint.Co.U,Service Reform,Printing & Photocopying
Salford City Council,2018-01-03,1600598373,74944.09,12490.68,62453.41,S & W Tlp (Project Co Two) Ltd,Children's Services,Unitary Charge
Salford City Council,2018-01-03,601208495,1942.94,0,1942.94,Adullam Homes Housing Assoc Ltd,Children's Services,Vehicle RunningCosts
Salford City Council,2018-01-04,601208548,962.22,160.37,801.85,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-01-04,601208549,1711.73,285.29,1426.44,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-01-04,601208456,3110.15,518.36,2591.79,Virgin Media Business,Service Reform,Broadband services
Salford City Council,2018-01-04,1600598289,1571.82,261.97,1309.85,Alliance Disposables Ltd,Environment and Community Safety,Catering Materials
Salford City Council,2018-01-04,601208586,3429,0,3429,The Salfordian Trust Company Ltd,Service Reform,Catering Materials
Salford City Council,2018-01-04,601208571,2000,0,2000,Brighter Futures,Children's Services,Class Supplies Capit
Salford City Council,2018-01-04,601208581,807,134.5,672.5,Citizens Advice Bureau,Service Reform,Consult/Contractors
Salford City Council,2018-01-04,601208305,9108,0,9108,Disclosure & Barring Service,Capital Expenditure,Disclosure barring
Salford City Council,2018-01-04,601208553,800.8,133.47,667.33,Refreshment Systems Ltd,Environment and Community Safety,Equipment Leasing
Salford City Council,2018-01-04,601208582,646.8,107.8,539,Refreshment Systems Ltd,Environment and Community Safety,Equipment Leasing
Salford City Council,2018-01-04,601208580,1136.2,189.37,946.83,Refreshment Systems Ltd,Service Reform,Equipment Leasing
Salford City Council,2018-01-04,1600597727,1260,210,1050,Broxap Limited,Environment and Community Safety,Equipment Purchase
Salford City Council,2018-01-04,1600598532,169052.16,28175.36,140876.8,George Cox & Sons,Capital Expenditure,External Fees-Other
Salford City Council,2018-01-04,601208603,1322.2,0,1322.2,Kimberley Mclaighlin-Knowles,Children's Services,Grants - External
Salford City Council,2018-01-04,601208615,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208602,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208604,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208605,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208606,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208607,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208608,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208609,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208610,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208611,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208612,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208613,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208614,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208616,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208617,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208618,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208619,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208620,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208621,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208622,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208623,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,601208624,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-01-04,6002441556,523.71,0,523.71,Redacted Data,Children's Services,Medical Supplies
Salford City Council,2018-01-04,1600598531,63560.18,10593.36,52966.82,Horticon Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-01-04,1600598537,3278,0,3278,Inspire Training & Education Servic,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-01-04,1600598527,2126,354.33,1771.67,Groundwork Landscapes Ltd,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2018-01-04,1600598533,9670.93,1611.82,8059.11,Horticon Ltd,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2018-01-04,601207343,30000,0,30000,Hampshire County Council,Children's Services,Payts to Agencies
Salford City Council,2018-01-04,1600598541,1575.77,0,1575.77,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2018-01-04,1600598542,871.12,0,871.12,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2018-01-04,1600598543,2726.34,0,2726.34,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2018-01-04,1600598544,3048.12,0,3048.12,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2018-01-04,zrwhpbnvq,936,156,780,Browns Ctp Ltd,Service Reform,Printing & Photocopying
Salford City Council,2018-01-04,1600598545,1950,0,1950,Kerem Schloime School,Children's Services,Pupil Assistance
Salford City Council,2018-01-04,1600598302,2000,0,2000,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-01-04,1600598296,516,86,430,Rm Education Plc,Children's Services,Pupil Assistance
Salford City Council,2018-01-04,1600597721,1037.88,172.98,864.9,Chubb Fire & Security Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-01-04,1600598292,5027.22,837.87,4189.35,Egbert H Taylor & Co Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-01-04,1600598528,708189,118031.5,590157.5,Legal And General Pensions,Office of the Chief Executive,Rents
Salford City Council,2018-01-04,601206251,1248,208,1040,W T Gunson,Environment and Community Safety,Rents
Salford City Council,2018-01-04,601208585,1560,260,1300,Cipfa Business Ltd,Service Reform,Training expenses
Salford City Council,2018-01-04,1600598141,563.88,93.98,469.9,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2018-01-04,601207844,3503.55,0,3503.55,Bristow & Sutor,Service Reform,VAT Adjustment
Salford City Council,2018-01-04,601207846,1160.14,0,1160.14,Bristow & Sutor,Service Reform,VAT Adjustment
Salford City Council,2018-01-04,1600598534,5850.3,975.05,4875.25,John Turner Construction Group Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-01-05,1600598202,616.8,102.8,514,G Jones Builders Ltd,Environment and Community Safety,Adaptations
