Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Community Based Services,Transport,Public Transport and Taxi Fares,148010530,9,201403,CLICK TRAVEL LTD,240.86,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010701,3,201403,CLICK TRAVEL LTD,66.74,2014-06-16
Community Based Services,Transport,Public Transport and Taxi Fares,148010701,28,201403,CLICK TRAVEL LTD,9,2014-06-16
Community Based Services,Transport,Car Allowances,148010677,11,201403,COMMONWHEELS CIC,1.2,2014-06-13
Community Based Services,Transport,Car Allowances,148010677,12,201403,COMMONWHEELS CIC,22.56,2014-06-13
Community Based Services,Transport,Car Allowances,148010677,43,201403,COMMONWHEELS CIC,247.67,2014-06-13
Community Based Services,Transport,Public Transport and Taxi Fares,148010530,30,201403,CLICK TRAVEL LTD,27.44,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010529,12,201403,CLICK TRAVEL LTD,9,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010529,13,201403,CLICK TRAVEL LTD,9,2014-06-05
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43792260,0,201403,SOLON SECURITY LTD,525,2014-06-13
Community Based Services,Third Party Payments,Third Party Payments,41074479,1,201403,CITY OF NEWCASTLE UPON TYNE,3375.00,2014-06-26
Community Based Services,Third Party Payments,Third Party Payments,41074480,1,201403,KENYON,1696.86,2014-06-26
Community Based Services,Supplies and Services,"Printing, Stationery etc",147006939,6,201403,INTERCHANGE NEWS,22.93,2014-06-17
Community Based Services,Supplies and Services,"Printing, Stationery etc",147007635,6,201403,INTERCHANGE NEWS,25.05,2014-06-23
Community Based Services,Transport,Public Transport and Taxi Fares,148010691,3,201403,STREETCARS,32,2014-06-16
Community Based Services,Employees,Agency Staff,60091062,38,201403,COMENSURA LTD,808.2,2014-06-04
Community Based Services,Employees,Agency Staff,60091063,2,201403,COMENSURA LTD,794.74,2014-06-12
Community Based Services,Employees,Agency Staff,60091063,30,201403,COMENSURA LTD,675.42,2014-06-12
Community Based Services,Employees,Agency Staff,60091063,40,201403,COMENSURA LTD,838.46,2014-06-12
Community Based Services,Employees,Agency Staff,60091064,2,201403,COMENSURA LTD,861.75,2014-06-18
Community Based Services,Employees,Agency Staff,60091064,35,201403,COMENSURA LTD,727.38,2014-06-18
Community Based Services,Employees,Agency Staff,60091065,12,201403,COMENSURA LTD,767.8,2014-06-26
Community Based Services,Employees,Agency Staff,60091065,30,201403,COMENSURA LTD,815.17,2014-06-26
Community Based Services,Transport,Public Transport and Taxi Fares,148010701,30,201403,CLICK TRAVEL LTD,166.62,2014-06-16
Community Based Services,Transport,Public Transport and Taxi Fares,148010895,17,201403,CLICK TRAVEL LTD,48.35,2014-06-27
Community Based Services,Transport,Public Transport and Taxi Fares,148010895,27,201403,CLICK TRAVEL LTD,89.8,2014-06-27
Community Based Services,Transport,Public Transport and Taxi Fares,148010895,35,201403,CLICK TRAVEL LTD,306.51,2014-06-27
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43796217,0,201403,BELLE TENTS HIRE,1555.00,2014-06-27
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147007152,1,201403,DUNSTON COMMUNITY FESTIVAL,1500.00,2014-06-03
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147007232,1,201403,ST MARKS CHURCH,1683.50,2014-06-11
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147007259,1,201403,HERTFORDSHIRE HOUSE COMM. ASSOC,600,2014-06-11
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147007801,1,201403,BILL QUAY FARM ASSOCIATION,900,2014-06-27
Community Based Services,Supplies and Services,Comms & Computing,148010693,2,201403,VIRGIN MEDIA PAYMENTS LTD,40,2014-06-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41072467,1,201403,PHS GROUP PLC,413.2,2014-06-11
Community Based Services,Supplies and Services,"Printing, Stationery etc",43796835,0,201403,QUALITY OFFICE SUPPLIES,450,2014-06-18
Community Based Services,Supplies and Services,Comms & Computing,41073644,1,201403,VIRGIN MEDIA PAYMENTS LTD,355,2014-06-23
Community Based Services,Supplies and Services,Comms & Computing,148010588,9,201403,BRITISH TELECOM,12.63,2014-06-09
Community Based Services,Supplies and Services,Comms & Computing,148010693,1,201403,VIRGIN MEDIA PAYMENTS LTD,1665.00,2014-06-19
Community Based Services,Premises,Rep & Maint,41071116,1,201403,REDHEAD ROOFING LLP,740,2014-06-06
Community Based Services,Premises,Rep & Maint,41072187,1,201403,ACTION ENVIRO MAINTENANCE LTD,647.47,2014-06-11
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,25,201403,CLICK TRAVEL LTD,160.33,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,37,201403,CLICK TRAVEL LTD,133.57,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,38,201403,CLICK TRAVEL LTD,160.33,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010895,33,201403,CLICK TRAVEL LTD,132.57,2014-06-27
Community Based Services,Transport,Public Transport and Taxi Fares,148010530,16,201403,CLICK TRAVEL LTD,65.62,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010701,13,201403,CLICK TRAVEL LTD,22.4,2014-06-16
Community Based Services,Transport,Public Transport and Taxi Fares,148010701,14,201403,CLICK TRAVEL LTD,15.63,2014-06-16
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,17,201403,CLICK TRAVEL LTD,274.18,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,18,201403,CLICK TRAVEL LTD,274.18,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,19,201403,CLICK TRAVEL LTD,274.18,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010529,9,201403,CLICK TRAVEL LTD,39.06,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010529,10,201403,CLICK TRAVEL LTD,39.06,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010529,33,201403,CLICK TRAVEL LTD,39.26,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010529,34,201403,CLICK TRAVEL LTD,39.26,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,45,201403,CLICK TRAVEL LTD,115.12,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,46,201403,CLICK TRAVEL LTD,115.12,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,54,201403,CLICK TRAVEL LTD,187.84,2014-06-20
Community Based Services,Transport,Car Allowances,148010677,13,201403,COMMONWHEELS CIC,1.05,2014-06-13
Community Based Services,Transport,Car Allowances,148010677,44,201403,COMMONWHEELS CIC,247.68,2014-06-13
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43790196,0,201403,MANCHESTER CITY COUNCIL,1500.00,2014-06-11
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43794047,0,201403,MANCHESTER CITY COUNCIL,1125.00,2014-06-11
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43794590,0,201403,MANCHESTER CITY COUNCIL,1500.00,2014-06-11
Community Based Services,Supplies and Services,Other Running Costs,148010664,1,201403,MARSH LTD,28079.23,2014-06-12
Community Based Services,Transport,Public Transport and Taxi Fares,148010529,35,201403,CLICK TRAVEL LTD,57.91,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010529,41,201403,CLICK TRAVEL LTD,30.78,2014-06-05
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,52,201403,CLICK TRAVEL LTD,27.74,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010813,53,201403,CLICK TRAVEL LTD,27.74,2014-06-20
Community Based Services,Supplies and Services,Other Running Costs,41072868,1,201403,SAFE PARTNERSHIP LIMITED,460,2014-06-17
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147007680,1,201403,HOMES OR HOUSES,500,2014-06-20
Community Based Services,Transport,Public Transport and Taxi Fares,148010701,35,201403,CLICK TRAVEL LTD,129.76,2014-06-16
Community Based Services,Transport,Public Transport and Taxi Fares,148010701,36,201403,CLICK TRAVEL LTD,31.59,2014-06-16
Community Based Services,Transport,Public Transport and Taxi Fares,148010895,5,201403,CLICK TRAVEL LTD,5.8,2014-06-27
Community Based Services,Transport,Public Transport and Taxi Fares,148010895,25,201403,CLICK TRAVEL LTD,65.96,2014-06-27
Community Based Services,Supplies and Services,Advertising,43795509,0,201403,CRACK LTD,380,2014-06-11
Community Based Services,Third Party Payments,Third Party Payments,41073140,1,201403,BALTIC FLOUR MILLS VISUAL ARTS TRUST,81894.50,2014-06-18
Community Based Services,Third Party Payments,Third Party Payments,41074584,1,201403,NORTH MUSIC TRUST,50933.50,2014-06-30
Community Based Services,Third Party Payments,Third Party Payments,41074585,1,201403,NORTH MUSIC TRUST,97391.75,2014-06-30
Community Based Services,Employees,Indirect Employee Expenses,43792991,0,201403,J GRAY T/A JPG First Aid & Safety Training Service,700,2014-06-06
Community Based Services,Employees,Indirect Employee Expenses,43793739,0,201403,FIT TRAINING LTD,2513.33,2014-06-02
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43796117,0,201403,NEWCASTLE FLOORING CO LTD,812.5,2014-06-27
Community Based Services,Supplies and Services,Other Running Costs,43793777,0,201403,DEBIT FINANCE COLLECTIONS PLC,1296.00,2014-06-02
Community Based Services,Premises,Rep & Maint,43798110,0,201403,JONSIGNS LTD,1305.55,2014-06-26
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43794069,0,201403,BUNZL CLEANING & HYGIENE SUPPLIES,827.88,2014-06-11
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43789152,0,201403,FABRIC ARCHITECTURE LTD,1900.00,2014-06-24
Community Based Services,Supplies and Services,Catering & Provisions,41070773,1,201403,MOLSON COORS BREWING COMPANY,3203.14,2014-06-02
Community Based Services,Supplies and Services,Catering & Provisions,41070677,1,201403,HOLLAND FOOD SERVICES,454.43,2014-06-02
Community Based Services,Supplies and Services,Catering & Provisions,41071575,1,201403,HOLLAND FOOD SERVICES,440.45,2014-06-06
Community Based Services,Supplies and Services,Catering & Provisions,41074063,1,201403,BATLEYS LTD,660.21,2014-06-27
Community Based Services,Supplies and Services,Catering & Provisions,43788113,0,201403,BOB CROSBY AGENCIES,477.48,2014-06-12
Community Based Services,Supplies and Services,"Clothing, Uniforms & Laundry",41074683,1,201403,EXCEL COMMERCIAL SERVICES,381.55,2014-06-26
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",147007692,1,201403,UKACTIVE,731.25,2014-06-19
Community Based Services,Premises,Energy,41072800,1,201403,ENER-G COMBINED POWER LTD,1871.08,2014-06-13
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43795085,4,201403,EUROCOIN LTD,280,2014-06-09
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41073325,1,201403,BILLINGTON BIOFUELS,500,2014-06-16
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41074660,1,201403,BRENNTAG UK LTD,564.39,2014-06-26
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41073229,1,201403,DE LAGE LANDEN LEASING LTD,1870.75,2014-06-13
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",147007713,1,201403,UKACTIVE,1293.75,2014-06-20
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",147007383,1,201403,GATESHEAD LEAM LANE ABC,616,2014-06-09
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",147007685,1,201403,GATESHEAD LEAM LANE ABC,698,2014-06-18
Community Based Services,Premises,Energy,41072798,1,201403,ENER-G COMBINED POWER LTD,2941.38,2014-06-16
Community Based Services,Premises,Cleaning,41074861,1,201403,INITIAL WASHROOM SOLUTIONS,794.6,2014-06-30
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43795085,0,201403,EUROCOIN LTD,280,2014-06-09
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41071848,1,201403,BRENNTAG UK LTD,564.39,2014-06-09
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43794343,0,201403,AV WORKS LTD,905,2014-06-09
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41072880,1,201403,CORE CATERING MAINTENANCE CONTRACTS LTD,835,2014-06-16
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43797876,0,201403,GYMETRIX LTD,4939.20,2014-06-27
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43798884,0,201403,DEMETER,348,2014-06-30
Community Based Services,Supplies and Services,Catering & Provisions,41071844,1,201403,COCA-COLA ENTERPRISES LTD,475.3,2014-06-09
Community Based Services,Supplies and Services,Catering & Provisions,41071851,1,201403,COCA-COLA ENTERPRISES LTD,687.96,2014-06-09
Community Based Services,Supplies and Services,Catering & Provisions,41073872,1,201403,COCA-COLA ENTERPRISES LTD,516.88,2014-06-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",147007691,1,201403,UKACTIVE,5062.50,2014-06-18
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",147008002,1,201403,UKACTIVE,1788.74,2014-06-30
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43795630,1,201403,SPORTS RETAIL SOLUTIONS,1983.00,2014-06-11
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43797474,0,201403,BUNZL CLEANING & HYGIENE SUPPLIES,350,2014-06-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43796205,0,201403,DALESAUNA LTD,493,2014-06-24
