Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq,Period,Supplier ID(T),Amount,Updated
Communities & Environment,Employees,Indirect Employee Expenses,43867099,0,201507,INSTITUTE OF SWIMMING,1755.00,2015-10-19
Communities & Environment,Supplies and Services,Comms & Computing,148017081,39,201507,O2 (UK) LTD,29.25,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,40,201507,O2 (UK) LTD,30.70,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43871484,0,201507,LEISURE-NET SOLUTIONS LTD,9952.00,2015-10-07
Communities & Environment,Employees,Indirect Employee Expenses,43872739,2,201507,FLEX E VOUCHERS RE METROCENTRE,250.00,2015-10-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43874699,1,201507,FAIRBAIRN MARQUEES,375.00,2015-10-26
Communities & Environment,Supplies and Services,Catering & Provisions,41134141,1,201507,MOLSON COORS BREWING COMPANY,464.76,2015-10-29
Communities & Environment,Supplies and Services,Catering & Provisions,41132161,1,201507,BATLEYS LTD,430.85,2015-10-09
Communities & Environment,Supplies and Services,Catering & Provisions,41132978,1,201507,PELICAN ROUGE COFFEE SOLUTIONS LTD,1977.92,2015-10-20
Communities & Environment,Supplies and Services,Catering & Provisions,41132979,1,201507,PELICAN ROUGE COFFEE SOLUTIONS LTD,805.13,2015-10-20
Communities & Environment,Supplies and Services,Catering & Provisions,41133671,1,201507,LICENCED WHOLESALE COMPANY,554.16,2015-10-29
Communities & Environment,Supplies and Services,Other Running Costs,43874226,4,201507,CITY OF SUNDERLAND,45.00,2015-10-23
Communities & Environment,Employees,Indirect Employee Expenses,43872741,1,201507,FLEX E VOUCHERS RE METROCENTRE,250.00,2015-10-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41132156,1,201507,ING LEASE UK LTD,428.00,2015-10-09
Communities & Environment,Supplies and Services,Other Running Costs,43874226,3,201507,CITY OF SUNDERLAND,56.25,2015-10-23
Communities & Environment,Income: Fees and Charges,"Charges, Fees & Income",147022232,1,201507,GATESHEAD LEAM LANE ABC,1184.50,2015-10-15
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41131923,1,201507,SIEMENS FINANCIAL SERVICES LTD,366.11,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41133796,1,201507,BUNZL CLEANING & HYGIENE SUPPLIES,416.90,2015-10-26
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43870758,0,201507,BUNZL CLEANING & HYGIENE SUPPLIES,485.84,2015-10-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41133668,1,201507,BRENNTAG UK LTD,574.39,2015-10-26
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41131725,1,201507,ING LEASE UK LTD,450.00,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43871886,0,201507,STATUS SECURITY SYSTEMS LTD,383.25,2015-10-07
Communities & Environment,Supplies and Services,Catering & Provisions,41131159,1,201507,HOPWELLS LTD,388.66,2015-10-05
Communities & Environment,Supplies and Services,Catering & Provisions,41133578,1,201507,COCA-COLA ENTERPRISES LTD,355.84,2015-10-26
Communities & Environment,Supplies and Services,Catering & Provisions,41133580,1,201507,BATLEYS LTD,246.44,2015-10-26
Communities & Environment,Supplies and Services,Catering & Provisions,41133580,2,201507,BATLEYS LTD,432.83,2015-10-26
Communities & Environment,Supplies and Services,Catering & Provisions,41133601,1,201507,COCA-COLA ENTERPRISES LTD,583.33,2015-10-26
Communities & Environment,Supplies and Services,Catering & Provisions,41134570,1,201507,ORIGINAL BAKEHOUSE,557.88,2015-10-30
Communities & Environment,Supplies and Services,Comms & Computing,148017081,40,201507,O2 (UK) LTD,14.50,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,41,201507,O2 (UK) LTD,14.50,2015-10-29
Communities & Environment,Supplies and Services,Other Running Costs,43874226,0,201507,CITY OF SUNDERLAND,56.25,2015-10-23
Communities & Environment,Supplies and Services,Comms & Computing,148017081,41,201507,O2 (UK) LTD,4.84,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,42,201507,O2 (UK) LTD,12.48,2015-10-29
Communities & Environment,Supplies and Services,Other Running Costs,43874226,1,201507,CITY OF SUNDERLAND,56.25,2015-10-23
Communities & Environment,Employees,Indirect Employee Expenses,43872740,1,201507,FLEX E VOUCHERS RE METROCENTRE,250.00,2015-10-15
Communities & Environment,Employees,Indirect Employee Expenses,43872740,2,201507,FLEX E VOUCHERS RE METROCENTRE,250.00,2015-10-15
Communities & Environment,Employees,Indirect Employee Expenses,148017176,1,201507,TYNE & WEAR PENSION FUND,37424.00,2015-10-12
Communities & Environment,Employees,Indirect Employee Expenses,148017178,1,201507,TYNE & WEAR PENSION FUND,49159.00,2015-10-12
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43865004,0,201507,BRENNTAG UK LTD,948.00,2015-10-21
Communities & Environment,Supplies and Services,Other Running Costs,43874226,2,201507,CITY OF SUNDERLAND,56.25,2015-10-23
Communities & Environment,Employees,Indirect Employee Expenses,43872741,2,201507,FLEX E VOUCHERS RE METROCENTRE,250.00,2015-10-14
Communities & Environment,Employees,Indirect Employee Expenses,148017189,1,201507,TYNE & WEAR PENSION FUND,39321.00,2015-10-13
Communities & Environment,Employees,Indirect Employee Expenses,148017295,1,201507,TYNE & WEAR PENSION FUND,33262.00,2015-10-16
Communities & Environment,Supplies and Services,Comms & Computing,148017081,42,201507,O2 (UK) LTD,3.63,2015-10-05
