Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,148028032,2,201804,CLICK TRAVEL LTD,152,2018-07-12,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,148028083,2,201804,CLICK TRAVEL LTD,304,2018-07-17,
Office of the Chief Executive,Supplies and Services,Catering & Provisions,41229326,1,201804,BALTIC CONTEMPORARY VISUAL ARTS TRADING LTD,732,2018-07-11,
Office of the Chief Executive,Supplies and Services,"Printing, Stationery etc",43997850,0,201804,ACORN WEB OFFSET LTD,11525.19,2018-07-16,
Office of the Chief Executive,Supplies and Services,Comms & Computing,44000712,0,201804,DAVID CASEY DISPLAYS LTD,760,2018-07-10,
Office of the Chief Executive,Supplies and Services,Comms & Computing,41229148,1,201804,GOSS INTERACTIVE LIMITED,1568,2018-07-13,
Corporate Resources,Employees,Agency Staff,60091280,68,201804,GEOMETRIC RESULTS INTERNATIONAL LTD,542.04,2018-07-23,
Corporate Resources,Employees,Agency Staff,60091280,77,201804,GEOMETRIC RESULTS INTERNATIONAL LTD,463.2,2018-07-23,
Corporate Resources,Employees,Agency Staff,60091280,91,201804,GEOMETRIC RESULTS INTERNATIONAL LTD,537.12,2018-07-23,
Corporate Resources,Employees,Agency Staff,60091280,174,201804,GEOMETRIC RESULTS INTERNATIONAL LTD,546.07,2018-07-23,
Corporate Resources,Employees,Agency Staff,60091280,183,201804,GEOMETRIC RESULTS INTERNATIONAL LTD,551.08,2018-07-23,
Corporate Resources,Employees,Agency Staff,60091280,195,201804,GEOMETRIC RESULTS INTERNATIONAL LTD,470.92,2018-07-23,
Corporate Resources,Employees,Indirect Employee Expenses,148028191,1,201804,CIPFA,500,2018-07-27,
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148028142,2,201804,MARSH LTD,6406.6,2018-07-23,
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148028143,2,201804,MARSH LTD,8038.37,2018-07-23,
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148028144,2,201804,MARSH LTD,6390.76,2018-07-23,
Corporate Resources,Supplies and Services,Comms & Computing,41229522,1,201804,QUICKTHINK CLOUD LIMITED,3038.8,2018-07-12,
Corporate Resources,Supplies and Services,Comms & Computing,41229523,1,201804,QUICKTHINK CLOUD LIMITED,1305.29,2018-07-12,
Corporate Resources,Supplies and Services,Comms & Computing,41228735,1,201804,CRITIQOM,625.15,2018-07-04,
Corporate Resources,Supplies and Services,Comms & Computing,41228737,1,201804,CRITIQOM,1010.57,2018-07-04,
Corporate Resources,Supplies and Services,Comms & Computing,41228739,1,201804,CRITIQOM,954.36,2018-07-04,
Corporate Resources,Supplies and Services,Comms & Computing,148028000,7,201804,ROYAL MAIL,730.91,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028001,7,201804,ROYAL MAIL,810.62,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028002,7,201804,ROYAL MAIL,594.95,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028070,7,201804,ROYAL MAIL,776.17,2018-07-17,
Corporate Resources,Supplies and Services,Comms & Computing,41229421,1,201804,VIRGIN MEDIA PAYMENTS LTD,829.65,2018-07-11,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41229421,2,201804,VIRGIN MEDIA PAYMENTS LTD,40,2018-07-11,
Corporate Resources,Supplies and Services,Comms & Computing,41230383,1,201804,TROJAN CONSULTANTS LTD,3329,2018-07-25,
Corporate Resources,Supplies and Services,Comms & Computing,148028000,1,201804,ROYAL MAIL,169.47,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028000,2,201804,ROYAL MAIL,860.34,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028001,1,201804,ROYAL MAIL,129.06,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028001,2,201804,ROYAL MAIL,817.8,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028002,1,201804,ROYAL MAIL,593.78,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028002,2,201804,ROYAL MAIL,714.99,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028070,1,201804,ROYAL MAIL,108.8,2018-07-17,
Corporate Resources,Supplies and Services,Comms & Computing,148028070,2,201804,ROYAL MAIL,784.39,2018-07-17,
Corporate Resources,Employees,Indirect Employee Expenses,41230126,1,201804,KAPLAN FINANCIAL,1409.25,2018-07-24,
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41230194,1,201804,PREPAID FINANCIAL SERVICES LTD,3401.32,2018-07-23,
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41230194,2,201804,PREPAID FINANCIAL SERVICES LTD,1657.59,2018-07-23,
Corporate Resources,Supplies and Services,Comms & Computing,148028000,6,201804,ROYAL MAIL,137.71,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028001,6,201804,ROYAL MAIL,60.62,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028002,6,201804,ROYAL MAIL,34.57,2018-07-10,
Corporate Resources,Supplies and Services,Comms & Computing,148028070,6,201804,ROYAL MAIL,511.24,2018-07-17,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",148027953,1,201804,MHR INTERNATIONAL UK LTD,509.5,2018-07-02,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",148027954,1,201804,MHR INTERNATIONAL UK LTD,509.5,2018-07-02,
Corporate Resources,Transport,Public Transport and Taxi Fares,148028019,1,201804,CLICK TRAVEL LTD,845.83,2018-07-11,
Corporate Resources,Transport,Public Transport and Taxi Fares,148028019,2,201804,CLICK TRAVEL LTD,2770.55,2018-07-11,
