Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Supplies and Services,Advertising,41257703,1,201905,PREMIER CATERING (NE) LTD,980,2019-08-19
Office of the Chief Executive,Supplies and Services,Advertising,41257847,1,201905,HEADLINE MODELS LTD,850,2019-08-16
Office of the Chief Executive,Supplies and Services,Advertising,41257848,1,201905,MEDIA PARTNERSHIP LTD,1475.00,2019-08-16
Corporate Resources,Employees,Indirect Employee Expenses,41257100,1,201905,REDACTIVE EVENTS LTD,834,2019-08-07
Corporate Resources,Supplies and Services,Comms & Computing,41257814,1,201905,QUICKTHINK CLOUD LIMITED,3132.66,2019-08-19
Corporate Resources,Supplies and Services,Comms & Computing,41257817,1,201905,QUICKTHINK CLOUD LIMITED,1345.32,2019-08-19
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41257812,1,201905,TRACEY BEAUCHAMP LTD,3000.00,2019-08-19
Corporate Resources,Transport,Public Transport and Taxi Fares,300001245,7,201905,CLICK TRAVEL LTD,115.8,2019-08-28
Corporate Resources,Supplies and Services,Comms & Computing,44047992,1,201905,CAPITA BUSINESS SERVICES LTD,200,2019-08-29
Corporate Resources,Supplies and Services,Comms & Computing,41256472,1,201905,CRITIQOM,1531.36,2019-08-01
Corporate Resources,Supplies and Services,Comms & Computing,41256473,1,201905,CRITIQOM,1035.78,2019-08-01
Corporate Resources,Supplies and Services,Comms & Computing,41256475,1,201905,CRITIQOM,1614.33,2019-08-01
Corporate Resources,Supplies and Services,Comms & Computing,41256479,1,201905,CRITIQOM,1374.48,2019-08-01
Corporate Resources,Supplies and Services,Comms & Computing,41257802,1,201905,CRITIQOM,1022.86,2019-08-20
Corporate Resources,Supplies and Services,Comms & Computing,41257804,1,201905,CRITIQOM,1546.16,2019-08-20
Corporate Resources,Supplies and Services,Comms & Computing,41258370,1,201905,CRITIQOM,1411.53,2019-08-28
Corporate Resources,Supplies and Services,Comms & Computing,148032346,7,201905,ROYAL MAIL,313.88,2019-08-13
Corporate Resources,Supplies and Services,Comms & Computing,148032465,7,201905,ROYAL MAIL,397.11,2019-08-22
Corporate Resources,Supplies and Services,Comms & Computing,148032524,7,201905,ROYAL MAIL,233.58,2019-08-29
Corporate Resources,Supplies and Services,Comms & Computing,148032539,7,201905,ROYAL MAIL,222.72,2019-08-30
Corporate Resources,Supplies and Services,Comms & Computing,44047992,2,201905,CAPITA BUSINESS SERVICES LTD,200,2019-08-29
Corporate Resources,Supplies and Services,Comms & Computing,44047992,0,201905,CAPITA BUSINESS SERVICES LTD,200,2019-08-29
Corporate Resources,Supplies and Services,Comms & Computing,148032346,1,201905,ROYAL MAIL,470.99,2019-08-13
Corporate Resources,Supplies and Services,Comms & Computing,148032346,2,201905,ROYAL MAIL,138.51,2019-08-13
Corporate Resources,Supplies and Services,Comms & Computing,148032465,1,201905,ROYAL MAIL,255.79,2019-08-22
Corporate Resources,Supplies and Services,Comms & Computing,148032465,2,201905,ROYAL MAIL,280.54,2019-08-22
Corporate Resources,Supplies and Services,Comms & Computing,148032524,1,201905,ROYAL MAIL,63.2,2019-08-29
Corporate Resources,Supplies and Services,Comms & Computing,148032524,2,201905,ROYAL MAIL,216.92,2019-08-29
Corporate Resources,Supplies and Services,Comms & Computing,148032539,1,201905,ROYAL MAIL,471.29,2019-08-30
Corporate Resources,Supplies and Services,Comms & Computing,148032539,2,201905,ROYAL MAIL,173.01,2019-08-30
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41256597,1,201905,TEAM NETSOL,800,2019-08-02
Corporate Resources,Supplies and Services,Comms & Computing,148032478,1,201905,MHR INTERNATIONAL UK LTD,12368.13,2019-08-27
Corporate Resources,Supplies and Services,Comms & Computing,148032479,1,201905,MHR INTERNATIONAL UK LTD,19661.92,2019-08-27
Corporate Resources,Supplies and Services,Comms & Computing,148032480,1,201905,MHR INTERNATIONAL UK LTD,1639.61,2019-08-27
Corporate Resources,Supplies and Services,Comms & Computing,148032481,1,201905,MHR INTERNATIONAL UK LTD,2307.58,2019-08-27
Corporate Resources,Supplies and Services,Comms & Computing,148032346,6,201905,ROYAL MAIL,1.71,2019-08-13
Corporate Resources,Supplies and Services,Comms & Computing,148032465,6,201905,ROYAL MAIL,93.94,2019-08-22
Corporate Resources,Supplies and Services,Comms & Computing,148032524,6,201905,ROYAL MAIL,173.8,2019-08-29
Corporate Resources,Supplies and Services,Comms & Computing,148032539,6,201905,ROYAL MAIL,120.34,2019-08-30
Corporate Resources,Supplies and Services,Comms & Computing,148032346,3,201905,ROYAL MAIL,96.94,2019-08-13
Corporate Resources,Supplies and Services,Comms & Computing,148032346,4,201905,ROYAL MAIL,163.71,2019-08-13
Corporate Resources,Supplies and Services,Comms & Computing,148032465,3,201905,ROYAL MAIL,304.88,2019-08-22
Corporate Resources,Supplies and Services,Comms & Computing,148032465,4,201905,ROYAL MAIL,450.06,2019-08-22
Corporate Resources,Supplies and Services,Comms & Computing,148032524,3,201905,ROYAL MAIL,137.92,2019-08-29
Corporate Resources,Supplies and Services,Comms & Computing,148032524,4,201905,ROYAL MAIL,226.32,2019-08-29
Corporate Resources,Supplies and Services,Comms & Computing,148032539,3,201905,ROYAL MAIL,129.1,2019-08-30
Corporate Resources,Supplies and Services,Comms & Computing,148032539,4,201905,ROYAL MAIL,173.13,2019-08-30
Corporate Resources,Supplies and Services,Comms & Computing,148032539,5,201905,ROYAL MAIL,22.97,2019-08-30
Corporate Resources,Supplies and Services,Comms & Computing,148032346,5,201905,ROYAL MAIL,27.72,2019-08-13
