Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,"Furn, Equip & Mats",42396510,2,201211,STATUS SECURITY SYSTEMS LTD,1699.00,2013-02-01
Central Services,Supplies and Services,Miscellaneous Supplies,42396997,3,201211,HMCS,2283.00,2013-02-01
Central Services,Supplies and Services,Miscellaneous Supplies,42396997,4,201211,HMCS,243,2013-02-01
Central Services,Supplies and Services,"Furn, Equip & Mats",42397033,2,201211,WOOTTON PRINTING SERVICES,2500.00,2013-02-01
Central Services,Supplies and Services,"Furn, Equip & Mats",42397035,2,201211,OCE FINANCE,16394.73,2013-02-01
Central Services,Purchase of Equipment,,42397399,2,201211,CORPORATE COMPUTER SUPPLIES LTD,898.5,2013-02-04
Central Services,Other Costs,,42397404,2,201211,INSIGHT DIRECT UK LTD,72716.00,2013-02-04
Central Services,Supplies and Services,Comms & Computing,42397415,2,201211,DURHAM COUNTY COUNCIL,3391.50,2013-02-04
Central Services,Third Party Payments,Third Party Payments,42397839,2,201211,NEWCASTLE & GATESHEAD INITIATIVE,12500.00,2013-02-05
Central Services,Third Party Payments,Third Party Payments,42397840,3,201211,NEWCASTLE & GATESHEAD INITIATIVE,33000.00,2013-02-05
Central Services,Supplies and Services,Miscellaneous Supplies,42397840,4,201211,NEWCASTLE & GATESHEAD INITIATIVE,15000.00,2013-02-05
Central Services,Supplies and Services,Comms & Computing,42397841,2,201211,PILAT EUROPE LTD,1400.00,2013-02-05
Central Services,Supplies and Services,Comms & Computing,42397970,11,201211,ROYAL MAIL,730.6,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42397970,12,201211,ROYAL MAIL,50.53,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42397970,6,201211,ROYAL MAIL,142.88,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42397970,7,201211,ROYAL MAIL,177.37,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42397970,8,201211,ROYAL MAIL,39.33,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42397970,13,201211,ROYAL MAIL,50,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42397970,10,201211,ROYAL MAIL,28.87,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42397970,9,201211,ROYAL MAIL,873.26,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42398167,17,201211,BRITISH TELECOM,85.82,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42398167,15,201211,BRITISH TELECOM,625.52,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42398167,16,201211,BRITISH TELECOM,37.89,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42398167,18,201211,BRITISH TELECOM,37.91,2013-02-06
Central Services,Supplies and Services,Comms & Computing,42398167,30,201211,BRITISH TELECOM,179.94,2013-02-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42398185,2,201211,NORTH EAST AUTISM SOCIETY,600,2013-02-07
Central Services,Supplies and Services,"Furn, Equip & Mats",42398186,3,201211,HIGHFIELD AWARDING BODY FOR COMPLIANCE LTD,441.95,2013-02-07
Central Services,Supplies and Services,"Furn, Equip & Mats",42398186,4,201211,HIGHFIELD AWARDING BODY FOR COMPLIANCE LTD,690,2013-02-07
Central Services,Supplies and Services,"Furn, Equip & Mats",42398187,2,201211,HIGHFIELD AWARDING BODY FOR COMPLIANCE LTD,1187.50,2013-02-07
Central Services,Supplies and Services,"Furn, Equip & Mats",42398188,2,201211,HIGHFIELD AWARDING BODY FOR COMPLIANCE LTD,375,2013-02-07
Central Services,Supplies and Services,"Licenses, Housing, Fees",42398191,2,201211,POSITIVE PEOPLE,1000.00,2013-02-07
Central Services,Supplies and Services,"Licenses, Housing, Fees",42398192,2,201211,LOCAL GOVERNMENT OMBUDSMAN,1025.00,2013-02-07
Central Services,Premises,Energy,42398337,1,201211,DTZ DTL LTD,429.73,2013-02-07
Central Services,Supplies and Services,Comms & Computing,42398340,10,201211,BRITISH TELECOM,17.2,2013-02-07
Central Services,Supplies and Services,Comms & Computing,42398347,9,201211,BRITISH TELECOM,18.05,2013-02-07
Central Services,Supplies and Services,Comms & Computing,42398384,3,201211,VIRGIN MEDIA BUSINESS,617.14,2013-02-07
Central Services,Supplies and Services,Comms & Computing,42398384,4,201211,VIRGIN MEDIA BUSINESS,647.06,2013-02-07
Central Services,Supplies and Services,Comms & Computing,42398391,3,201211,VIRGIN MEDIA BUSINESS,1386.07,2013-02-07
Central Services,Supplies and Services,Comms & Computing,42398391,4,201211,VIRGIN MEDIA BUSINESS,587.59,2013-02-07
Central Services,Supplies and Services,Comms & Computing,42398396,3,201211,VODAFONE CORPORATE LTD,676.76,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398396,4,201211,VODAFONE CORPORATE LTD,6.75,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,18,201211,VODAFONE CORPORATE LTD,9.64,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,16,201211,VODAFONE CORPORATE LTD,76.5,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,17,201211,VODAFONE CORPORATE LTD,2.25,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,29,201211,VODAFONE CORPORATE LTD,89.25,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,30,201211,VODAFONE CORPORATE LTD,4.5,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,21,201211,VODAFONE CORPORATE LTD,0.21,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,19,201211,VODAFONE CORPORATE LTD,58.08,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,20,201211,VODAFONE CORPORATE LTD,5.4,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,22,201211,VODAFONE CORPORATE LTD,90,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,25,201211,VODAFONE CORPORATE LTD,0.52,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,23,201211,VODAFONE CORPORATE LTD,123,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,24,201211,VODAFONE CORPORATE LTD,2.25,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,28,201211,VODAFONE CORPORATE LTD,21.33,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,26,201211,VODAFONE CORPORATE LTD,45,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398708,27,201211,VODAFONE CORPORATE LTD,2.25,2013-02-08
Central Services,Transport,Public Transport and Taxi Fares,42398731,48,201211,CLICK TRAVEL LTD,26.74,2013-02-08
Central Services,Transport,Public Transport and Taxi Fares,42398731,49,201211,CLICK TRAVEL LTD,26.74,2013-02-08
Central Services,Employees,Indirect Employee Expenses,42398731,31,201211,CLICK TRAVEL LTD,5.8,2013-02-08
Central Services,Employees,Indirect Employee Expenses,42398731,37,201211,CLICK TRAVEL LTD,325.71,2013-02-08
Central Services,Supplies and Services,Comms & Computing,42398917,2,201211,CIVICA UK LTD,2502.78,2013-02-11
Central Services,Other Costs,,42399124,2,201211,INSIGHT DIRECT UK LTD,3085.12,2013-02-12
Central Services,Supplies and Services,Comms & Computing,42399128,2,201211,VODAFONE CORPORATE LTD,35785.00,2013-02-12
Central Services,Supplies and Services,"Licenses, Housing, Fees",42399385,12,201211,HMCTS,50,2013-02-13
Central Services,Supplies and Services,"Licenses, Housing, Fees",42399385,9,201211,HMCTS,50,2013-02-13
Central Services,Supplies and Services,"Licenses, Housing, Fees",42399385,11,201211,HMCTS,50,2013-02-13
Central Services,Supplies and Services,"Licenses, Housing, Fees",42399593,2,201211,CAPITA BUSINESS SERVICES LTD,350,2013-02-14
Central Services,Supplies and Services,"Licenses, Housing, Fees",42399596,2,201211,CAPITA BUSINESS SERVICES LTD,350,2013-02-14
Central Services,Supplies and Services,"Licenses, Housing, Fees",42399599,2,201211,NORTHUMBRIA UNIVERSITY,14000.00,2013-02-14
Central Services,Supplies and Services,"Licenses, Housing, Fees",42399602,2,201211,N.E. REGIONAL EMPLOYERS ORGANISATION,1000.00,2013-02-14
Central Services,Transport,Public Transport and Taxi Fares,42399773,21,201211,CLICK TRAVEL LTD,139.86,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399780,6,201211,NORTHGATEARINSO,9843.75,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399780,8,201211,NORTHGATEARINSO,20900.25,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399780,7,201211,NORTHGATEARINSO,375,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399780,10,201211,NORTHGATEARINSO,4691.00,2013-02-14
Central Services,Supplies and Services,Other Running Costs,42399780,9,201211,NORTHGATEARINSO,44832.50,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399781,2,201211,TROJAN CONSULTANTS LTD,3579.00,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399784,3,201211,TROJAN CONSULTANTS LTD,4848.86,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399994,8,201211,VODAFONE CORPORATE LTD,246.12,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399994,7,201211,VODAFONE CORPORATE LTD,328.21,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399994,10,201211,VODAFONE CORPORATE LTD,13.5,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399995,7,201211,VODAFONE CORPORATE LTD,346.43,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399995,8,201211,VODAFONE CORPORATE LTD,43.88,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399995,6,201211,VODAFONE CORPORATE LTD,263.7,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42399995,9,201211,VODAFONE CORPORATE LTD,13.5,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42400010,9,201211,VODAFONE CORPORATE LTD,208.61,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42400010,11,201211,VODAFONE CORPORATE LTD,0.66,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42400010,8,201211,VODAFONE CORPORATE LTD,355.32,2013-02-14
Central Services,Supplies and Services,Comms & Computing,42400010,12,201211,VODAFONE CORPORATE LTD,12.84,2013-02-14
Central Services,Employees,Indirect Employee Expenses,42400229,2,201211,KAPLAN FINANCIAL,1545.33,2013-02-15
Central Services,Works,,42400251,2,201211,ATKINS,3164.80,2013-02-15
Central Services,Works,,42400253,2,201211,ATKINS,9962.88,2013-02-15
Central Services,Supplies and Services,Comms & Computing,42400303,3,201211,POSTAGE BY PHONE-PITNEY BOWES,9,2013-02-18
Central Services,Supplies and Services,Comms & Computing,42400303,4,201211,POSTAGE BY PHONE-PITNEY BOWES,8000.00,2013-02-18
Central Services,Supplies and Services,"Grants, Contribs & Subs",42400304,2,201211,CIPFA BUSINESS LIMITED,6894.00,2013-02-18
Central Services,Employees,Indirect Employee Expenses,42400305,2,201211,CIPFA BUSINESS LIMITED,375,2013-02-18
Central Services,Support Services,Support Services,42400307,2,201211,MAZARS LLP,17226.00,2013-02-18
Central Services,Supplies and Services,"Licenses, Housing, Fees",42400506,2,201211,HMCTS,4025.00,2013-02-19
Central Services,Supplies and Services,"Furn, Equip & Mats",42400700,3,201211,REDACTED - Personal Information,500,2013-02-20
Central Services,Supplies and Services,Comms & Computing,42400737,2,201211,LOGOTECH SYSTEMS,3500.00,2013-02-20
Central Services,Supplies and Services,Comms & Computing,42400738,7,201211,VODAFONE CORPORATE LTD,78,2013-02-20
Central Services,Supplies and Services,Comms & Computing,42400738,8,201211,VODAFONE CORPORATE LTD,8.39,2013-02-20
Central Services,Supplies and Services,Comms & Computing,42400738,9,201211,VODAFONE CORPORATE LTD,160.5,2013-02-20
Central Services,Capital Financing Charges,Capital Financing,42400739,2,201211,SECTOR TREASURY SERVICES LTD,16500.00,2013-02-20
Central Services,Supplies and Services,"Printing, Stationery etc",42400844,2,201211,CLAVERING STATIONERS,633,2013-02-20
Central Services,Supplies and Services,Comms & Computing,42400853,2,201211,DELL FINANCIAL SERVICES,437.96,2013-02-20
Central Services,Supplies and Services,Comms & Computing,42400861,2,201211,DELL FINANCIAL SERVICES,437.96,2013-02-20
Central Services,Supplies and Services,Comms & Computing,42400863,2,201211,DELL FINANCIAL SERVICES,446.72,2013-02-20
Central Services,Transport,Public Transport and Taxi Fares,42401399,16,201211,CLICK TRAVEL LTD,221.66,2013-02-22
Central Services,Supplies and Services,"Furn, Equip & Mats",42401785,2,201211,ANTALIS LTD,560.12,2013-02-25
Central Services,Supplies and Services,"Printing, Stationery etc",42401805,14,201211,INTERCHANGE NEWS,47.76,2013-02-25
Central Services,Supplies and Services,"Printing, Stationery etc",42401805,15,201211,INTERCHANGE NEWS,70.57,2013-02-25
Central Services,Supplies and Services,"Printing, Stationery etc",42401805,16,201211,INTERCHANGE NEWS,126.42,2013-02-25
Central Services,Supplies and Services,"Printing, Stationery etc",42401805,17,201211,INTERCHANGE NEWS,15.02,2013-02-25
Central Services,Supplies and Services,"Printing, Stationery etc",42401805,23,201211,INTERCHANGE NEWS,10.5,2013-02-25
Central Services,Supplies and Services,"Printing, Stationery etc",42401805,12,201211,INTERCHANGE NEWS,11.5,2013-02-25
Central Services,Supplies and Services,"Printing, Stationery etc",42401805,22,201211,INTERCHANGE NEWS,15.46,2013-02-25
Central Services,Supplies and Services,Comms & Computing,42402481,2,201211,RETOX DIGITAL LIMITED,350,2013-02-26
Central Services,Employees,Indirect Employee Expenses,42402516,2,201211,CENTRAL LAW TRAINING SCOTLAND,1695.00,2013-02-26
Central Services,Supplies and Services,"Licenses, Housing, Fees",42402525,19,201211,DISCLOSURE & BARRING SERVICE,616,2013-02-26
Central Services,Supplies and Services,Comms & Computing,42402780,11,201211,ROYAL MAIL,933.47,2013-02-27
Central Services,Supplies and Services,Comms & Computing,42402780,12,201211,ROYAL MAIL,88.75,2013-02-27
Central Services,Supplies and Services,Comms & Computing,42402780,6,201211,ROYAL MAIL,149.89,2013-02-27
Central Services,Supplies and Services,Comms & Computing,42402780,7,201211,ROYAL MAIL,140.36,2013-02-27
Central Services,Supplies and Services,Comms & Computing,42402780,8,201211,ROYAL MAIL,43.35,2013-02-27
Central Services,Supplies and Services,Comms & Computing,42402780,13,201211,ROYAL MAIL,60,2013-02-27
Central Services,Supplies and Services,Comms & Computing,42402780,10,201211,ROYAL MAIL,969.89,2013-02-27
Central Services,Supplies and Services,Comms & Computing,42402780,9,201211,ROYAL MAIL,986.97,2013-02-27
Central Services,Works,,42403012,2,201211,PATTINSON SCIENTIFIC SERVICES,500,2013-02-28
Central Services,Transport,Car Allowances,42403075,78,201211,COMMONWHEELS CIC,64.43,2013-02-27
Central Services,Transport,Car Allowances,42403075,43,201211,COMMONWHEELS CIC,1.8,2013-02-27
Central Services,Transport,Car Allowances,42403075,41,201211,COMMONWHEELS CIC,8.7,2013-02-27
Central Services,Transport,Car Allowances,42403075,42,201211,COMMONWHEELS CIC,1.8,2013-02-27
Central Services,Transport,Car Allowances,42403075,64,201211,COMMONWHEELS CIC,10,2013-02-27
Central Services,Transport,Car Allowances,42403075,80,201211,COMMONWHEELS CIC,342.54,2013-02-27
Central Services,Transport,Car Allowances,42403075,44,201211,COMMONWHEELS CIC,13.65,2013-02-27
Central Services,Transport,Car Allowances,42403075,65,201211,COMMONWHEELS CIC,50,2013-02-27
Central Services,Transport,Car Allowances,42403075,79,201211,COMMONWHEELS CIC,194.31,2013-02-27
Central Services,Transport,Car Allowances,42403075,45,201211,COMMONWHEELS CIC,12.6,2013-02-27
Central Services,Transport,Car Allowances,42403075,66,201211,COMMONWHEELS CIC,10,2013-02-27
Central Services,Supplies and Services,Comms & Computing,42403181,11,201211,ROYAL MAIL,709.26,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403181,12,201211,ROYAL MAIL,69.44,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403181,6,201211,ROYAL MAIL,124.31,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403181,7,201211,ROYAL MAIL,226.95,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403181,8,201211,ROYAL MAIL,32.87,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403181,13,201211,ROYAL MAIL,50,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403181,10,201211,ROYAL MAIL,346.08,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403181,9,201211,ROYAL MAIL,1277.31,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403255,11,201211,ROYAL MAIL,598.97,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403255,12,201211,ROYAL MAIL,86.62,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403255,6,201211,ROYAL MAIL,148.37,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403255,7,201211,ROYAL MAIL,217.79,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403255,8,201211,ROYAL MAIL,27.92,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403255,13,201211,ROYAL MAIL,40,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403255,10,201211,ROYAL MAIL,794.71,2013-02-28
Central Services,Supplies and Services,Comms & Computing,42403255,9,201211,ROYAL MAIL,734.29,2013-02-28
Central Services,Employees,Indirect Employee Expenses,42403297,2,201211,KAPLAN FINANCIAL,2304.17,2013-02-28
Central Services,Supplies and Services,"Printing, Stationery etc",43719662,2,201211,HILLPRINT MEDIA LTD,535,2013-02-01
Central Services,Supplies and Services,"Printing, Stationery etc",43719663,2,201211,BAKERSHAW PRINT LTD,388,2013-02-01
Central Services,Supplies and Services,"Printing, Stationery etc",43719668,2,201211,HILLPRINT MEDIA LTD,1418.00,2013-02-01
Central Services,Supplies and Services,"Printing, Stationery etc",43719675,2,201211,STATEX PRESS NORTHERN LTD,371,2013-02-01
Central Services,Supplies and Services,Comms & Computing,43719801,2,201211,GENETICS LIMITED,7058.00,2013-02-04
Central Services,Supplies and Services,Comms & Computing,43719979,2,201211,CAPITA SOFTWARE SERVICES,370,2013-02-05
Central Services,Supplies and Services,"Licenses, Housing, Fees",43720473,2,201211,ARMSTRONG WILSON ASSOCIATES LTD,1000.00,2013-02-07
Central Services,Supplies and Services,"Licenses, Housing, Fees",43720474,2,201211,ARMSTRONG WILSON ASSOCIATES LTD,750,2013-02-07
Central Services,Supplies and Services,"Printing, Stationery etc",43720475,2,201211,HILLPRINT MEDIA LTD,2163.00,2013-02-07
Central Services,Supplies and Services,Comms & Computing,43720476,2,201211,DATA DESIGN SERVICES LTD,1675.00,2013-02-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43720478,2,201211,ANTALIS LTD,2048.65,2013-02-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43720480,2,201211,ANTALIS LTD,400.92,2013-02-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43720481,2,201211,STATEX PRESS NORTHERN LTD,371,2013-02-07
Central Services,Supplies and Services,Comms & Computing,43720900,2,201211,LAPTOP AND SPARES LTD,493.5,2013-02-11
Central Services,Purchase of Equipment,,43720925,2,201211,INSIGHT DIRECT UK LTD,3085.12,2013-02-08
Central Services,Consultants,,43720927,2,201211,COMMVAULT SYSTEMS LIMITED,3999.00,2013-02-11
Central Services,Purchase of Equipment,,43720962,2,201211,CORPORATE COMPUTER SUPPLIES LTD,7548.00,2013-02-11
Central Services,Purchase of Equipment,,43720993,2,201211,INSIGHT DIRECT UK LTD,8023.68,2013-02-11
Central Services,Purchase of Equipment,,43721001,2,201211,INSIGHT DIRECT UK LTD,7938.00,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721007,2,201211,INSIGHT DIRECT UK LTD,626.59,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721013,2,201211,INSIGHT DIRECT UK LTD,864.36,2013-02-11
Central Services,Supplies and Services,"Grants, Contribs & Subs",43721016,2,201211,ROSPA,425,2013-02-11
Central Services,Supplies and Services,"Licenses, Housing, Fees",43721017,2,201211,STUDSVIK UK LTD,560,2013-02-11
Central Services,Purchase of Equipment,,43721018,2,201211,INSIGHT DIRECT UK LTD,1118.50,2013-02-11
Central Services,Supplies and Services,"Printing, Stationery etc",43721021,2,201211,WASHINTON DIRECT MAIL,2808.61,2013-02-11
Central Services,Supplies and Services,"Furn, Equip & Mats",43721022,2,201211,STANDING STONE DRAWING OFFICE SUPPLIES LTD,497.2,2013-02-11
Central Services,Supplies and Services,Miscellaneous Supplies,43721024,2,201211,LRQA LTD,1780.00,2013-02-11
Central Services,Supplies and Services,"Furn, Equip & Mats",43721027,2,201211,ANTALIS LTD,401.89,2013-02-11
Central Services,Supplies and Services,"Printing, Stationery etc",43721029,2,201211,MV PRINT LTD,937,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721030,2,201211,FULL CONTROL NETWORKS DISTRIBUTION,1250.00,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721039,2,201211,CORPORATE COMPUTER SUPPLIES LTD,2104.20,2013-02-11
Central Services,Purchase of Equipment,,43721043,2,201211,VODAFONE CORPORATE LTD,1200.00,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721061,2,201211,DELL COMPUTER CORPORATION LTD,469,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721062,2,201211,DELL COMPUTER CORPORATION LTD,1611.60,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721063,2,201211,DELL COMPUTER CORPORATION LTD,439,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721064,2,201211,STORMFRONT RETAIL LTD,11610.00,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721067,2,201211,STORMFRONT RETAIL LTD,899.76,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721069,2,201211,STORMFRONT RETAIL LTD,417.4,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721071,2,201211,UNITED CARLTON OFFICE SYSTEMS,379,2013-02-11
Central Services,Supplies and Services,Comms & Computing,43721340,2,201211,DELL COMPUTER CORPORATION LTD,1449.00,2013-02-12
Central Services,Supplies and Services,Comms & Computing,43721341,2,201211,PHOENIX SOFTWARE LTD,541.6,2013-02-12
Central Services,Supplies and Services,Comms & Computing,43721342,2,201211,DELL FINANCIAL SERVICES,2320.18,2013-02-12
Central Services,Supplies and Services,Comms & Computing,43721343,2,201211,DELL FINANCIAL SERVICES,15613.57,2013-02-12
Central Services,Supplies and Services,"Licenses, Housing, Fees",43721356,2,201211,TREATMENT SOLUTIONS,4099.33,2013-02-12
Central Services,Third Party Payments,Third Party Payments,43721363,3,201211,MISCO,1457.28,2013-02-12
Central Services,Purchase of Equipment,,43721363,4,201211,MISCO,487.56,2013-02-12
Central Services,Purchase of Equipment,,43721382,2,201211,AXESS SYSTEMS LTD,73776.00,2013-02-12
Central Services,Purchase of Equipment,,43721395,2,201211,DELL COMPUTER CORPORATION LTD,23509.20,2013-02-12
Central Services,Supplies and Services,Comms & Computing,43721396,4,201211,PROBRAND LTD,424.22,2013-02-12
Central Services,Purchase of Equipment,,43721397,2,201211,VIRGIN MEDIA BUSINESS,19880.00,2013-02-12
Central Services,Supplies and Services,"Printing, Stationery etc",43721775,2,201211,BAKERSHAW PRINT LTD,869,2013-02-14
Central Services,Supplies and Services,"Furn, Equip & Mats",43721776,2,201211,INKLAND LTD,376.61,2013-02-14
Central Services,Supplies and Services,Comms & Computing,43722190,2,201211,STORMFRONT RETAIL LTD,822,2013-02-19
Central Services,Supplies and Services,Comms & Computing,43722192,2,201211,CAPITA BUSINESS SERVICES LTD,84555.56,2013-02-19
Central Services,Supplies and Services,Comms & Computing,43722203,2,201211,UNITED CARLTON OFFICE SYSTEMS,1137.00,2013-02-19
