Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001392,27,201909,CLICK TRAVEL LTD,38.6,2019-12-02
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001392,28,201909,CLICK TRAVEL LTD,20.1,2019-12-02
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001397,33,201909,CLICK TRAVEL LTD,105.5,2019-12-06
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001397,39,201909,CLICK TRAVEL LTD,70,2019-12-06
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001410,2,201909,CLICK TRAVEL LTD,94,2019-12-13
Office of the Chief Executive,Supplies and Services,"Printing, Stationery etc",44058629,0,201909,ACORN WEB OFFSET LTD,13749.12,2019-12-03
Office of the Chief Executive,Supplies and Services,"Grants, Contribs & Subs",44059883,0,201909,NATIONAL LEAFLET COMPANY,5582.7,2019-12-17
Resources and Digital,Transport,Public Transport and Taxi Fares,300001397,8,201909,CLICK TRAVEL LTD,7.5,2019-12-06
Resources and Digital,Transport,Public Transport and Taxi Fares,300001397,36,201909,CLICK TRAVEL LTD,11.5,2019-12-06
Resources and Digital,Transport,Public Transport and Taxi Fares,300001397,51,201909,CLICK TRAVEL LTD,62.4,2019-12-06
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,1,201909,CLICK TRAVEL LTD,48.5,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,2,201909,CLICK TRAVEL LTD,97.49,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,14,201909,CLICK TRAVEL LTD,87,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001410,9,201909,CLICK TRAVEL LTD,47.1,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001410,21,201909,CLICK TRAVEL LTD,47.1,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001410,27,201909,CLICK TRAVEL LTD,34.67,2019-12-13
Resources and Digital,Supplies and Services,Comms & Computing,41266160,1,201909,QUICKTHINK CLOUD LIMITED,1369.2,2019-12-10
Resources and Digital,Supplies and Services,Comms & Computing,41266163,1,201909,QUICKTHINK CLOUD LIMITED,3148.66,2019-12-10
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,8,201909,CLICK TRAVEL LTD,105.5,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,10,201909,CLICK TRAVEL LTD,70,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,17,201909,CLICK TRAVEL LTD,30.6,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,21,201909,CLICK TRAVEL LTD,30.6,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001410,7,201909,CLICK TRAVEL LTD,38.6,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001410,33,201909,CLICK TRAVEL LTD,38.6,2019-12-13
Resources and Digital,Supplies and Services,Comms & Computing,41267401,1,201909,CAPITA BUSINESS SERVICES LTD,772.5,2019-12-27
Resources and Digital,Supplies and Services,Comms & Computing,41267402,1,201909,CAPITA BUSINESS SERVICES LTD,5150,2019-12-27
Resources and Digital,Supplies and Services,Comms & Computing,41265843,1,201909,EXPERIAN LTD,5154.21,2019-12-06
Resources and Digital,Supplies and Services,Comms & Computing,41265501,1,201909,CRITIQOM,1484.45,2019-12-02
Resources and Digital,Supplies and Services,Comms & Computing,41265506,1,201909,CRITIQOM,1305.87,2019-12-02
Resources and Digital,Supplies and Services,Comms & Computing,41265508,1,201909,CRITIQOM,1061.23,2019-12-02
Resources and Digital,Supplies and Services,Comms & Computing,148033568,7,201909,ROYAL MAIL,307.03,2019-12-10
Resources and Digital,Supplies and Services,Other Running Costs,148033588,1,201909,ROSSENDALES COLLECT LTD,9.42,2019-12-11
Resources and Digital,Supplies and Services,Comms & Computing,148033568,1,201909,ROYAL MAIL,266.69,2019-12-10
Resources and Digital,Supplies and Services,Comms & Computing,148033568,2,201909,ROYAL MAIL,317.27,2019-12-10
Resources and Digital,Third Party Payments,Third Party Payments,147046846,1,201909,REDACTED - Personal Information,5000,2019-12-20
Resources and Digital,Supplies and Services,Miscellaneous Supplies,41265661,1,201909,PREPAID FINANCIAL SERVICES LTD,2335,2019-12-05
Resources and Digital,Supplies and Services,Miscellaneous Supplies,41265661,2,201909,PREPAID FINANCIAL SERVICES LTD,1206.79,2019-12-05
Resources and Digital,Supplies and Services,Miscellaneous Supplies,41265661,3,201909,PREPAID FINANCIAL SERVICES LTD,1980.99,2019-12-05
Resources and Digital,Supplies and Services,Comms & Computing,148033508,1,201909,MHR INTERNATIONAL UK LTD,509.5,2019-12-04
Resources and Digital,Supplies and Services,Comms & Computing,148033606,1,201909,MHR INTERNATIONAL UK LTD,509.5,2019-12-12
Resources and Digital,Supplies and Services,Comms & Computing,148033568,6,201909,ROYAL MAIL,204.12,2019-12-10
Resources and Digital,Supplies and Services,Comms & Computing,148033568,3,201909,ROYAL MAIL,310.87,2019-12-10
Resources and Digital,Supplies and Services,Comms & Computing,148033568,4,201909,ROYAL MAIL,330.08,2019-12-10
Resources and Digital,Supplies and Services,Comms & Computing,148033568,5,201909,ROYAL MAIL,27.76,2019-12-10
Resources and Digital,Transport,Public Transport and Taxi Fares,300001410,32,201909,CLICK TRAVEL LTD,79.9,2019-12-13
Resources and Digital,Supplies and Services,Comms & Computing,148033568,8,201909,ROYAL MAIL,1.48,2019-12-10
Resources and Digital,Supplies and Services,"Licenses, Housing, Fees",41266450,1,201909,DISCLOSURE & BARRING SERVICE,2423,2019-12-19
Resources and Digital,Transport,Public Transport and Taxi Fares,300001410,19,201909,CLICK TRAVEL LTD,89,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001397,14,201909,CLICK TRAVEL LTD,9.95,2019-12-06
Resources and Digital,Transport,Public Transport and Taxi Fares,300001397,28,201909,CLICK TRAVEL LTD,7.55,2019-12-06
Resources and Digital,Transport,Public Transport and Taxi Fares,300001397,34,201909,CLICK TRAVEL LTD,7.55,2019-12-06
Resources and Digital,Transport,Public Transport and Taxi Fares,300001397,40,201909,CLICK TRAVEL LTD,9.95,2019-12-06
Resources and Digital,Supplies and Services,Comms & Computing,44061733,0,201909,TRUSTMARQUE SOLUTIONS LTD,688913.88,2019-12-19
Resources and Digital,Supplies and Services,"Licenses, Housing, Fees",44059662,0,201909,FARRPOINT LIMITED,9000,2019-12-11
Resources and Digital,Supplies and Services,Comms & Computing,44061035,0,201909,MICROSOFT IRELAND OPERATIONS LTD,1519.97,2019-12-16
Resources and Digital,Supplies and Services,Comms & Computing,44059234,1,201909,DELL COMPUTER CORPORATION LTD,2740.34,2019-12-10
Resources and Digital,Supplies and Services,Comms & Computing,44060239,0,201909,DELL BANK INTERNATIONAL LTD,17852.7,2019-12-09
Resources and Digital,Supplies and Services,Comms & Computing,44061040,0,201909,DELL BANK INTERNATIONAL LTD,3004.86,2019-12-16
Resources and Digital,Supplies and Services,Comms & Computing,44059509,0,201909,PHOENIX SOFTWARE LTD,524.43,2019-12-18
Resources and Digital,Supplies and Services,Comms & Computing,44059759,0,201909,PHOENIX SOFTWARE LTD,524.43,2019-12-10
Resources and Digital,Supplies and Services,Comms & Computing,148033506,1,201909,PHOENIX SOFTWARE LTD,524.43,2019-12-04
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,29,201909,CLICK TRAVEL LTD,2,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,34,201909,CLICK TRAVEL LTD,64.7,2019-12-13
Resources and Digital,Transport,Public Transport and Taxi Fares,300001408,38,201909,CLICK TRAVEL LTD,2.6,2019-12-13
Corporate Services & Governance,Employees,Indirect Employee Expenses,44059276,0,201909,NORTHERN COUNTIES SAFETY GROUP LTD,780,2019-12-02
Corporate Services & Governance,Employees,Indirect Employee Expenses,44059668,0,201909,CAPABLE PEOPLE TRAINING AND CONSULTANCY LIMITED,1850,2019-12-04
Corporate Services & Governance,Supplies and Services,"Licenses, Housing, Fees",44059274,0,201909,MEDICALS PLUS LIMITED,4117.85,2019-12-02
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44056505,0,201909,THE HUMAN OFFICE LTD,542.94,2019-12-09
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44056506,0,201909,THE HUMAN OFFICE LTD,781.2,2019-12-09
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44059064,0,201909,THE HUMAN OFFICE LTD,817.2,2019-12-09
Corporate Services & Governance,Employees,Indirect Employee Expenses,44061709,0,201909,ELIESHA TRAINING LTD,2085,2019-12-19
Corporate Services & Governance,Employees,Indirect Employee Expenses,44059404,0,201909,LBJ SOLUTIONS UK,1427,2019-12-02
Corporate Services & Governance,Employees,Indirect Employee Expenses,44061881,0,201909,MAYBO LTD,990,2019-12-20
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,300001408,3,201909,CLICK TRAVEL LTD,94.99,2019-12-13
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,300001408,13,201909,CLICK TRAVEL LTD,94.99,2019-12-13
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,300001408,33,201909,CLICK TRAVEL LTD,94.99,2019-12-13
Corporate Services & Governance,Employees,Indirect Employee Expenses,44060380,0,201909,S WOOLMORE T/A PURPLEBOY CONSULTING,1050,2019-12-09
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,300001410,3,201909,CLICK TRAVEL LTD,24.9,2019-12-13
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,300001410,23,201909,CLICK TRAVEL LTD,9.95,2019-12-13
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,300001410,24,201909,CLICK TRAVEL LTD,18.7,2019-12-13
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,300001410,36,201909,CLICK TRAVEL LTD,20.1,2019-12-13
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",41265841,1,201909,CANON (UK) LTD,1201.61,2019-12-09
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44058495,0,201909,ANTALIS LTD,971.51,2019-12-05
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44060525,0,201909,PREMIER PAPER GROUP,417,2019-12-11
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44061290,0,201909,ANTALIS LTD,800,2019-12-17
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44061291,0,201909,ANTALIS LTD,718.56,2019-12-17
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",44061361,0,201909,PREMIER PAPER GROUP,836.75,2019-12-17
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",44058237,0,201909,STATE 8 PROMOTIONS,930.5,2019-12-05
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",44061299,0,201909,CLIFFE ENTERPRISE LTD,486,2019-12-17
Corporate Services & Governance,Supplies and Services,"Printing, Stationery etc",44061326,0,201909,PRINT BY LASER,686,2019-12-17
Corporate Services & Governance,Supplies and Services,Other Running Costs,41265601,1,201909,CANON (UK) LTD,506.87,2019-12-04
