Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,43,201711,CLICK TRAVEL LTD,55,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,44,201711,CLICK TRAVEL LTD,55,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,65,201711,CLICK TRAVEL LTD,7.5,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,66,201711,CLICK TRAVEL LTD,7.5,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,67,201711,CLICK TRAVEL LTD,7.5,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,68,201711,CLICK TRAVEL LTD,226.74,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,70,201711,CLICK TRAVEL LTD,55,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,72,201711,CLICK TRAVEL LTD,594.89,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,73,201711,CLICK TRAVEL LTD,594.89,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,76,201711,CLICK TRAVEL LTD,1.85,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000385,77,201711,CLICK TRAVEL LTD,594.89,2018-02-07
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000392,45,201711,CLICK TRAVEL LTD,148.44,2018-02-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,41218054,1,201711,CACI LTD,3770.32,2018-02-09
Office of the Chief Executive,Supplies and Services,Comms & Computing,43977980,0,201711,ESRI UK LTD,1990,2018-02-01
Office of the Chief Executive,Supplies and Services,"Licenses, Housing, Fees",43984236,0,201711,ANGHARD MEDIA,790.98,2018-02-02
Office of the Chief Executive,Supplies and Services,Advertising,43986715,0,201711,SALLY ANN NORMAN PHOTOGRAPHY,1299.3,2018-02-23
Corporate Resources,Employees,Agency Staff,60091256,13,201711,DE POEL MANAGED SERVICES LIMITED,536.86,2018-02-14
Corporate Resources,Employees,Agency Staff,60091257,14,201711,DE POEL MANAGED SERVICES LIMITED,502.7,2018-02-14
Corporate Resources,Employees,Agency Staff,60091258,28,201711,DE POEL MANAGED SERVICES LIMITED,517.34,2018-02-20
Corporate Resources,Employees,Agency Staff,60091259,5,201711,DE POEL MANAGED SERVICES LIMITED,522.22,2018-02-20
Corporate Resources,Employees,Indirect Employee Expenses,41219047,1,201711,CIPFA,2045,2018-02-21
Corporate Resources,Employees,Indirect Employee Expenses,41219048,1,201711,CIPFA,2045,2018-02-21
Corporate Resources,Employees,Indirect Employee Expenses,41219049,1,201711,CIPFA,1190,2018-02-21
Corporate Resources,Employees,Indirect Employee Expenses,41219050,1,201711,CIPFA,855,2018-02-21
Corporate Resources,Employees,Indirect Employee Expenses,41219054,1,201711,CIPFA,2045,2018-02-21
Corporate Resources,Transport,Public Transport and Taxi Fares,300000409,37,201711,CLICK TRAVEL LTD,266.37,2018-02-20
Corporate Resources,Transport,Public Transport and Taxi Fares,300000409,38,201711,CLICK TRAVEL LTD,138.77,2018-02-20
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148026792,2,201711,MARSH LTD,6567.79,2018-02-08
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148026793,2,201711,MARSH LTD,4808.3,2018-02-08
Corporate Resources,Transport,Public Transport and Taxi Fares,300000409,9,201711,CLICK TRAVEL LTD,54.45,2018-02-20
Corporate Resources,Transport,Public Transport and Taxi Fares,300000409,13,201711,CLICK TRAVEL LTD,36.45,2018-02-20
Corporate Resources,Transport,Public Transport and Taxi Fares,300000409,15,201711,CLICK TRAVEL LTD,9.98,2018-02-20
Corporate Resources,Transport,Public Transport and Taxi Fares,300000409,16,201711,CLICK TRAVEL LTD,7.48,2018-02-20
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",148026888,1,201711,THOMSON REUTERS PROFESSIONAL,1133,2018-02-19
Corporate Resources,Transport,Public Transport and Taxi Fares,300000392,35,201711,CLICK TRAVEL LTD,16.13,2018-02-12
Corporate Resources,Transport,Public Transport and Taxi Fares,300000392,37,201711,CLICK TRAVEL LTD,10.33,2018-02-12
Corporate Resources,Transport,Public Transport and Taxi Fares,300000409,8,201711,CLICK TRAVEL LTD,221.67,2018-02-20
Corporate Resources,Transport,Public Transport and Taxi Fares,300000409,22,201711,CLICK TRAVEL LTD,3,2018-02-20
Corporate Resources,Supplies and Services,Comms & Computing,41218222,1,201711,QUICKTHINK CLOUD LIMITED,1296.36,2018-02-15
Corporate Resources,Supplies and Services,Comms & Computing,148026785,7,201711,ROYAL MAIL,1009.04,2018-02-08
Corporate Resources,Supplies and Services,Comms & Computing,148026865,7,201711,ROYAL MAIL,1086.72,2018-02-16
Corporate Resources,Supplies and Services,Comms & Computing,148026891,7,201711,ROYAL MAIL,1264.76,2018-02-19
Corporate Resources,Supplies and Services,Comms & Computing,148026939,7,201711,ROYAL MAIL,982.13,2018-02-27
Corporate Resources,Supplies and Services,Comms & Computing,41218639,1,201711,VIRGIN MEDIA PAYMENTS LTD,826.9,2018-02-16
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41218639,2,201711,VIRGIN MEDIA PAYMENTS LTD,80,2018-02-16
Corporate Resources,Supplies and Services,Other Running Costs,148026902,1,201711,ROSSENDALES COLLECT LTD,330.45,2018-02-21
Corporate Resources,Supplies and Services,Comms & Computing,41218242,1,201711,PITNEY BOWES PURCHASE POWER,862.85,2018-02-14
Corporate Resources,Supplies and Services,Comms & Computing,148026785,1,201711,ROYAL MAIL,326.93,2018-02-08
Corporate Resources,Supplies and Services,Comms & Computing,148026785,2,201711,ROYAL MAIL,1044.32,2018-02-08
Corporate Resources,Supplies and Services,Comms & Computing,148026865,1,201711,ROYAL MAIL,111.7,2018-02-16
Corporate Resources,Supplies and Services,Comms & Computing,148026865,2,201711,ROYAL MAIL,865.25,2018-02-16
Corporate Resources,Supplies and Services,Comms & Computing,148026891,1,201711,ROYAL MAIL,534.07,2018-02-19
Corporate Resources,Supplies and Services,Comms & Computing,148026891,2,201711,ROYAL MAIL,828.85,2018-02-19
Corporate Resources,Supplies and Services,Comms & Computing,148026939,1,201711,ROYAL MAIL,72.6,2018-02-27
Corporate Resources,Supplies and Services,Comms & Computing,148026939,2,201711,ROYAL MAIL,765.75,2018-02-27
Corporate Resources,Third Party Payments,Third Party Payments,41217572,1,201711,PREPAID FINANCIAL SERVICES LTD,1000,2018-02-02
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",147039567,1,201711,SERVELEC SYNERGY LIMITED,21203,2018-02-12
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217427,1,201711,PREPAID FINANCIAL SERVICES LTD,1656.3,2018-02-01
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217427,2,201711,PREPAID FINANCIAL SERVICES LTD,459.61,2018-02-01
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217428,1,201711,PREPAID FINANCIAL SERVICES LTD,2642.29,2018-02-01
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217428,2,201711,PREPAID FINANCIAL SERVICES LTD,950.9,2018-02-01
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217429,1,201711,PREPAID FINANCIAL SERVICES LTD,3100.16,2018-02-01
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217429,2,201711,PREPAID FINANCIAL SERVICES LTD,964.39,2018-02-01
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217430,1,201711,PREPAID FINANCIAL SERVICES LTD,5036.97,2018-02-01
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217430,2,201711,PREPAID FINANCIAL SERVICES LTD,1307.53,2018-02-01
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217509,1,201711,PREPAID FINANCIAL SERVICES LTD,1342.93,2018-02-01
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41217509,2,201711,PREPAID FINANCIAL SERVICES LTD,181.92,2018-02-01
Corporate Resources,Supplies and Services,Comms & Computing,148026945,1,201711,MHR INTERNATIONAL UK LTD,11853,2018-02-28
Corporate Resources,Supplies and Services,Comms & Computing,148026946,1,201711,MHR INTERNATIONAL UK LTD,18843,2018-02-28
Corporate Resources,Supplies and Services,Comms & Computing,148026944,1,201711,MHR INTERNATIONAL UK LTD,2262.33,2018-02-28
Corporate Resources,Supplies and Services,Comms & Computing,148026948,1,201711,MHR INTERNATIONAL UK LTD,1571.32,2018-02-28
Corporate Resources,Supplies and Services,Comms & Computing,148026785,6,201711,ROYAL MAIL,112.53,2018-02-08
Corporate Resources,Supplies and Services,Comms & Computing,148026865,6,201711,ROYAL MAIL,99.74,2018-02-16
Corporate Resources,Supplies and Services,Comms & Computing,148026891,6,201711,ROYAL MAIL,68.35,2018-02-19
Corporate Resources,Supplies and Services,Comms & Computing,148026939,6,201711,ROYAL MAIL,109.5,2018-02-27
Corporate Resources,Employees,Indirect Employee Expenses,148026795,1,201711,ALPHABET (UK) FLEET MANAGEMENT LIMITED,1324.2,2018-02-08
Corporate Resources,Employees,Indirect Employee Expenses,148026795,2,201711,ALPHABET (UK) FLEET MANAGEMENT LIMITED,1588.94,2018-02-08
Corporate Resources,Supplies and Services,Comms & Computing,148026785,3,201711,ROYAL MAIL,161.59,2018-02-08
Corporate Resources,Supplies and Services,Comms & Computing,148026785,4,201711,ROYAL MAIL,167.35,2018-02-08
Corporate Resources,Supplies and Services,Comms & Computing,148026865,3,201711,ROYAL MAIL,111.29,2018-02-16
Corporate Resources,Supplies and Services,Comms & Computing,148026865,4,201711,ROYAL MAIL,98.6,2018-02-16
Corporate Resources,Supplies and Services,Comms & Computing,148026891,3,201711,ROYAL MAIL,180.07,2018-02-19
Corporate Resources,Supplies and Services,Comms & Computing,148026891,4,201711,ROYAL MAIL,291.78,2018-02-19
Corporate Resources,Supplies and Services,Comms & Computing,148026939,3,201711,ROYAL MAIL,163.35,2018-02-27
Corporate Resources,Supplies and Services,Comms & Computing,148026939,4,201711,ROYAL MAIL,97.43,2018-02-27
Corporate Resources,Supplies and Services,Comms & Computing,148026785,5,201711,ROYAL MAIL,17.72,2018-02-08
Corporate Resources,Supplies and Services,Comms & Computing,148026865,5,201711,ROYAL MAIL,17.63,2018-02-16
Corporate Resources,Supplies and Services,Comms & Computing,148026891,5,201711,ROYAL MAIL,24.61,2018-02-19
Corporate Resources,Supplies and Services,Comms & Computing,148026939,5,201711,ROYAL MAIL,11.37,2018-02-27
Corporate Resources,Employees,Indirect Employee Expenses,41217358,1,201711,THE LEISURE MEDIA COMPANY LTD,647,2018-02-02
Corporate Resources,Employees,Indirect Employee Expenses,43985895,0,201711,TES GLOBAL LIMITED,1125,2018-02-16
Corporate Resources,Employees,Indirect Employee Expenses,43985896,0,201711,TES GLOBAL LIMITED,877.5,2018-02-16
Corporate Resources,Employees,Indirect Employee Expenses,43987140,0,201711,ASSOCIATION OF EDUCATIONAL PSYCHOLOGISTS,700,2018-02-28
Corporate Resources,Supplies and Services,Comms & Computing,148026785,8,201711,ROYAL MAIL,17.63,2018-02-08
Corporate Resources,Supplies and Services,Comms & Computing,148026865,8,201711,ROYAL MAIL,52.28,2018-02-16
