Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,Miscellaneous Supplies,42360933,2,201206,HMCS,2676.00,2012-09-03
Central Services,Supplies and Services,Comms & Computing,42361114,2,201206,BRITISH TELECOM,5645.46,2012-09-04
Central Services,Supplies and Services,"Printing, Stationery etc",42361202,14,201206,INTERCHANGE NEWS,48.72,2012-09-04
Central Services,Supplies and Services,"Printing, Stationery etc",42361202,15,201206,INTERCHANGE NEWS,63.57,2012-09-04
Central Services,Supplies and Services,"Printing, Stationery etc",42361202,16,201206,INTERCHANGE NEWS,108.45,2012-09-04
Central Services,Supplies and Services,"Printing, Stationery etc",42361202,17,201206,INTERCHANGE NEWS,25.25,2012-09-04
Central Services,Supplies and Services,"Printing, Stationery etc",42361202,23,201206,INTERCHANGE NEWS,10.50,2012-09-04
Central Services,Supplies and Services,"Printing, Stationery etc",42361202,12,201206,INTERCHANGE NEWS,6.80,2012-09-04
Central Services,Supplies and Services,"Printing, Stationery etc",42361202,22,201206,INTERCHANGE NEWS,19.95,2012-09-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42361629,2,201206,LOCAL GOVERNMENT ASSOC.,692.56,2012-09-05
Central Services,Supplies and Services,Other Running Costs,42361785,2,201206,REDACTED - Personal Information,1135.38,2012-09-05
Central Services,Supplies and Services,Other Running Costs,42361786,2,201206,REDACTED - Personal Information,1040.00,2012-09-05
Central Services,Supplies and Services,Other Running Costs,42361787,2,201206,REDACTED - Personal Information,1040.00,2012-09-05
Central Services,Supplies and Services,Comms & Computing,42361814,289,201206,O2 (UK) LTD,30.14,2012-09-06
Central Services,Supplies and Services,Comms & Computing,42361814,290,201206,O2 (UK) LTD,35.76,2012-09-06
Central Services,Supplies and Services,Comms & Computing,42361814,291,201206,O2 (UK) LTD,26.19,2012-09-06
Central Services,Supplies and Services,Comms & Computing,42361814,301,201206,O2 (UK) LTD,39.00,2012-09-06
Central Services,Supplies and Services,Comms & Computing,42361814,297,201206,O2 (UK) LTD,13.00,2012-09-06
