Strategic Group,Spend Level 1,Spend Level 2,TransNo,Seq no,Period,Supplier Text,Amount,Updated
Central Services,Supplies and Services,"Licenses, Housing, Fees",42204882,2,201010,ALZHEIMERS TRADING LTD,520.83,2011-01-27
Central Services,Supplies and Services,"Furn, Equip & Mats",43602611,2,201010,ANTALIS MCNAUGHTON LTD,1469.92,2011-01-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43602684,2,201010,ANTALIS MCNAUGHTON LTD,581.09,2011-01-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43602685,2,201010,ANTALIS MCNAUGHTON LTD,600.8,2011-01-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43602707,2,201010,ANTALIS MCNAUGHTON LTD,1301.4,2011-01-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43603899,2,201010,ANTALIS MCNAUGHTON LTD,1446,2011-01-13
Central Services,Support Services,Support Services,42199921,5,201010,AUDIT COMMISSION,9247.5,2011-01-11
Central Services,Support Services,Support Services,42199921,8,201010,AUDIT COMMISSION,28883,2011-01-11
Central Services,Support Services,Support Services,42201599,8,201010,AUDIT COMMISSION,135,2011-01-17
Central Services,Support Services,Support Services,42201599,7,201010,AUDIT COMMISSION,29385.5,2011-01-17
Central Services,Supplies and Services,Catering & Provisions,42201852,2,201010,AUTOBAR UK LTD,878,2011-01-18
Central Services,Supplies and Services,Miscellaneous Supplies,42199988,2,201010,AV WORKS LTD,760.5,2011-01-11
Central Services,Supplies and Services,Comms & Computing,43604319,2,201010,BLUEFORT SECURITY LIMITED,8466,2011-01-19
Central Services,Supplies and Services,"Printing, Stationery etc",42201260,2,201010,CANON (UK) LTD,706.81,2011-01-14
Central Services,Supplies and Services,"Printing, Stationery etc",43604008,2,201010,CANON (UK) LTD,484.18,2011-01-14
Central Services,Supplies and Services,"Printing, Stationery etc",43605467,2,201010,CANON (UK) LTD,536.83,2011-01-24
Central Services,Supplies and Services,"Printing, Stationery etc",43606666,2,201010,CANON (UK) LTD,1022.63,2011-01-28
Central Services,Supplies and Services,"Printing, Stationery etc",43606796,2,201010,CANON (UK) LTD,1425.5,2011-01-28
Central Services,Employees,Indirect Employee Expenses,43605151,5,201010,CAPITA BUSINESS SERVICES LTD,11500,2011-01-20
Central Services,Employees,Indirect Employee Expenses,43605151,6,201010,CAPITA BUSINESS SERVICES LTD,3000,2011-01-20
Central Services,Employees,Indirect Employee Expenses,43605151,8,201010,CAPITA BUSINESS SERVICES LTD,500,2011-01-20
Central Services,Employees,Indirect Employee Expenses,43605151,7,201010,CAPITA BUSINESS SERVICES LTD,1500,2011-01-20
Central Services,Employees,Indirect Employee Expenses,43605152,2,201010,CAPITA BUSINESS SERVICES LTD,1500,2011-01-20
Central Services,Supplies and Services,Comms & Computing,43606315,2,201010,CAPITA BUSINESS SERVICES LTD,595,2011-01-31
Central Services,Supplies and Services,Comms & Computing,43602341,2,201010,CASTLE GRANGE TECHNOLOGIES LTD,765,2011-01-07
Central Services,Works,,42205740,2,201010,CHIRMARN LTD,400,2011-01-28
Central Services,Supplies and Services,"Grants, Contribs & Subs",42201595,2,201010,CIPFA BUSINESS LIMITED,1196,2011-01-17
Central Services,Support Services,Support Services,42201190,2,201010,CITY OF SUNDERLAND,600.6,2011-01-14
Central Services,Support Services,Support Services,42201192,2,201010,CITY OF SUNDERLAND,3003,2011-01-14
Central Services,Supplies and Services,Miscellaneous Supplies,42201014,2,201010,COA SOLUTIONS LTD,1583.79,2011-01-14
Central Services,Supplies and Services,Miscellaneous Supplies,42201016,2,201010,COA SOLUTIONS LTD,697.62,2011-01-14
Central Services,Employees,Agency Staff,60091073,2,201010,COMENSURA LTD,380.05,2011-01-05
Central Services,Employees,Agency Staff,60091073,14,201010,COMENSURA LTD,241.8,2011-01-05
Central Services,Employees,Agency Staff,60091073,1,201010,COMENSURA LTD,389.06,2011-01-05
Central Services,Employees,Agency Staff,60091073,15,201010,COMENSURA LTD,8.59,2011-01-05
Central Services,Employees,Agency Staff,60091075,6,201010,COMENSURA LTD,483.6,2011-01-12
Central Services,Employees,Agency Staff,60091075,31,201010,COMENSURA LTD,608.08,2011-01-12
Central Services,Employees,Agency Staff,60091075,53,201010,COMENSURA LTD,456.06,2011-01-12
Central Services,Employees,Agency Staff,60091075,33,201010,COMENSURA LTD,856.17,2011-01-12
Central Services,Employees,Agency Staff,60091075,7,201010,COMENSURA LTD,385.95,2011-01-12
Central Services,Employees,Agency Staff,60091075,26,201010,COMENSURA LTD,30.05,2011-01-12
Central Services,Employees,Agency Staff,60091076,54,201010,COMENSURA LTD,250.24,2011-01-19
Central Services,Employees,Agency Staff,60091076,12,201010,COMENSURA LTD,596.44,2011-01-19
Central Services,Employees,Agency Staff,60091076,29,201010,COMENSURA LTD,10.5,2011-01-19
Central Services,Employees,Agency Staff,60091076,32,201010,COMENSURA LTD,749.97,2011-01-19
Central Services,Employees,Agency Staff,60091076,24,201010,COMENSURA LTD,1005.66,2011-01-19
Central Services,Employees,Agency Staff,60091076,38,201010,COMENSURA LTD,48.18,2011-01-19
