Strategic Group,Spend Level,Spend Level 2,TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,Comms & Computing,42227779,3,201013,VIRGIN MEDIA BUSINESS,1359.96,2011-04-01
Central Services,Supplies and Services,Comms & Computing,42227779,4,201013,VIRGIN MEDIA BUSINESS,914.16,2011-04-01
Central Services,Supplies and Services,Comms & Computing,42228030,2,201013,POSTAGE BY PHONE-PITNEY BOWES,8000.00,2011-04-01
Central Services,Supplies and Services,Miscellaneous Supplies,42228048,2,201013,PERFORMING RIGHTS SOCIETY,2307.18,2011-04-01
Central Services,Supplies and Services,Comms & Computing,42228278,2,201013,SELIMA LTD,39250.00,2011-04-04
Central Services,Supplies and Services,Comms & Computing,42228285,13,201013,ROYAL MAIL,763.78,2011-04-04
Central Services,Supplies and Services,Comms & Computing,42228285,8,201013,ROYAL MAIL,274.28,2011-04-04
Central Services,Supplies and Services,Comms & Computing,42228285,9,201013,ROYAL MAIL,260.28,2011-04-04
Central Services,Supplies and Services,Comms & Computing,42228285,10,201013,ROYAL MAIL,56.72,2011-04-04
Central Services,Supplies and Services,Comms & Computing,42228285,14,201013,ROYAL MAIL,5,2011-04-04
Central Services,Supplies and Services,Comms & Computing,42228285,12,201013,ROYAL MAIL,28.75,2011-04-04
Central Services,Supplies and Services,Comms & Computing,42228285,11,201013,ROYAL MAIL,830.82,2011-04-04
Central Services,Supplies and Services,Comms & Computing,42228370,2,201013,NORTHGATEARINSO,2882.94,2011-04-04
Central Services,Third Party Payments,Third Party Payments,42228371,2,201013,NORTH EAST APPRENTICESHIP COMPANY LTD,25000.00,2011-04-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42228529,2,201013,NORTHERN CARE TRAINING LTD,875,2011-04-05
Central Services,Consultants,,42228557,2,201013,NORTH OF ENGLAND CIVIC TRUST,1815.00,2011-04-05
Central Services,Consultants,,42228558,2,201013,NORTH OF ENGLAND CIVIC TRUST,1871.25,2011-04-05
Central Services,Purchase of Equipment,,42228564,2,201101,COMPUTACENTER (UK) LTD,14634.95,2011-04-06
Central Services,Purchase of Equipment,,42228569,2,201101,COMPUTACENTER (UK) LTD,29306.55,2011-04-06
Central Services,Employees,Indirect Employee Expenses,42228576,2,201013,NORTHUMBRIA UNIVERSITY,2449.00,2011-04-05
Central Services,Supplies and Services,Comms & Computing,42228577,2,201101,VIRGIN MEDIA BUSINESS,28549.44,2011-04-06
Central Services,Employees,Indirect Employee Expenses,42228582,2,201013,NORTHUMBRIA UNIVERSITY,2449.00,2011-04-05
Central Services,Employees,Indirect Employee Expenses,42228585,2,201013,AMPLIVOX LTD,390,2011-04-05
Central Services,Supplies and Services,"Licenses, Housing, Fees",42228587,2,201013,GATESHEAD COLLEGE,1485.00,2011-04-05
Central Services,Supplies and Services,Comms & Computing,42228679,3,201013,SYSCAP LEASING LTD,5657.64,2011-04-05
Central Services,Supplies and Services,Comms & Computing,42228679,4,201013,SYSCAP LEASING LTD,189.68,2011-04-05
Central Services,Supplies and Services,"Licenses, Housing, Fees",42228745,2,201013,ERNST & YOUNG LLP,1850.00,2011-04-05
Central Services,Supplies and Services,Comms & Computing,42229104,2,201101,MLL TELECOM LTD,932.44,2011-04-13
Central Services,Supplies and Services,"Printing, Stationery etc",42229108,3,201101,CANON (UK) LTD,380.48,2011-04-06
Central Services,Supplies and Services,"Printing, Stationery etc",42229108,4,201101,CANON (UK) LTD,311.3,2011-04-06
Central Services,Works,,42229145,2,201013,HENDERSON INSULATION LTD,1176.00,2011-04-06
Central Services,Works,,42229150,2,201013,HENDERSON INSULATION LTD,2160.00,2011-04-06
Central Services,,,42229288,2,201101,BALTIC FLOUR MILLS VISUAL ARTS TRUST,110179.00,2011-04-06
Central Services,Supplies and Services,Comms & Computing,42229322,2,201101,POST OFFICE LTD,1640.00,2011-04-06
Central Services,Supplies and Services,Comms & Computing,42229413,2,201013,VIRGIN MEDIA BUSINESS,8400.00,2011-04-06
Central Services,Supplies and Services,Comms & Computing,42229414,2,201013,VIRGIN MEDIA BUSINESS,2900.00,2011-04-06
Central Services,Supplies and Services,Miscellaneous Supplies,42229523,2,201101,NEWCASTLE & GATESHEAD INITIATIVE,13000.00,2011-04-07
Central Services,Supplies and Services,Comms & Computing,42230148,2,201101,NORTHGATEARINSO,405,2011-04-08
Central Services,Supplies and Services,Miscellaneous Supplies,42230170,2,201101,JB SKILLCARE LTD,594,2011-04-08
Central Services,Supplies and Services,Comms & Computing,42230277,2,201101,OLM SYSTEMS LTD,113624.74,2011-04-08
Central Services,Supplies and Services,Comms & Computing,42230317,2,201101,SIEMENS ENTERPRISE COMMUNICATIONS LTD,141413.04,2011-04-11
Central Services,Supplies and Services,Comms & Computing,42230323,2,201101,MLL TELECOM LTD,1854.90,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42230430,2,201101,INFORM COMMUNICATIONS PLC,904.98,2011-04-11
