Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,Miscellaneous Supplies,42316797,3,201112,HMCS,3129.00,2012-03-01
Central Services,Supplies and Services,Miscellaneous Supplies,42316797,4,201112,HMCS,162.00,2012-03-01
Central Services,Supplies and Services,"Licenses, Housing, Fees",42316814,2,201112,PINNACLE SCHOOLS (GATESHEAD) LIMITED,1700.00,2012-03-01
Central Services,Works,,42316912,2,201112,PATTINSON SCIENTIFIC SERVICES,495.00,2012-03-01
Central Services,Works,,42317255,2,201112,BUREAU VERITAS HS&E LTD,899.00,2012-03-05
Central Services,Works,,42317258,2,201112,BUREAU VERITAS HS&E LTD,614.00,2012-03-05
Central Services,Supplies and Services,"Printing, Stationery etc",42317309,2,201112,LEXIS NEXIS UK,995.00,2012-03-05
Central Services,Supplies and Services,Miscellaneous Supplies,42317311,2,201112,LOOMIS UK LTD,464.63,2012-03-05
Central Services,Supplies and Services,"Printing, Stationery etc",42317314,2,201112,CUSTOM CARD IBS,2233.50,2012-03-05
Central Services,Supplies and Services,"Printing, Stationery etc",42317331,2,201112,PITNEY BOWES LTD,1160.00,2012-03-05
Central Services,Employees,Indirect Employee Expenses,42317397,2,201112,BOURTON GROUP LTD,3329.54,2012-03-06
Central Services,Supplies and Services,"Furn, Equip & Mats",42317405,2,201112,OCE FINANCE,16394.73,2012-03-06
Central Services,Supplies and Services,"Furn, Equip & Mats",42317408,2,201112,OCE UK LTD,2849.94,2012-03-06
Central Services,Supplies and Services,"Furn, Equip & Mats",42317436,2,201112,ROYAL SOCIETY FOR PUBLIC HEALTH,850.00,2012-03-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42317454,2,201112,OPEN UNIVERSITY,2505.00,2012-03-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",42317455,2,201112,UNIVERSITY OF STIRLING,10800.00,2012-03-06
Central Services,Consultants,,42317505,2,201112,UNIT4 BUSINESS SOFTWARE LTD,3650.00,2012-03-06
Central Services,Consultants,,42317507,2,201112,UNIT4 BUSINESS SOFTWARE LTD,6750.00,2012-03-06
