Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq,Period,Supplier ID(T),Amount,Updated
Community Based Services,Transport,Public Transport and Taxi Fares,148009058,16,201312,CLICK TRAVEL LTD,44.42,2014-03-25
Community Based Services,Transport,Public Transport and Taxi Fares,148009183,7,201312,CLICK TRAVEL LTD,86.33,2014-03-31
Community Based Services,Transport,Car Allowances,148008839,8,201312,COMMONWHEELS CIC,33.66,2014-03-14
Community Based Services,Transport,Car Allowances,148008839,37,201312,COMMONWHEELS CIC,247.67,2014-03-14
Community Based Services,Supplies and Services,Comms & Computing,41058230,1,201312,TROJAN CONSULTANTS LTD,2895.00,2014-03-14
Community Based Services,Supplies and Services,Comms & Computing,43780933,0,201312,INSIGHT DIRECT UK LTD,414.78,2014-03-17
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41058169,1,201312,WINLATON CENTRE,500,2014-03-14
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41058170,1,201312,WINLATON CENTRE,500,2014-03-14
Community Based Services,Employees,Agency Staff,60091049,24,201312,COMENSURA LTD,861.75,2014-03-05
Community Based Services,Employees,Agency Staff,60091050,46,201312,COMENSURA LTD,698.72,2014-03-12
Community Based Services,Employees,Indirect Employee Expenses,41058133,1,201312,CITY OF NEWCASTLE UPON TYNE,5000.00,2014-03-14
Community Based Services,Employees,Indirect Employee Expenses,41059539,1,201312,I TO I TRAINING SOLUTIONS,1200.00,2014-03-19
Community Based Services,Transport,Public Transport and Taxi Fares,148008706,23,201312,CLICK TRAVEL LTD,5.54,2014-03-07
Community Based Services,Transport,Public Transport and Taxi Fares,148008706,40,201312,CLICK TRAVEL LTD,148.94,2014-03-07
Community Based Services,Transport,Public Transport and Taxi Fares,148008929,30,201312,CLICK TRAVEL LTD,127.74,2014-03-18
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41056288,1,201312,SAFE PARTNERSHIP LIMITED,610,2014-03-06
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059447,1,201312,ARK ASSOCIATES,735,2014-03-19
Community Based Services,Supplies and Services,Miscellaneous Supplies,41056849,1,201312,CITY OF NEWCASTLE UPON TYNE,5000.00,2014-03-06
Community Based Services,Third Party Payments,Third Party Payments,41059416,1,201312,NORTHUMBRIA POLICE AUTHORITY,1215.00,2014-03-19
Community Based Services,Employees,Indirect Employee Expenses,41059522,1,201312,SERCO LTD,2876.00,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41060187,1,201312,CITY OF NEWCASTLE UPON TYNE,393.06,2014-03-21
Community Based Services,Third Party Payments,Third Party Payments,41060337,1,201312,VOCAL LTD,500,2014-03-21
Community Based Services,Employees,Indirect Employee Expenses,41057026,1,201312,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES (ADASS),495,2014-03-05
Community Based Services,Supplies and Services,"Printing, Stationery etc",41054686,6,201312,INTERCHANGE NEWS,33.43,2014-03-05
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",148009183,40,201312,CLICK TRAVEL LTD,170.16,2014-03-31
Community Based Services,Transport,Public Transport and Taxi Fares,148008761,84,201312,STREETCARS,32,2014-03-10
Community Based Services,Supplies and Services,Comms & Computing,43784085,0,201312,INSIGHT DIRECT UK LTD,430.08,2014-03-27
Community Based Services,Employees,Agency Staff,60091051,17,201312,COMENSURA LTD,698.72,2014-03-19
Community Based Services,Employees,Agency Staff,60091052,38,201312,COMENSURA LTD,815.17,2014-03-26
Community Based Services,Employees,Indirect Employee Expenses,41058179,1,201312,I TO I TRAINING SOLUTIONS,1200.00,2014-03-14
Community Based Services,Employees,Indirect Employee Expenses,41059444,1,201312,I TO I TRAINING SOLUTIONS,800,2014-03-19
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059333,1,201312,THE TWISTING DUCKS THEATRE COMPANY,550,2014-03-19
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41060298,1,201312,NORTH MUSIC TRUST,582.5,2014-03-21
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41061082,1,201312,TYNESIDE WOMENS HEALTH PROJECT,11427.00,2014-03-28
Community Based Services,Supplies and Services,Advertising,41058180,1,201312,IMPROVEMENT & DEVEL. AGENCY,7783.39,2014-03-14
Community Based Services,Third Party Payments,Third Party Payments,41058789,1,201312,GATESHEAD HEALTH NHS TRUST,11286.00,2014-03-18
Community Based Services,Third Party Payments,Third Party Payments,41061549,1,201312,GATESHEAD HEALTH NHS TRUST,11286.00,2014-03-28
Community Based Services,Employees,Indirect Employee Expenses,41056965,1,201312,NORTHUMBRIA UNIVERSITY,610,2014-03-06
Community Based Services,Third Party Payments,Third Party Payments,147004971,1,201312,NHS GATESHEAD CCG,41370.00,2014-03-31
Community Based Services,Third Party Payments,Third Party Payments,147004971,2,201312,NHS GATESHEAD CCG,570000.00,2014-03-31
