Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Community Based Services,Transport,Car Allowances,148002493,9,201302,COMMONWHEELS CIC,3.45,2013-05-31
Community Based Services,Transport,Car Allowances,148002494,12,201302,COMMONWHEELS CIC,5.85,2013-05-31
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",40003342,1,201302,REDACTED - Personal Information,1200.00,2013-05-07
Community Based Services,Transport,Public Transport and Taxi Fares,148001223,32,201302,CLICK TRAVEL LTD,72.29,2013-05-08
Community Based Services,Third Party Payments,Third Party Payments,40999146,1,201302,VOCAL LTD,500.00,2013-05-15
Community Based Services,Transport,Public Transport and Taxi Fares,148001232,12,201302,STREETCARS,34.50,2013-05-09
Community Based Services,Transport,Car Allowances,148002494,15,201302,COMMONWHEELS CIC,1.35,2013-05-31
Community Based Services,Supplies and Services,Comms & Computing,43730468,0,201302,OLM SYSTEMS LTD,48300.00,2013-05-14
Community Based Services,Supplies and Services,Comms & Computing,43730629,0,201302,OLM SYSTEMS LTD,66510.53,2013-05-14
Community Based Services,Supplies and Services,Comms & Computing,43730214,7,201302,NCC SERVICES LTD,600.00,2013-05-13
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",40000058,1,201302,REDACTED - Personal Information,500.00,2013-05-15
Community Based Services,Third Party Payments,Third Party Payments,40001981,1,201302,NORTHUMBRIA UNIVERSITY,666.66,2013-05-22
Community Based Services,Third Party Payments,Third Party Payments,40999727,1,201302,CARELINE HOMECARE LTD,2166.66,2013-05-08
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000141,1,201302,THE LIGHTHOUSE,863.00,2013-05-15
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000183,1,201302,HIGH SPEN PRIMARY SCHOOL FUND,4323.71,2013-05-15
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000228,1,201302,GROUNDWORK NORTH EAST,1400.00,2013-05-15
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000228,2,201302,GROUNDWORK NORTH EAST,1000.00,2013-05-15
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000229,1,201302,BLAYDON RACES FESTIVAL,1973.88,2013-05-15
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000325,1,201302,LOW FELL FORUM,3000.00,2013-05-31
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000364,1,201302,JAZZ IN BIRTLEY SOCIETY,500.00,2013-05-31
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000365,1,201302,FRIENDS OF CHASE PARK,1126.06,2013-05-31
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000395,1,201302,BIRTLEY COMMUNITY PARTNERSHIP,1200.00,2013-05-31
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147000395,2,201302,BIRTLEY COMMUNITY PARTNERSHIP,2554.35,2013-05-31
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41002104,1,201302,JASWAY LTD,1380.00,2013-05-31
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41001042,1,201302,BELLE TENTS HIRE,1545.00,2013-05-17
