Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,Comms & Computing,42341143,10,201205,BRITISH TELECOM,5.56,2012-08-01
Central Services,Supplies and Services,Comms & Computing,42354105,17,201205,BRITISH TELECOM,16.52,2012-08-02
Central Services,Support Services,Support Services,42354279,3,201205,AUDIT COMMISSION,15300.00,2012-08-01
Central Services,Support Services,Support Services,42354279,4,201205,AUDIT COMMISSION,237.50,2012-08-01
Central Services,Supplies and Services,"Printing, Stationery etc",42354280,2,201205,BLACKBURNS OF BOLTON LTD,1210.00,2012-08-01
Central Services,Works,,42354570,2,201205,ARMAH SWITCHGEAR LTD,945.00,2012-08-01
Central Services,Supplies and Services,Comms & Computing,42355121,3,201205,VODAFONE CORPORATE LTD,814.08,2012-08-02
Central Services,Supplies and Services,Comms & Computing,42355121,4,201205,VODAFONE CORPORATE LTD,11.25,2012-08-02
Central Services,Supplies and Services,Comms & Computing,42355176,3,201205,PITNEY BOWES LTD,9.00,2012-08-02
Central Services,Supplies and Services,Comms & Computing,42355176,4,201205,PITNEY BOWES LTD,8000.00,2012-08-02
Central Services,Employees,Indirect Employee Expenses,42355186,15,201205,CLICK TRAVEL LTD,29.97,2012-08-02
Central Services,Employees,Indirect Employee Expenses,42355186,16,201205,CLICK TRAVEL LTD,29.97,2012-08-02
Central Services,Employees,Indirect Employee Expenses,42355186,17,201205,CLICK TRAVEL LTD,29.97,2012-08-02
Central Services,Transport,Public Transport and Taxi Fares,42355186,7,201205,CLICK TRAVEL LTD,30.00,2012-08-02
Central Services,Transport,Public Transport and Taxi Fares,42355186,8,201205,CLICK TRAVEL LTD,30.00,2012-08-02
Central Services,Transport,Public Transport and Taxi Fares,42355186,9,201205,CLICK TRAVEL LTD,30.00,2012-08-02
Central Services,Transport,Public Transport and Taxi Fares,42355186,10,201205,CLICK TRAVEL LTD,30.00,2012-08-02
Central Services,Transport,Public Transport and Taxi Fares,42355186,11,201205,CLICK TRAVEL LTD,30.00,2012-08-02
Central Services,Transport,Public Transport and Taxi Fares,42355186,12,201205,CLICK TRAVEL LTD,30.00,2012-08-02
Central Services,Transport,Public Transport and Taxi Fares,42355186,13,201205,CLICK TRAVEL LTD,6.00,2012-08-02
Central Services,Transport,Public Transport and Taxi Fares,42355186,14,201205,CLICK TRAVEL LTD,6.00,2012-08-02
Central Services,Supplies and Services,Comms & Computing,42355562,3,201205,VIRGIN MEDIA BUSINESS,1386.07,2012-08-03
Central Services,Supplies and Services,Comms & Computing,42355562,4,201205,VIRGIN MEDIA BUSINESS,576.85,2012-08-03
Central Services,Supplies and Services,Comms & Computing,42356012,2,201205,AIMEDIACOMMS,1904.00,2012-08-06
Central Services,Employees,Indirect Employee Expenses,42356090,2,201205,GATESHEAD COLLEGE,1295.00,2012-08-07
Central Services,Supplies and Services,"Licenses, Housing, Fees",42356413,2,201205,REDACTED - Personal Information,400.00,2012-08-07
Central Services,Supplies and Services,"Furn, Equip & Mats",42356541,2,201205,OCE UK LTD,2312.19,2012-08-08
Central Services,Supplies and Services,"Furn, Equip & Mats",42356542,2,201205,OCE UK LTD,4412.99,2012-08-08
Central Services,Supplies and Services,"Furn, Equip & Mats",42356543,2,201205,ING LEASE UK LTD,2566.00,2012-08-08
Central Services,Supplies and Services,"Printing, Stationery etc",42356625,14,201205,INTERCHANGE NEWS,52.72,2012-08-09
Central Services,Supplies and Services,"Printing, Stationery etc",42356625,15,201205,INTERCHANGE NEWS,68.57,2012-08-09
Central Services,Supplies and Services,"Printing, Stationery etc",42356625,16,201205,INTERCHANGE NEWS,108.45,2012-08-09
Central Services,Supplies and Services,"Printing, Stationery etc",42356625,17,201205,INTERCHANGE NEWS,26.25,2012-08-09
Central Services,Supplies and Services,"Printing, Stationery etc",42356625,23,201205,INTERCHANGE NEWS,10.50,2012-08-09
Central Services,Supplies and Services,"Printing, Stationery etc",42356625,12,201205,INTERCHANGE NEWS,6.80,2012-08-09
Central Services,Supplies and Services,"Printing, Stationery etc",42356625,22,201205,INTERCHANGE NEWS,26.95,2012-08-09
Central Services,Works,,42356655,2,201205,PATTINSON SCIENTIFIC SERVICES,557.60,2012-08-09
Central Services,Transport,Public Transport and Taxi Fares,42356692,23,201205,CLICK TRAVEL LTD,9.50,2012-08-09
Central Services,Transport,Public Transport and Taxi Fares,42356692,24,201205,CLICK TRAVEL LTD,11.50,2012-08-09
Central Services,Third Party Payments,Third Party Payments,42356994,3,201205,NEWCASTLE & GATESHEAD INITIATIVE,33000.00,2012-08-10
Central Services,Supplies and Services,Miscellaneous Supplies,42356994,4,201205,NEWCASTLE & GATESHEAD INITIATIVE,15000.00,2012-08-10
Central Services,Third Party Payments,Third Party Payments,42356999,2,201205,NEWCASTLE & GATESHEAD INITIATIVE,12500.00,2012-08-10
Central Services,Supplies and Services,"Licenses, Housing, Fees",42357304,2,201205,ROSSENDALES COLLECT LTD,719.28,2012-08-14
Central Services,Supplies and Services,Comms & Computing,42357511,11,201205,ROYAL MAIL,755.46,2012-08-15
Central Services,Supplies and Services,Comms & Computing,42357511,6,201205,ROYAL MAIL,345.83,2012-08-15
Central Services,Supplies and Services,Comms & Computing,42357511,7,201205,ROYAL MAIL,303.47,2012-08-15
Central Services,Supplies and Services,Comms & Computing,42357511,8,201205,ROYAL MAIL,47.77,2012-08-15
Central Services,Supplies and Services,Comms & Computing,42357511,12,201205,ROYAL MAIL,50.00,2012-08-15
Central Services,Supplies and Services,Comms & Computing,42357511,10,201205,ROYAL MAIL,5214.04,2012-08-15
