Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Third Party Payments,Third Party Payments,42388816,2,201210,SUNDERLAND CITY COUNCIL,10000.00,2013-01-04
Central Services,Supplies and Services,Comms & Computing,42388829,3,201210,VIRGIN MEDIA BUSINESS,32.63,2013-01-04
Central Services,Supplies and Services,Comms & Computing,42388829,4,201210,VIRGIN MEDIA BUSINESS,5111.81,2013-01-04
Central Services,Supplies and Services,Comms & Computing,42388831,3,201210,VIRGIN MEDIA BUSINESS,1386.07,2013-01-04
Central Services,Supplies and Services,Comms & Computing,42388831,4,201210,VIRGIN MEDIA BUSINESS,712.33,2013-01-04
Central Services,Supplies and Services,Comms & Computing,42388846,3,201210,VIRGIN MEDIA BUSINESS,106.68,2013-01-04
Central Services,Supplies and Services,Comms & Computing,42388846,4,201210,VIRGIN MEDIA BUSINESS,5068.67,2013-01-04
Central Services,Supplies and Services,Comms & Computing,42389367,11,201210,ROYAL MAIL,1749.12,2013-01-02
Central Services,Supplies and Services,Comms & Computing,42389367,12,201210,ROYAL MAIL,89.59,2013-01-02
Central Services,Supplies and Services,Comms & Computing,42389367,6,201210,ROYAL MAIL,283.12,2013-01-02
Central Services,Supplies and Services,Comms & Computing,42389367,7,201210,ROYAL MAIL,272.28,2013-01-02
Central Services,Supplies and Services,Comms & Computing,42389367,8,201210,ROYAL MAIL,19.56,2013-01-02
Central Services,Supplies and Services,Comms & Computing,42389367,13,201210,ROYAL MAIL,60.00,2013-01-02
Central Services,Supplies and Services,Comms & Computing,42389367,10,201210,ROYAL MAIL,1226.92,2013-01-02
Central Services,Supplies and Services,Comms & Computing,42389367,9,201210,ROYAL MAIL,908.87,2013-01-02
Central Services,Transport,Car Allowances,42389942,55,201210,COMMONWHEELS CIC,16.00,2013-01-03
Central Services,Transport,Car Allowances,42389942,56,201210,COMMONWHEELS CIC,20.25,2013-01-03
Central Services,Transport,Car Allowances,42389942,61,201210,COMMONWHEELS CIC,0.75,2013-01-03
Central Services,Transport,Car Allowances,42389942,64,201210,COMMONWHEELS CIC,0.60,2013-01-03
Central Services,Transport,Car Allowances,42389942,62,201210,COMMONWHEELS CIC,21.30,2013-01-03
Central Services,Transport,Car Allowances,42389942,59,201210,COMMONWHEELS CIC,86.00,2013-01-03
Central Services,Transport,Car Allowances,42389942,60,201210,COMMONWHEELS CIC,107.25,2013-01-03
Central Services,Transport,Car Allowances,42389942,63,201210,COMMONWHEELS CIC,4.95,2013-01-03
Central Services,Transport,Car Allowances,42389942,90,201210,COMMONWHEELS CIC,10.00,2013-01-03
Central Services,Transport,Car Allowances,42389942,57,201210,COMMONWHEELS CIC,49.00,2013-01-03
Central Services,Transport,Car Allowances,42389942,58,201210,COMMONWHEELS CIC,60.75,2013-01-03
Central Services,Transport,Car Allowances,42389942,91,201210,COMMONWHEELS CIC,20.00,2013-01-03
Central Services,Supplies and Services,Miscellaneous Supplies,42390398,3,201210,HMCS,2826.00,2013-01-03
