Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,73,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,478,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,540,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,616,201809,O2 (UK) LTD,11.5,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,29,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,509,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,575,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,621,201809,O2 (UK) LTD,8.87,2018-12-20
Office of the Chief Executive,Supplies and Services,"Licenses, Housing, Fees",41238204,1,201809,NEWCASTLEGATESHEAD INITIATIVE,12275,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,44020162,0,201809,DAVID CASEY DISPLAYS LTD,760,2018-12-10
Office of the Chief Executive,Supplies and Services,Comms & Computing,44020896,0,201809,NATIONAL LEAFLET COMPANY,5582.7,2018-12-18
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,352,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,414,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,557,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,1550,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,2252,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,2284,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,2372,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,2389,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,375,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,427,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,448,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,1558,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,2188,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,2316,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,2335,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,2374,201809,O2 (UK) LTD,10,2018-12-20
Office of the Chief Executive,Supplies and Services,"Grants, Contribs & Subs",44021443,0,201809,LOCAL GOVERNMENT INFO UNIT,5145,2018-12-19
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600022,193,201809,O2 (UK) LTD,10,2018-12-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600023,203,201809,O2 (UK) LTD,10,2018-12-20
Corporate Resources,Supplies and Services,Comms & Computing,60600022,78,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600023,38,201809,O2 (UK) LTD,10,2018-12-20
Corporate Resources,Supplies and Services,Comms & Computing,60600022,466,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600022,494,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600022,499,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600022,502,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600022,511,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600022,515,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600022,593,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600022,857,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600022,1532,201809,O2 (UK) LTD,10,2018-12-05
Corporate Resources,Supplies and Services,Comms & Computing,60600022,1777,201809,O2 (UK) LTD,10,2018-12-05
