Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated,GC Supplier red,VAT RegNo,Report,Type
Community Based Services,Transport,Car Allowances,42337344,42,201202,COMMONWHEELS CIC,124.00,2012-05-22,3214254GC,926671305,TRDATA1R,Revenue
Community Based Services,Transport,Car Allowances,42337344,48,201202,COMMONWHEELS CIC,50.68,2012-05-22,3214254GC,926671305,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Printing, Stationery etc",42334309,18,201202,INTERCHANGE NEWS,64.45,2012-05-11,3225915GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Printing, Stationery etc",42336396,2,201202,ROYAL MAIL,1000.00,2012-05-18,6034605GC,GB243170002,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42337173,2,201202,TELESET,1000.00,2012-05-22,6336138GC,GB566261823,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,433,201202,O2 (UK) LTD,0.28,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42332803,2,201202,DERE STREET BARRISTERS,900.00,2012-05-03,3231819GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42334018,2,201202,DERE STREET BARRISTERS,400.00,2012-05-10,3231819GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42336409,2,201202,DERE STREET BARRISTERS,1250.00,2012-05-18,3231819GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Other Running Costs,42331833,2,201202,CITY OF SUNDERLAND,2032.80,2012-05-01,6039960GC,178210271,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Other Running Costs,42331834,2,201202,CITY OF SUNDERLAND,2032.80,2012-05-01,6039960GC,178210271,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Other Running Costs,42331835,2,201202,CITY OF SUNDERLAND,4065.60,2012-05-01,6039960GC,178210271,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42336389,2,201202,CITY OF SUNDERLAND,2235.00,2012-05-18,6039960GC,178210271,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42338532,8,201202,CRIMINAL RECORDS BUREAU,572.00,2012-05-25,6416364GC,888816061,TRDATA1R,Revenue
Community Based Services,Premises,Energy,42333714,2,201202,EMPINGHAM LTD,411.52,2012-05-09,3168693GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42336008,5,201202,HMCTS,245.00,2012-05-17,3219648GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,434,201202,O2 (UK) LTD,44.48,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42333765,2,201202,LEEDS CITY COUNCIL,1500.00,2012-05-09,3169476GC,755201354,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42337187,2,201202,CITY OF NEWCASTLE UPON TYNE,4400.00,2012-05-22,6030114GC,GB 178 2082 51,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Other Running Costs,42334606,3,201202,MARSH UK LTD,37522.91,2012-05-14,3017073GC,GB244251779,TRDATA1R,Revenue
Community Based Services,Transport,Car Allowances,42337344,59,201202,COMMONWHEELS CIC,3.90,2012-05-22,3214254GC,926671305,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,435,201202,O2 (UK) LTD,128.45,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,436,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",42332336,2,201202,GREGORYS NORTH EAST LTD,868.00,2012-05-02,3022683GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",42332337,2,201202,GREGORYS NORTH EAST LTD,830.00,2012-05-02,3022683GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42334485,3,201202,DUNHOLME LTD,680.00,2012-05-11,3238902GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42334486,3,201202,DUNHOLME LTD,792.00,2012-05-11,3238902GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42334485,4,201202,DUNHOLME LTD,170.00,2012-05-11,3238902GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42334486,4,201202,DUNHOLME LTD,198.00,2012-05-11,3238902GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,437,201202,O2 (UK) LTD,52.77,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,438,201202,O2 (UK) LTD,84.98,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,439,201202,O2 (UK) LTD,0.94,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,440,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,441,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,442,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,443,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,444,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,445,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
