Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200035188,1,202002,Barclaycard - Global Commercial Payments,12.00,2020-05-14
Schools,Employees,Indirect Employee Expenses,200036574,1,202003,Barclaycard - Global Commercial Payments,27.00,2020-06-09
"Children, Adults and Families",Employees,Indirect Employee Expenses,200036653,1,202003,Barclaycard - Global Commercial Payments,24.00,2020-06-09
"Children, Adults and Families",Employees,Indirect Employee Expenses,200035685,1,202003,Barclaycard - Global Commercial Payments,22.50,2020-06-23
"Children, Adults and Families",Employees,Indirect Employee Expenses,200036708,1,202003,Barclaycard - Global Commercial Payments,515.83,2020-06-23
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200036079,1,202003,Barclaycard - Global Commercial Payments,12.00,2020-06-09
Schools,Employees,Indirect Employee Expenses,200035543,1,202003,Barclaycard - Global Commercial Payments,130.00,2020-06-22
Schools,Employees,Indirect Employee Expenses,200037185,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-23
Schools,Employees,Indirect Employee Expenses,200037186,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-23
Schools,Employees,Indirect Employee Expenses,200037187,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-23
Schools,Employees,Indirect Employee Expenses,200037188,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-23
Schools,Employees,Indirect Employee Expenses,200037189,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-23
Schools,Employees,Indirect Employee Expenses,200036992,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-23
Schools,Employees,Indirect Employee Expenses,200036993,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-23
Schools,Employees,Indirect Employee Expenses,200036994,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-23
Schools,Employees,Indirect Employee Expenses,200037302,1,202003,Barclaycard - Global Commercial Payments,49.00,2020-06-23
Schools,Employees,Indirect Employee Expenses,200036059,1,202003,Barclaycard - Global Commercial Payments,18.19,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036107,1,202003,Barclaycard - Global Commercial Payments,16.99,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036108,1,202003,Barclaycard - Global Commercial Payments,17.23,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036109,1,202003,Barclaycard - Global Commercial Payments,60.82,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036110,1,202003,Barclaycard - Global Commercial Payments,15.58,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036111,1,202003,Barclaycard - Global Commercial Payments,8.92,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036112,1,202003,Barclaycard - Global Commercial Payments,16.79,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036113,1,202003,Barclaycard - Global Commercial Payments,14.43,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036114,1,202003,Barclaycard - Global Commercial Payments,18.19,2020-06-09
Schools,Employees,Indirect Employee Expenses,200036115,1,202003,Barclaycard - Global Commercial Payments,14.43,2020-06-09
Schools,Employees,Indirect Employee Expenses,200036116,1,202003,Barclaycard - Global Commercial Payments,8.92,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036117,1,202003,Barclaycard - Global Commercial Payments,12.53,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036118,1,202003,Barclaycard - Global Commercial Payments,9.99,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036119,1,202003,Barclaycard - Global Commercial Payments,86.42,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036120,1,202003,Barclaycard - Global Commercial Payments,15.28,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036178,1,202003,Barclaycard - Global Commercial Payments,33.33,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036179,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036336,1,202003,Barclaycard - Global Commercial Payments,116.67,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036337,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036338,1,202003,Barclaycard - Global Commercial Payments,16.67,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036339,1,202003,Barclaycard - Global Commercial Payments,33.33,2020-06-02
Schools,Employees,Indirect Employee Expenses,200036439,1,202003,Barclaycard - Global Commercial Payments,37.50,2020-06-09
