Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",148000773,1,201301,DISCLOSURE & BARRING SERVICE,132.00,2013-04-24
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",148000773,6,201301,DISCLOSURE & BARRING SERVICE,44.00,2013-04-24
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",40001484,1,201301,NORTHERN SIGN INTERPRETING LTD,497.94,2013-04-17
Community Based Services,Third Party Payments,Third Party Payments,40001683,1,201301,VICTIM SUPPORT NORTHUMBRIA,7634.25,2013-04-18
Community Based Services,Transport,Public Transport and Taxi Fares,148000338,23,201301,CLICK TRAVEL LTD,36.02,2013-04-15
Community Based Services,Supplies and Services,Advertising,40001576,1,201301,GASP SMOKE FREE SERVICES LTD,1751.50,2013-04-17
Community Based Services,Transport,Public Transport and Taxi Fares,148000068,8,201301,CLICK TRAVEL LTD,56.94,2013-04-04
Community Based Services,Transport,Public Transport and Taxi Fares,148000338,5,201301,CLICK TRAVEL LTD,22.00,2013-04-15
Community Based Services,Third Party Payments,Third Party Payments,40001676,1,201301,TYNESIDE WOMENS HEALTH PROJECT,9021.75,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40000672,1,201301,CARELINE HOMECARE LTD,13380.00,2013-04-11
Community Based Services,Third Party Payments,Third Party Payments,40001642,1,201301,AGE UK GATESHEAD,5516.75,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001643,1,201301,AGE UK GATESHEAD,14725.00,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001644,1,201301,YOUR VOICE COUNTS,7864.00,2013-04-17
Community Based Services,Third Party Payments,Third Party Payments,40001645,1,201301,ALZHEIMERS DISEASE SOCIETY,7093.50,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001646,1,201301,ALZHEIMERS DISEASE SOCIETY,19179.75,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001647,1,201301,ALZHEIMERS DISEASE SOCIETY,14583.50,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001648,1,201301,ROWLANDS GILL & DISTRICT LIVE AT HOME SCHEME,875.00,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001654,1,201301,CROSSROADS CARE,97500.00,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001655,1,201301,GATESHEAD JEWISH FAMILY SERV.,8165.25,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001656,1,201301,GATESHEAD OLDER PEOPLE'S ASSEMBLY,10350.50,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001660,1,201301,HARDMAN CENTRE,29250.00,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001666,1,201301,ROWLANDS GILL & DISTRICT LIVE AT HOME SCHEME,6250.00,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001667,1,201301,SOUTH MOUNTAIN CHINESE DAY CENTRE,1000.00,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001668,1,201301,ST CUTHBERTS CARE,41250.00,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001671,1,201301,TEAMS & BENSHAM COMMUNITY CARE,13250.00,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001731,1,201301,CARELINE HOMECARE LTD,2166.66,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001653,1,201301,GATESHEAD & SOUTH TYNESIDE SIGHT SERVICE,1875.00,2013-04-18
Community Based Services,Third Party Payments,Third Party Payments,40001664,1,201301,NORTH REGIONAL DEAF ASSOC.,10000.00,2013-04-18
