Strategic Group,Spend Level 1,Spend Level 2,TransNo,Seq no,Period,Supplier Text,Amount,Updated
Central Services,Supplies and Services,"Printing, Stationery etc",43598516,2,201009,FORCE TWO LTD,384,2010-12-07
Central Services,Supplies and Services,"Printing, Stationery etc",43598519,2,201009,FORCE TWO LTD,430,2010-12-07
Central Services,Supplies and Services,"Printing, Stationery etc",43598524,2,201009,FORCE TWO LTD,860,2010-12-07
Central Services,Purchase of Equipment,,43601802,2,201009,POINT TO POINT LTD,9500,2010-12-31
Central Services,Supplies and Services,"Licenses, Housing, Fees",43601216,2,201009,PINSENT MASONS,12120,2010-12-22
Central Services,Supplies and Services,"Licenses, Housing, Fees",43601290,2,201009,TREATMENT SOLUTIONS,4099.33,2010-12-22
Central Services,Transport,Public Transport and Taxi Fares,42194518,53,201009,GATESHEAD CENTRAL TAXIS,50,2010-12-16
Central Services,Supplies and Services,"Furn, Equip & Mats",43599415,2,201009,R I B A ENTERPRISES LTD,5000,2010-12-13
Central Services,Supplies and Services,"Printing, Stationery etc",43598615,2,201009,CLAVERING STATIONERS,518,2010-12-08
Central Services,Supplies and Services,Comms & Computing,43600328,2,201009,NATIONAL LEAFLET COMPANY,5619.25,2010-12-16
Central Services,Technical Costs,,43600204,2,201009,CENTURY SIGNS & GRAPHICS,1260,2010-12-15
Central Services,Supplies and Services,"Printing, Stationery etc",43597606,17,201009,HOGG NEWS,615.35,2010-12-02
Central Services,Supplies and Services,"Printing, Stationery etc",43597606,18,201009,HOGG NEWS,133.67,2010-12-02
Central Services,Supplies and Services,"Printing, Stationery etc",43597606,19,201009,HOGG NEWS,218.31,2010-12-02
Central Services,Supplies and Services,"Printing, Stationery etc",43597606,21,201009,HOGG NEWS,49.85,2010-12-02
Central Services,Supplies and Services,"Printing, Stationery etc",43597606,15,201009,HOGG NEWS,2.38,2010-12-02
Central Services,Supplies and Services,"Printing, Stationery etc",43597606,16,201009,HOGG NEWS,10,2010-12-02
Central Services,Supplies and Services,"Printing, Stationery etc",43597606,23,201009,HOGG NEWS,16.02,2010-12-02
Central Services,Works,,43601377,2,201009,LEANDER ARCHITECTURAL,674.6,2010-12-22
Central Services,Supplies and Services,Miscellaneous Supplies,43598902,2,201009,ONLINE ERGONOMICS LTD,535.7,2010-12-09
Central Services,Supplies and Services,"Licenses, Housing, Fees",43598020,2,201009,FIRSTASSIST SERVICES LIMITED,1026,2010-12-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",43601412,2,201009,FIRSTASSIST SERVICES LIMITED,1026,2010-12-23
Central Services,Supplies and Services,Comms & Computing,43599468,2,201009,COMPUTERLAND UK PLC,636.7,2010-12-13
Central Services,Support Services,Support Services,43601490,2,201009,NCJ MEDIA LTD,402,2010-12-23
Central Services,Supplies and Services,Comms & Computing,43599921,2,201009,GENETICS LIMITED,8387.67,2010-12-15
Central Services,Premises,Rent,42197067,3,201009,DTZ UK LAND ESTATES (SERVICES) LTD,2350,2010-12-23
Central Services,Premises,Rent,42197067,4,201009,DTZ UK LAND ESTATES (SERVICES) LTD,893,2010-12-23
Central Services,Supplies and Services,Comms & Computing,43599581,2,201009,SIEMENS ENTERPRISE COMMUNICATIONS LTD,5194,2010-12-14
Central Services,Supplies and Services,Miscellaneous Supplies,43599629,2,201009,FISHBURN BAND,500,2010-12-13
Central Services,Supplies and Services,Comms & Computing,43601383,2,201009,DELL FINANCIAL SERVICES,6486.43,2010-12-22
Central Services,Supplies and Services,Comms & Computing,43601388,2,201009,DELL FINANCIAL SERVICES,7329.53,2010-12-22
Central Services,Supplies and Services,"Licenses, Housing, Fees",42191871,4,201009,ROSSENDALES COLLECT LTD,24.5,2010-12-08
Central Services,Supplies and Services,Miscellaneous Supplies,42196735,2,201009,LOOMIS UK LTD,464.63,2010-12-22
Central Services,Supplies and Services,"Printing, Stationery etc",43599007,4,201009,ENGAGE GROUP,15731,2010-12-14
Central Services,Supplies and Services,Advertising,43599007,3,201009,ENGAGE GROUP,8884.26,2010-12-14
Central Services,Supplies and Services,Comms & Computing,43597506,2,201009,CIVICA UK LTD,1298,2010-12-02
Central Services,Supplies and Services,Comms & Computing,42190292,4,201009,NORTHGATEARINSO,4300,2010-12-01
Central Services,Supplies and Services,Other Running Costs,42190292,3,201009,NORTHGATEARINSO,43187.5,2010-12-01
Central Services,Supplies and Services,Comms & Computing,43600470,2,201009,OMNICOM IT SERVICES,673.24,2010-12-17
Central Services,Supplies and Services,Comms & Computing,43601334,2,201009,OMNICOM IT SERVICES,1233.69,2010-12-23
Central Services,Works,,42197653,2,201009,COOL BREEZE LTD,1749,2010-12-31
Central Services,Supplies and Services,"Printing, Stationery etc",42194802,2,201009,CAPITA BUSINESS SERVICES LTD,640,2010-12-16
Central Services,Supplies and Services,Comms & Computing,43600247,2,201009,CAPITA BUSINESS SERVICES LTD,13826.25,2010-12-20
