Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq,Period,Supplier ID(T),Amount,Updated
Communities & Environment,Employees,Indirect Employee Expenses,148017625,1,201508,TYNE & WEAR PENSION FUND,41792.00,2015-11-11
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43867538,0,201508,ASTLEY SIGNS LIMITED,1596.00,2015-11-12
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41129443,1,201508,INITIAL WASHROOM SOLUTIONS,795.01,2015-11-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43873471,0,201508,GATSBYS,460.00,2015-11-10
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43878759,0,201508,RAMPOST SERVICES LTD,377.50,2015-11-25
Communities & Environment,Supplies and Services,Catering & Provisions,41135131,1,201508,BATLEYS LTD,315.69,2015-11-05
Communities & Environment,Supplies and Services,Catering & Provisions,41135131,2,201508,BATLEYS LTD,253.56,2015-11-05
Communities & Environment,Supplies and Services,Catering & Provisions,41135208,1,201508,BATLEYS LTD,96.53,2015-11-05
Communities & Environment,Supplies and Services,Catering & Provisions,41135208,2,201508,BATLEYS LTD,301.76,2015-11-05
Communities & Environment,Supplies and Services,Catering & Provisions,41136379,1,201508,PELICAN ROUGE COFFEE SOLUTIONS LTD,1156.73,2015-11-25
Communities & Environment,Premises,Energy,43874763,0,201508,ENER-G COMBINED POWER LTD,1829.22,2015-11-02
Communities & Environment,Premises,Energy,43878558,0,201508,ENER-G COMBINED POWER LTD,1888.66,2015-11-25
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43877234,0,201508,J P  LENNARD LTD,373.04,2015-11-23
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41135256,1,201508,DE LAGE LANDEN LEASING LTD,1870.75,2015-11-20
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43874683,0,201508,THE BIGGER SCENE LTD,2151.00,2015-11-03
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43875796,0,201508,PHS GROUP PLC,681.00,2015-11-04
Communities & Environment,Premises,Energy,43874766,0,201508,ENER-G COMBINED POWER LTD,1888.57,2015-11-02
Communities & Environment,Premises,Energy,43878554,0,201508,ENER-G COMBINED POWER LTD,2076.75,2015-11-25
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43874856,0,201508,J P  LENNARD LTD,602.41,2015-11-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43875408,0,201508,SIMPLE LOCKING SOLUTIONS,1544.31,2015-11-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43875460,0,201508,SITELINK COMMUNICATIONS LTD,1330.00,2015-11-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43877400,0,201508,AV WORKS LTD,645.00,2015-11-23
Communities & Environment,Supplies and Services,Catering & Provisions,41135078,1,201508,BATLEYS LTD,396.16,2015-11-06
Communities & Environment,Income: Fees and Charges,"Charges, Fees & Income",147023329,1,201508,REDACTED - Personal Information,364.17,2015-11-23
Communities & Environment,Premises,Energy,43874762,0,201508,ENER-G COMBINED POWER LTD,1676.13,2015-11-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43875240,0,201508,BRENNTAG UK LTD,890.40,2015-11-26
Communities & Environment,Employees,Indirect Employee Expenses,148017490,1,201508,TYNE & WEAR PENSION FUND,33176.00,2015-11-03
Communities & Environment,Premises,Energy,43874765,0,201508,ENER-G COMBINED POWER LTD,1676.13,2015-11-02
