Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq,Period,Supplier ID(T),Amount,Updated
Communities & Environment,Supplies and Services,Comms & Computing,41087317,1,201506,ROYAL MAIL,701.39,2015-09-04
Communities & Environment,Supplies and Services,Comms & Computing,148016816,40,201506,O2 (UK) LTD,39.99,2015-09-10
Communities & Environment,Premises,Security & Insurance,41130084,1,201506,STATUS SECURITY SYSTEMS LTD,383.25,2015-09-25
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43858244,1,201506,BUNZL CLEANING & HYGIENE SUPPLIES,919.44,2015-09-08
Communities & Environment,Supplies and Services,Catering & Provisions,41129023,1,201506,COCA-COLA ENTERPRISES LTD,579.65,2015-09-23
Communities & Environment,Supplies and Services,Catering & Provisions,41129039,1,201506,MOLSON COORS BREWING COMPANY,851.27,2015-09-23
Communities & Environment,Supplies and Services,Other Running Costs,43867182,4,201506,CITY OF SUNDERLAND,56.25,2015-09-11
Communities & Environment,Premises,Energy,43867482,0,201506,ENER-G COMBINED POWER LTD,1888.66,2015-09-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43869096,0,201506,VIRGIN MEDIA LTD,2616.33,2015-09-23
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128238,1,201506,BRENNTAG UK LTD,465.96,2015-09-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41130279,1,201506,BRENNTAG UK LTD,465.96,2015-09-24
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128508,1,201506,DE LAGE LANDEN LEASING LTD,1870.75,2015-09-10
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43866341,0,201506,TECHNOGYM UK LTD,512.61,2015-09-21
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41130859,1,201506,INITIAL WASHROOM SOLUTIONS,543.20,2015-09-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43868090,0,201506,APW LEISURE LTD,410.00,2015-09-21
Communities & Environment,Supplies and Services,Other Running Costs,43867182,3,201506,CITY OF SUNDERLAND,56.25,2015-09-11
Communities & Environment,Premises,Energy,43867479,0,201506,ENER-G COMBINED POWER LTD,1856.43,2015-09-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43854247,0,201506,TECHNOGYM UK LTD,14671.46,2015-09-23
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43862094,0,201506,TECHNOGYM UK LTD,14671.46,2015-09-23
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43865947,0,201506,J P  LENNARD LTD,176.02,2015-09-07
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43859866,0,201506,BUNZL CLEANING & HYGIENE SUPPLIES,510.44,2015-09-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43864160,0,201506,BUNZL CLEANING & HYGIENE SUPPLIES,497.62,2015-09-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43867578,0,201506,BUNZL CLEANING & HYGIENE SUPPLIES,445.20,2015-09-17
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41129022,1,201506,BRENNTAG UK LTD,574.39,2015-09-23
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43865947,1,201506,J P  LENNARD LTD,199.63,2015-09-07
Communities & Environment,Supplies and Services,Catering & Provisions,41129823,1,201506,COCA-COLA ENTERPRISES LTD,408.24,2015-09-23
Communities & Environment,Supplies and Services,Catering & Provisions,41129925,1,201506,BATLEYS LTD,402.94,2015-09-23
Communities & Environment,Supplies and Services,Comms & Computing,148016816,41,201506,O2 (UK) LTD,14.50,2015-09-10
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41130284,1,201506,INITIAL WASHROOM SOLUTIONS,794.60,2015-09-28
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43859249,0,201506,SPORTS RETAIL SOLUTIONS,577.44,2015-09-02
Communities & Environment,Supplies and Services,Other Running Costs,43867182,0,201506,CITY OF SUNDERLAND,67.50,2015-09-11
Communities & Environment,Supplies and Services,Comms & Computing,148016816,42,201506,O2 (UK) LTD,26.82,2015-09-10
Communities & Environment,Supplies and Services,Other Running Costs,43867182,1,201506,CITY OF SUNDERLAND,56.25,2015-09-11
Communities & Environment,Premises,Energy,43867480,0,201506,ENER-G COMBINED POWER LTD,1856.43,2015-09-14
Communities & Environment,Premises,Energy,43867483,0,201506,ENER-G COMBINED POWER LTD,1730.46,2015-09-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43866102,0,201506,APW LEISURE LTD,486.00,2015-09-09
Communities & Environment,Supplies and Services,Other Running Costs,43867182,2,201506,CITY OF SUNDERLAND,56.25,2015-09-11
Communities & Environment,Supplies and Services,Comms & Computing,148016816,43,201506,O2 (UK) LTD,3.63,2015-09-10
Communities & Environment,Supplies and Services,Other Running Costs,43867182,5,201506,CITY OF SUNDERLAND,56.25,2015-09-11
Communities & Environment,Supplies and Services,Comms & Computing,148016816,44,201506,O2 (UK) LTD,3.63,2015-09-10
Communities & Environment,Supplies and Services,Other Running Costs,43867182,7,201506,CITY OF SUNDERLAND,56.25,2015-09-11
Communities & Environment,Premises,Energy,43866650,0,201506,BILLINGTON BIOFUELS,2160.00,2015-09-10
Communities & Environment,Premises,Energy,43867481,0,201506,ENER-G COMBINED POWER LTD,1810.33,2015-09-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43868848,0,201506,VIRGIN MEDIA LTD,2616.33,2015-09-22
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43848667,0,201506,BUNZL CLEANING & HYGIENE SUPPLIES,381.76,2015-09-01
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128127,1,201506,CRYOSERVICE LTD,678.48,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43865003,0,201506,BRENNTAG UK LTD,574.39,2015-09-10
Communities & Environment,Supplies and Services,Comms & Computing,148016816,45,201506,O2 (UK) LTD,3.62,2015-09-10
Communities & Environment,Supplies and Services,Other Running Costs,43867182,8,201506,CITY OF SUNDERLAND,67.50,2015-09-11
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43868852,0,201506,VIRGIN MEDIA LTD,2616.33,2015-09-22
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43869507,0,201506,BRENNTAG UK LTD,582.14,2015-09-29
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128510,1,201506,DE LAGE LANDEN LEASING LTD,2120.61,2015-09-15
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128518,1,201506,ING LEASE UK LTD,428.00,2015-09-15
Communities & Environment,Supplies and Services,Comms & Computing,148016816,46,201506,O2 (UK) LTD,3.62,2015-09-10
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43865614,0,201506,ASA AWARDS SCHEME,377.80,2015-09-07
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43868088,0,201506,APW LEISURE LTD,348.00,2015-09-24
Communities & Environment,Supplies and Services,Other Running Costs,43867182,6,201506,CITY OF SUNDERLAND,56.25,2015-09-11
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43869686,0,201506,CRACK LTD,750.00,2015-09-25
Communities & Environment,Transport,Car Allowances,148017034,27,201506,COMMONWHEELS CARCLUB CIC,10.00,2015-09-25
Communities & Environment,Supplies and Services,Comms & Computing,148016816,38,201506,O2 (UK) LTD,10.00,2015-09-10
Communities & Environment,Transport,Public Transport and Taxi Fares,148017005,15,201506,CLICK TRAVEL LTD,130.39,2015-09-24
