Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,"Printing, Stationery etc",42375953,2,201208,BOTTOMLINE TECHNOLOGIES,5170.26,2012-11-02
Central Services,Supplies and Services,Comms & Computing,42375970,2,201208,VODAFONE CORPORATE LTD,686.68,2012-11-02
Central Services,Supplies and Services,Comms & Computing,42375973,2,201208,VODAFONE CORPORATE LTD,1245.00,2012-11-02
Central Services,Other Costs,,42375982,2,201208,PHOENIX SOFTWARE LTD,6202.66,2012-11-02
Central Services,Supplies and Services,Comms & Computing,42375991,3,201208,VIRGIN MEDIA BUSINESS,538.68,2012-11-02
Central Services,Supplies and Services,Comms & Computing,42375991,4,201208,VIRGIN MEDIA BUSINESS,500.62,2012-11-02
Central Services,Supplies and Services,"Furn, Equip & Mats",42376145,2,201208,OCE UK LTD,8142.10,2012-11-02
Central Services,Supplies and Services,"Printing, Stationery etc",42376201,2,201208,ADARE HALCYON LTD,4845.62,2012-11-05
Central Services,Supplies and Services,"Printing, Stationery etc",42376203,2,201208,PAKFLATT UK LTD,708.75,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376204,2,201208,ROYAL MAIL,40824.62,2012-11-05
Central Services,Supplies and Services,Miscellaneous Supplies,42376267,2,201208,HMCS,1470.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,18,201208,VODAFONE CORPORATE LTD,13.53,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,16,201208,VODAFONE CORPORATE LTD,93.44,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,17,201208,VODAFONE CORPORATE LTD,2.25,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,21,201208,VODAFONE CORPORATE LTD,1.26,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,19,201208,VODAFONE CORPORATE LTD,90.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,20,201208,VODAFONE CORPORATE LTD,12.75,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,22,201208,VODAFONE CORPORATE LTD,90.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,25,201208,VODAFONE CORPORATE LTD,0.25,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,23,201208,VODAFONE CORPORATE LTD,123.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,24,201208,VODAFONE CORPORATE LTD,2.25,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,28,201208,VODAFONE CORPORATE LTD,7.57,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,26,201208,VODAFONE CORPORATE LTD,45.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376276,27,201208,VODAFONE CORPORATE LTD,2.25,2012-11-05
Central Services,Transport,Public Transport and Taxi Fares,42376356,32,201208,CLICK TRAVEL LTD,75.22,2012-11-05
Central Services,Transport,Public Transport and Taxi Fares,42376356,41,201208,CLICK TRAVEL LTD,69.16,2012-11-05
Central Services,Employees,Indirect Employee Expenses,42376356,16,201208,CLICK TRAVEL LTD,5.80,2012-11-05
Central Services,Employees,Indirect Employee Expenses,42376356,17,201208,CLICK TRAVEL LTD,5.80,2012-11-05
Central Services,Employees,Indirect Employee Expenses,42376356,36,201208,CLICK TRAVEL LTD,218.21,2012-11-05
Central Services,Employees,Indirect Employee Expenses,42376356,37,201208,CLICK TRAVEL LTD,218.21,2012-11-05
Central Services,Employees,Indirect Employee Expenses,42376356,18,201208,CLICK TRAVEL LTD,5.80,2012-11-05
Central Services,Employees,Indirect Employee Expenses,42376356,19,201208,CLICK TRAVEL LTD,5.80,2012-11-05
Central Services,Employees,Indirect Employee Expenses,42376356,38,201208,CLICK TRAVEL LTD,150.00,2012-11-05
Central Services,Employees,Indirect Employee Expenses,42376356,39,201208,CLICK TRAVEL LTD,150.00,2012-11-05
Central Services,Transport,Public Transport and Taxi Fares,42376356,30,201208,CLICK TRAVEL LTD,9.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376364,11,201208,ROYAL MAIL,851.20,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376364,12,201208,ROYAL MAIL,61.95,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376364,6,201208,ROYAL MAIL,351.22,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376364,7,201208,ROYAL MAIL,336.16,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376364,8,201208,ROYAL MAIL,38.60,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376364,13,201208,ROYAL MAIL,60.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376364,10,201208,ROYAL MAIL,2393.76,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376364,9,201208,ROYAL MAIL,1435.52,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376365,11,201208,ROYAL MAIL,692.80,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376365,12,201208,ROYAL MAIL,358.17,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376365,6,201208,ROYAL MAIL,228.66,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376365,7,201208,ROYAL MAIL,109.71,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376365,8,201208,ROYAL MAIL,22.80,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376365,13,201208,ROYAL MAIL,50.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376365,10,201208,ROYAL MAIL,346.51,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376365,9,201208,ROYAL MAIL,679.49,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376391,5,201208,POSTAGE BY PHONE-PITNEY BOWES,40.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376391,6,201208,POSTAGE BY PHONE-PITNEY BOWES,8.00,2012-11-05
Central Services,Supplies and Services,Comms & Computing,42376391,4,201208,POSTAGE BY PHONE-PITNEY BOWES,4000.00,2012-11-05
Central Services,Supplies and Services,Miscellaneous Supplies,42376477,2,201208,RSM TENON,750.00,2012-11-06
Central Services,Supplies and Services,Comms & Computing,42376847,3,201208,POSTAGE BY PHONE-PITNEY BOWES,9.00,2012-11-07
Central Services,Supplies and Services,Comms & Computing,42376847,4,201208,POSTAGE BY PHONE-PITNEY BOWES,8000.00,2012-11-07
Central Services,Supplies and Services,"Licenses, Housing, Fees",42377149,18,201208,CRIMINAL RECORDS BUREAU,44.00,2012-11-08
Central Services,Supplies and Services,"Licenses, Housing, Fees",42377149,19,201208,CRIMINAL RECORDS BUREAU,792.00,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,289,201208,O2 (UK) LTD,30.00,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,290,201208,O2 (UK) LTD,30.93,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,291,201208,O2 (UK) LTD,26.73,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,301,201208,O2 (UK) LTD,39.00,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,297,201208,O2 (UK) LTD,15.21,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,293,201208,O2 (UK) LTD,18.82,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,294,201208,O2 (UK) LTD,19.60,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,295,201208,O2 (UK) LTD,0.06,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,296,201208,O2 (UK) LTD,26.02,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,292,201208,O2 (UK) LTD,9.18,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,298,201208,O2 (UK) LTD,620.96,2012-11-08
Central Services,Supplies and Services,Comms & Computing,42377166,299,201208,O2 (UK) LTD,117.31,2012-11-08
