Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,148029157,4,201808,CLICK TRAVEL LTD,33,2018-11-14
Office of the Chief Executive,Supplies and Services,"Printing, Stationery etc",41238817,1,201808,ACORN WEB OFFSET LTD,13791.52,2018-11-27
Office of the Chief Executive,Supplies and Services,Comms & Computing,44011580,0,201808,NATIONAL LEAFLET COMPANY,5443.13,2018-11-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,44012102,0,201808,DAVID CASEY DISPLAYS LTD,760,2018-11-26
Office of the Chief Executive,Employees,Indirect Employee Expenses,148029081,1,201808,TYNE & WEAR PENSION FUND,10686,2018-11-09
Office of the Chief Executive,Supplies and Services,Comms & Computing,41238311,1,201808,GOSS INTERACTIVE LIMITED,440,2018-11-19
Office of the Chief Executive,Supplies and Services,Comms & Computing,41238312,1,201808,GOSS INTERACTIVE LIMITED,19750,2018-11-19
Office of the Chief Executive,Supplies and Services,Comms & Computing,41238313,1,201808,GOSS INTERACTIVE LIMITED,8900,2018-11-19
Office of the Chief Executive,Supplies and Services,Comms & Computing,41238314,1,201808,GOSS INTERACTIVE LIMITED,1037,2018-11-19
Corporate Resources,Transport,Public Transport and Taxi Fares,148029157,6,201808,CLICK TRAVEL LTD,1,2018-11-14
Corporate Resources,Supplies and Services,Comms & Computing,44018630,0,201808,TRUSTMARQUE SOLUTIONS LTD,9224.72,2018-11-26
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148029114,2,201808,MARSH LTD,6276.97,2018-11-13
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148029339,2,201808,MARSH LTD,7830.68,2018-11-27
Corporate Resources,Employees,Indirect Employee Expenses,44017128,0,201808,ITS TRAINING (UK) LTD,1938,2018-11-14
Corporate Resources,Supplies and Services,Comms & Computing,44015972,0,201808,DURHAM COUNTY COUNCIL,28697.1,2018-11-09
Corporate Resources,Supplies and Services,Comms & Computing,41237992,1,201808,QUICKTHINK CLOUD LIMITED,1334.29,2018-11-14
Corporate Resources,Supplies and Services,Comms & Computing,41237994,1,201808,QUICKTHINK CLOUD LIMITED,3038.82,2018-11-14
Corporate Resources,Supplies and Services,Comms & Computing,44015948,0,201808,ZIAAS LIMITED,484,2018-11-06
Corporate Resources,Supplies and Services,Comms & Computing,41237789,1,201808,VIRGIN MEDIA PAYMENTS LTD,918.89,2018-11-14
