Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Community Based Services,Transport,Car Allowances,148008502,13,201311,COMMONWHEELS CIC,25.74,2014-02-21
Community Based Services,Transport,Car Allowances,148008502,46,201311,COMMONWHEELS CIC,165.11,2014-02-21
Community Based Services,Employees,Agency Staff,60091047,32,201311,COMENSURA LTD,850.1,2014-02-19
Community Based Services,Employees,Agency Staff,60091048,21,201311,COMENSURA LTD,861.75,2014-02-26
Community Based Services,Transport,Public Transport and Taxi Fares,148008616,24,201311,CLICK TRAVEL LTD,28.46,2014-02-27
Community Based Services,Transport,Public Transport and Taxi Fares,148008616,25,201311,CLICK TRAVEL LTD,76.22,2014-02-27
Community Based Services,Transport,Public Transport and Taxi Fares,148008616,26,201311,CLICK TRAVEL LTD,43.68,2014-02-27
Community Based Services,Supplies and Services,Comms & Computing,147003598,1,201311,ALLPAY LTD,799,2014-02-07
Community Based Services,Supplies and Services,Comms & Computing,147003936,1,201311,ALLPAY LTD,2000.00,2014-02-25
Community Based Services,Supplies and Services,Miscellaneous Supplies,147003953,1,201311,ALLPAY LTD,2000.00,2014-02-25
Community Based Services,Supplies and Services,"Printing, Stationery etc",41047952,6,201311,INTERCHANGE NEWS,30.53,2014-02-05
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",147003623,1,201311,SOUTH TYNESIDE NHS FOUNDATION TRUST,417.24,2014-02-04
Community Based Services,Transport,Public Transport and Taxi Fares,148008356,10,201311,CLICK TRAVEL LTD,78.25,2014-02-14
Community Based Services,Transport,Public Transport and Taxi Fares,148008356,11,201311,CLICK TRAVEL LTD,78.25,2014-02-14
Community Based Services,Transport,Public Transport and Taxi Fares,148008356,12,201311,CLICK TRAVEL LTD,64.11,2014-02-14
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41054566,1,201311,REDACTED - Personal Information,750,2014-02-25
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41051604,1,201311,NORTHUMBRIA UNIVERSITY,970.7,2014-02-07
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41054569,1,201311,STATE 8 PROMOTIONS,477,2014-02-25
Community Based Services,Third Party Payments,Third Party Payments,41051605,1,201311,CITY OF SUNDERLAND,5000.00,2014-02-07
Community Based Services,Employees,Indirect Employee Expenses,41048929,1,201311,YOUR VOICE COUNTS,8305.00,2014-02-04
Community Based Services,Employees,Indirect Employee Expenses,41049628,1,201311,ROWLANDS GILL GUIDEPOST,1000.00,2014-02-04
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147003683,1,201311,BLAYDON YOUTH CLUB,3500.00,2014-02-12
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147003736,1,201311,ST JOSEPH'S COMMUNITY CENTRE,706,2014-02-12
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147003937,1,201311,THE FELLING IRISH ASSOCIATION,500,2014-02-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147003937,2,201311,THE FELLING IRISH ASSOCIATION,500,2014-02-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147003937,3,201311,THE FELLING IRISH ASSOCIATION,500,2014-02-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147003937,4,201311,THE FELLING IRISH ASSOCIATION,500,2014-02-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004094,1,201311,CHOPWELL COMMUNITY ASSOCIATION,1008.00,2014-02-26
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004095,1,201311,DUNSTON COMMUNITY ASSOC GRANTS A/C,1675.89,2014-02-26
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004096,1,201311,THOMAS HEPBURN COMM. FUND,2940.00,2014-02-26
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004099,1,201311,RYTON MUSIC FESTIVAL,500,2014-02-26
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004100,1,201311,SHOW RACISM THE RED CARD,3000.00,2014-02-26
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004100,2,201311,SHOW RACISM THE RED CARD,1000.00,2014-02-26
Community Based Services,Supplies and Services,Comms & Computing,148008574,2,201311,VIRGIN MEDIA PAYMENTS LTD,40,2014-02-25
Community Based Services,Supplies and Services,Comms & Computing,148008575,2,201311,VIRGIN MEDIA PAYMENTS LTD,40,2014-02-25
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",147003919,1,201311,BIRTLEY COMMUNITY PARTNERSHIP,698.92,2014-02-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41055839,1,201311,GREGORYS NORTH EAST LTD,983,2014-02-27
Community Based Services,Third Party Payments,Third Party Payments,43773593,2,201311,DUNHOLME LTD,304,2014-02-04
Community Based Services,Third Party Payments,Third Party Payments,43773593,0,201311,DUNHOLME LTD,76,2014-02-04
Community Based Services,Supplies and Services,Comms & Computing,41045268,6,201311,MLL TELECOM LTD,898,2014-02-13
Community Based Services,Supplies and Services,Comms & Computing,41055042,1,201311,VIRGIN MEDIA PAYMENTS LTD,355,2014-02-26
Community Based Services,Supplies and Services,Comms & Computing,148008574,1,201311,VIRGIN MEDIA PAYMENTS LTD,1665.00,2014-02-25
Community Based Services,Supplies and Services,Comms & Computing,148008575,1,201311,VIRGIN MEDIA PAYMENTS LTD,1665.00,2014-02-25
Community Based Services,Premises,Rep & Maint,41054369,1,201311,IAN WILKES ELECTRICAL SERVICES,950,2014-02-27
Community Based Services,Premises,Rep & Maint,41055080,1,201311,ACTION ENVIRO MAINTENANCE LTD,815.88,2014-02-21
Community Based Services,Premises,Security & Insurance,147003637,1,201311,SITEX ORBIS,2277.00,2014-02-05
Community Based Services,Premises,Security & Insurance,147003638,1,201311,SITEX ORBIS,1485.00,2014-02-05
Community Based Services,Premises,Security & Insurance,147003639,1,201311,SITEX ORBIS,2485.64,2014-02-05
Community Based Services,Premises,Security & Insurance,147004033,1,201311,SITEX ORBIS,1372.96,2014-02-24
Community Based Services,Premises,Security & Insurance,147004036,1,201311,SITEX ORBIS,1784.35,2014-02-24
Community Based Services,Transport,Public Transport and Taxi Fares,148008175,17,201311,CLICK TRAVEL LTD,15.63,2014-02-06
Community Based Services,Transport,Public Transport and Taxi Fares,148008175,18,201311,CLICK TRAVEL LTD,18.66,2014-02-06
Community Based Services,Transport,Public Transport and Taxi Fares,148008616,37,201311,CLICK TRAVEL LTD,27.24,2014-02-27
Community Based Services,Premises,Fixtures & Fittings,147003655,1,201311,COOL TRADER LTD,939,2014-02-05
Community Based Services,Transport,Public Transport and Taxi Fares,148008016,20,201311,CLICK TRAVEL LTD,65.62,2014-02-03
Community Based Services,Transport,Car Allowances,148008502,15,201311,COMMONWHEELS CIC,0.36,2014-02-21
Community Based Services,Transport,Car Allowances,148008502,48,201311,COMMONWHEELS CIC,165.12,2014-02-21
Community Based Services,Supplies and Services,Catering & Provisions,41055201,1,201311,ABRITAS,1560.00,2014-02-25
Community Based Services,Supplies and Services,Other Running Costs,148008379,1,201311,MARSH LTD,27754.27,2014-02-17
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43775660,0,201311,SUPPLIES TEAM LTD,352.73,2014-02-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43772060,0,201311,PEART ACCESS RAMPS,867,2014-02-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43776698,0,201311,TERRY GROUP LTD,818.26,2014-02-21
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43778024,0,201311,HANDICARE,450,2014-02-28
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43778041,0,201311,HANDICARE,450,2014-02-28
Community Based Services,Transport,Public Transport and Taxi Fares,148008016,16,201311,CLICK TRAVEL LTD,40.98,2014-02-03
Community Based Services,Supplies and Services,Other Running Costs,43777660,0,201311,PARK RETAIL LTD,980,2014-02-28
Community Based Services,Supplies and Services,Other Running Costs,43777839,1,201311,TESCO STORES LIMITED,3000.00,2014-02-28
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147003594,1,201311,DH SALES & LETTINGS,950,2014-02-03
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147003681,1,201311,REDACTED - Personal Information,450,2014-02-07
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004091,1,201311,REDACTED - Personal Information,500,2014-02-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004241,1,201311,JAN FORSTER LETTINGS,720,2014-02-27
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43774294,0,201311,REDACTED - Personal Information,600,2014-02-06
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41052250,1,201311,YVETTE HAWKINS VISUAL ARTIST,500,2014-02-12
Community Based Services,Transport,Public Transport and Taxi Fares,148008016,39,201311,CLICK TRAVEL LTD,30.21,2014-02-03
Community Based Services,Transport,Public Transport and Taxi Fares,148008016,40,201311,CLICK TRAVEL LTD,30.21,2014-02-03
Community Based Services,Transport,Public Transport and Taxi Fares,148008016,41,201311,CLICK TRAVEL LTD,30.21,2014-02-03
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43776097,0,201311,STAGE ELECTRICS PARTNERSHIP LTD,669.72,2014-02-24
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41053092,1,201311,JEWISH COMMUNITY COUNCIL OF GATESHEAD,1000.00,2014-02-11
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43774553,0,201311,CITY OF NEWCASTLE UPON TYNE,968.19,2014-02-07
Community Based Services,Third Party Payments,Third Party Payments,147003912,1,201311,BALTIC FLOUR MILLS VISUAL ARTS TRUST,65000.00,2014-02-18
Community Based Services,Employees,Indirect Employee Expenses,41050017,1,201311,RLSS IQL UK LTD,630,2014-02-03
Community Based Services,Employees,Indirect Employee Expenses,43775367,0,201311,HIGHFIELD AWARDING BODY FOR COMPLIANCE LTD,500,2014-02-17
Community Based Services,Transport,Public Transport and Taxi Fares,148008616,9,201311,CLICK TRAVEL LTD,11.19,2014-02-27
Community Based Services,Transport,Public Transport and Taxi Fares,148008616,10,201311,CLICK TRAVEL LTD,170.16,2014-02-27
Community Based Services,Transport,Public Transport and Taxi Fares,148008616,11,201311,CLICK TRAVEL LTD,170.16,2014-02-27
Community Based Services,Transport,Public Transport and Taxi Fares,148008616,18,201311,CLICK TRAVEL LTD,86.33,2014-02-27
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",43775366,0,201311,UKACTIVE,255,2014-02-17
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43776898,0,201311,J P  LENNARD LTD,428.19,2014-02-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43776438,0,201311,BUNZL CLEANING & HYGIENE SUPPLIES,369.5,2014-02-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43774559,0,201311,KAYDEE BLINDS,482.3,2014-02-07
Community Based Services,Supplies and Services,Catering & Provisions,41052836,1,201311,HOLLAND FOOD SERVICES,531.05,2014-02-10
Community Based Services,Supplies and Services,Catering & Provisions,41052839,1,201311,HOLLAND FOOD SERVICES,580.03,2014-02-10
Community Based Services,Supplies and Services,Catering & Provisions,41053069,1,201311,BATLEYS LTD,210.6,2014-02-12
Community Based Services,Supplies and Services,Catering & Provisions,41053069,2,201311,BATLEYS LTD,425.91,2014-02-12
Community Based Services,Supplies and Services,Catering & Provisions,41054054,1,201311,COCA-COLA ENTERPRISES LTD,514.22,2014-02-24
Community Based Services,Supplies and Services,Catering & Provisions,41054055,1,201311,COCA-COLA ENTERPRISES LTD,703.32,2014-02-24
Community Based Services,Supplies and Services,Catering & Provisions,41055608,1,201311,HOLLAND FOOD SERVICES,446.34,2014-02-27
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",43775366,5,201311,UKACTIVE,200,2014-02-17
