Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-01,5100886943,191897.22,Manchester Working Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-01,5100886940,115201.97,Manchester Working Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-01,5100886941,103913.66,Manchester Working Ltd
Manchester City Council,Adult Social Care,Rents,2016-11-01,5100887061,74125.32,B & A Properties
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-11-01,5100887192,38862.24,Manchester Van Hire Ltd
Manchester City Council,Adult Social Care,Payments for services,2016-11-01,5100886934,17344.50,Lancasterian School
Manchester City Council,Manchester Leisure,Refuse Collection,2016-11-01,5100887048,16206.03,Biffa Municipal Limited
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-11-01,5100887096,15762.95,G & A Taylor Hotels Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-11-01,5100887100,15452.87,G & A Taylor Hotels Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-11-01,5100887105,10000.00,AECOM Limited
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-11-01,5100887069,8530.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2016-11-01,5100887110,8000.00,Senhouse Roman Museum
Manchester City Council,Manchester Leisure,Refuse Collection,2016-11-01,5100887048,7541.58,Biffa Municipal Limited
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-11-01,5100887071,7230.00,Redacted Personal Information
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-01,5100886939,6781.08,Manchester Working Ltd
Manchester City Council,Manchester Leisure,Professional fees,2016-11-01,5100887203,6263.58,Daly Drains Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2016-11-01,5100886977,6250.00,The Manufacturing Institute
Manchester City Council,Adult Social Care,Professional fees,2016-11-01,5100887059,5850.00,Redacted Personal Information
Manchester City Council,GMIST (Greater Mcr Integrated),Legal Fees,2016-11-01,5100886956,5400.00,Landmark Chambers
Manchester City Council,GMIST (Greater Mcr Integrated),Legal Fees,2016-11-01,5100886960,4500.00,Landmark Chambers
Manchester City Council,Chief Executives,Agency staff provision,2016-11-01,5100887206,4364.45,Eden Brown Synergy
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,2016-11-01,5100886935,4123.60,Manchester Working Ltd
Manchester City Council,Manchester Leisure,Professional fees,2016-11-01,5100887097,3995.00,Enventure Research Ltd
Manchester City Council,Adult Social Care,Compensation Payments,2016-11-01,1905337393,3772.00,Liberata
Manchester City Council,GMIST (Greater Mcr Integrated),Legal Fees,2016-11-01,5100886957,3430.00,Landmark Chambers
Manchester City Council,Adult Social Care,Payments for services,2016-11-01,5100886975,3078.68,Cambian Care Services
Manchester City Council,Chief Executives,Agency staff provision,2016-11-01,5100887204,2883.65,Eden Brown Synergy
Manchester City Council,Adult Social Care,Payments for services,2016-11-01,5100886974,2860.00,Cambian Care Services
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-01,5100887101,2152.74,Canopies UK
Manchester City Council,Regeneration Finance,Legal Fees,2016-11-01,5100886976,2100.00,Redacted Personal Information
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2016-11-01,5100886981,2085.06,Rosgal Ltd
Manchester City Council,Adult Social Care,Payments for services,2016-11-01,5100886910,1478.00,Mary Hare School
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-11-01,5100886988,1350.00,APL Coachhire
Manchester City Council,Manchester Leisure,Legal Fees,2016-11-01,5100886969,1012.50,Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-11-01,5100887099,894.48,Fleet Dynamic Consultancy Ltd
Manchester City Council,Adult Social Care,Professional fees,2016-11-01,5100886966,875.00,Liquid Personnel Ltd
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,2016-11-01,5100886970,870.00,Brighter Beginnings Day Nursery
Manchester City Council,Chief Executives,Stationery,2016-11-01,5100887016,863.97,Neopost Ltd (Consumables)
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2016-11-01,5100886942,855.00,Osborne Richardson
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-11-01,5100887042,833.00,Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-11-01,5100887098,744.30,Fleet Dynamic Consultancy Ltd
Manchester City Council,Adult Social Care,Payments for services,2016-11-01,5100887035,650.00,The Together Trust
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-11-01,5100886979,572.25,Marlborough Road Academy
Manchester City Council,Chief Executives,Compensation Payments,2016-11-01,1700066371,17850.00,Clear Law Solicitors
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2016-11-02,5100887245,80377.41,Kenny Bros (Civil Eng) Ltd
Manchester City Council,Regeneration Finance,Rents,2016-11-02,1905307372,51116.20,CBRE Ltd
Manchester City Council,Chief Executives,Building Works,2016-11-02,5100887138,47455.00,Amicrest Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-11-02,5100887282,41493.07,Manchester Van Hire Ltd
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2016-11-02,5100887243,38833.67,Kenny Bros (Civil Eng) Ltd
Manchester City Council,Adult Social Care,Payments for services,2016-11-02,5100887140,31968.00,Manchester College
Manchester City Council,Chief Executives,Agency staff provision,2016-11-02,5100887305,25849.84,Hays Personnel
Manchester City Council,Adult Social Care,Training and Development,2016-11-02,5100887194,20000.00,Capita Business Services Ltd
Manchester City Council,Chief Executives,Contribution to PATROL,2016-11-02,5100887303,15606.40,PATROL
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2016-11-02,5100887244,14415.91,Kenny Bros (Civil Eng) Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-11-02,5100887240,12621.43,MCR Blackcab Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-11-02,5100887239,11493.31,MCR Blackcab Ltd
Manchester City Council,Adult Social Care,Professional fees,2016-11-02,5100887103,9750.00,One Education Ltd
Manchester City Council,Adult Social Care,Compensation Payments,2016-11-02,1905328042,9505.00,Thompsons Solicitors
Manchester City Council,Corporate Services,I T Provision,2016-11-02,5100887214,7800.00,Northgate Public Services (UK) Ltd
Manchester City Council,Chief Executives,I T Provision,2016-11-02,5100887147,7750.00,Basemap Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-11-02,5100887292,7720.00,Redacted Personal Information
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2016-11-02,5100887160,7312.50,Fairway Landscapes Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-11-02,5100887134,7003.00,Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,2016-11-02,5100887155,6737.85,Manchester Working Ltd
Manchester City Council,Manchester Leisure,Grant Payments,2016-11-02,5100887201,6075.00,Levenshulme Inspire
Manchester City Council,Adult Social Care,Professional fees,2016-11-02,5100887318,5805.84,Mike Farrar Consulting Ltd
Manchester City Council,Manchester Leisure,Hire of Equipment,2016-11-02,5100887332,5401.70,Tube Uk Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887122,5310.44,SIG Roofing Supplies
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-11-02,5100887283,4829.45,Manchester Van Hire Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887169,3832.49,IG Doors Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100886948,3497.40,Rexel UK Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887127,3081.96,SIG Roofing Supplies
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-11-02,5100886958,3011.75,The Mustard Tree
Manchester City Council,Adult Social Care,Payments for services,2016-11-02,5100887301,3009.40,Scope
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-11-02,5100887242,2764.03,MCR Blackcab Ltd
Manchester City Council,Regeneration Finance,Legal Fees,2016-11-02,5100887306,2653.00,Slater & Gordon (UK) LLP
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-11-02,5100887166,2400.21,Cornflower Ltd
Manchester City Council,Adult Social Care,General Payments not otherwise categorised,2016-11-02,1905326308,2360.00,Kearns Consultancy Ltd
Manchester City Council,Chief Executives,Agency staff provision,2016-11-02,5100887186,2292.51,Bs Project Services Ltd T/A
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887121,2172.52,SIG Roofing Supplies
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887146,2075.49,Wrekin Windows
Manchester City Council,Chief Executives,Compensation Payments,2016-11-02,1905335182,2000.00,Redacted Personal Information
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887119,1686.19,SIG Roofing Supplies
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887151,1596.31,Wrekin Windows
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887123,1556.42,SIG Roofing Supplies
Manchester City Council,Chief Executives,Data Links,2016-11-02,5100886978,1500.00,RandomStorm Ltd
Manchester City Council,Adult Social Care,Legal Fees,2016-11-02,1905333097,1211.50,Sterling Costs
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,2016-11-02,5100887150,1203.69,Manchester Working Ltd
Manchester City Council,Adult Social Care,Personal needs of client,2016-11-02,5100886113,1200.00,Mountway Ltd
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,2016-11-02,5100887152,1156.39,Manchester Working Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100886944,1143.71,Rexel UK Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-11-02,5100887241,1036.36,MCR Blackcab Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-11-02,5100886197,940.00,Kensite Services Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-11-02,5100887187,940.00,Kensite Services Ltd
Manchester City Council,Regeneration Finance,General Payments not otherwise categorised,2016-11-02,1905324991,900.00,Central Bedfordshire Council
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887118,855.94,SIG Roofing Supplies
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887129,816.58,SIG Roofing Supplies
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887161,801.30,IG Doors Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-11-02,5100887322,795.00,Burnley & Pendle Travel Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-02,1905341533,747.15,Brake Bros Foodservice Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887144,718.26,Wrekin Windows
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-02,1905341519,694.98,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-11-02,5100886198,672.00,Kensite Services Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-11-02,5100887183,672.00,Kensite Services Ltd
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-11-02,1905337294,638.15,Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-02,1905341548,631.29,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-02,1905341539,605.14,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-02,1905341542,589.45,Pasta King (Uk) Ltd
Manchester City Council,Chief Executives,Printing,2016-11-02,5100886936,560.00,Contact Photographic Services Ltd
Manchester City Council,Regeneration Finance,Professional Services Provision,2016-11-02,5100887171,535.00,Integrated Water Services Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100887141,534.81,Wrekin Windows
Manchester City Council,Regeneration Finance,Professional fees,2016-11-02,5100887153,500.00,Arboricultural Services Treework
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-11-02,5100887177,672.00,Kensite Services Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100886945,837.66,Rexel UK Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-11-02,5100887178,940.00,Kensite Services Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-11-02,5100886950,1079.16,Rexel UK Ltd
Manchester City Council,Chief Executives,Professional fees,2016-11-02,5100887294,2172.50,AECOM Limited
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-11-02,5100887226,7003.00,Redacted Personal Information
Manchester City Council,Chief Executives,Professional fees,2016-11-02,5100887293,8514.00,AECOM Limited
Manchester City Council,Manchester Leisure,Refuse Collection,2016-11-03,5100887363,1197644.61,Biffa Municipal Limited
Manchester City Council,Manchester Leisure,Refuse Collection,2016-11-03,5100887360,57932.66,Biffa Municipal Limited
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-03,1905343842,54970.47,Ralph Livesey Ltd
Manchester City Council,Adult Social Care,Payments for services,2016-11-03,5100887320,38640.00,Greater Manchester West
Manchester City Council,Regeneration Finance,Professional fees,2016-11-03,5100887506,30580.00,Atkins Limited
Manchester City Council,Corporate Services,Transport Taxis,2016-11-03,1905343847,26134.55,Mantax Radio Taxis Ltd
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2016-11-03,5100886985,26126.29,Softcat
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,2016-11-03,5100887345,25088.24,Manchester Working Ltd
Manchester City Council,Adult Social Care,Rents,2016-11-03,5100887475,18665.64,Mosscare Housing Ltd
Manchester City Council,Chief Executives,Agency staff provision,2016-11-03,5100887598,16746.45,Caritas Recruitment
Manchester City Council,Chief Executives,Agency staff provision,2016-11-03,5100887596,15913.50,Caritas Recruitment
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2016-11-03,5100886026,13019.38,Cruden Group Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2016-11-03,5100886983,12500.00,The Manufacturing Institute
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-11-03,5100887381,11205.14,Oldham Borough Council
Manchester City Council,Chief Executives,Grant and subscriptions awarded,2016-11-03,5100887499,10000.00,Design Manchester Ltd
Manchester City Council,Chief Executives,Agency staff provision,2016-11-03,5100887382,7040.49,Proactive Personnel Ltd
Manchester City Council,Housing General Fund,Building Works,2016-11-03,1905341605,6817.50,Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-11-03,5100887517,6160.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-11-03,5100887428,5350.00,Somali Adult Social Care Agency
Manchester City Council,Manchester Leisure,Professional fees,2016-11-03,1905341611,5182.70,Branding Solutions Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-11-03,1905341556,4878.45,Stockport NHS Foundation Trust
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-11-03,5100887584,4023.05,Enterprise Flex-E-Rent
Manchester City Council,Manchester Leisure,Grant Payments,2016-11-03,5100887357,3892.33,Whalley Range Forum
Manchester City Council,Manchester Leisure,Grant Payments,2016-11-03,5100887520,3425.00,Whitemoss Club For Young People
Manchester City Council,Manchester Leisure,I T Provision,2016-11-03,5100887386,2814.15,Experian  Ltd
Manchester City Council,Adult Social Care,Rents,2016-11-03,5100887471,2796.16,Mosscare Housing Ltd
Manchester City Council,Chief Executives,Printing,2016-11-03,5100887344,2732.40,Liberty  Services
Manchester City Council,Chief Executives,Printing,2016-11-03,5100887346,2732.40,Liberty  Services
Manchester City Council,Manchester Leisure,I T Provision,2016-11-03,5100887385,2498.05,Experian  Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2016-11-03,5100887479,2455.92,Manchester Dogs Home
Manchester City Council,Chief Executives,Personal needs of client,2016-11-03,5100887435,2236.00,Cornflower Ltd
Manchester City Council,Manchester Leisure,I T Provision,2016-11-03,5100887384,1970.50,Experian  Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2016-11-03,5100887478,1955.64,Manchester Dogs Home
Manchester City Council,Manchester Leisure,Professional fees,2016-11-03,5100887337,1950.00,Gekay Carpets
Manchester City Council,Manchester Leisure,Construction Works,2016-11-03,5100887663,1950.00,Clean-Up UK Limited
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2016-11-03,5100887664,1770.00,Clean-Up UK Limited
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-11-03,5100887421,1535.30,Redacted Personal Information
Manchester City Council,Adult Social Care,Payments for services,2016-11-03,5100887467,1506.50,South Cheshire College
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2016-11-03,5100887665,1400.00,Clean-Up UK Limited
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-11-03,5100886036,1255.51,Anchor Trust
Manchester City Council,Chief Executives,I T Provision,2016-11-03,5100887348,1200.00,Principal Agent Management Ltd
Manchester City Council,Manchester Leisure,Construction Works,2016-11-03,5100887358,1170.00,Jupiter Play & Leisure Ltd
Manchester City Council,Chief Executives,Agency staff provision,2016-11-03,5100887597,1081.85,Caritas Recruitment
Manchester City Council,Chief Executives,Agency staff provision,2016-11-03,5100887379,1039.99,Bennett Staff Bureau
Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,2016-11-03,5100887585,1025.51,Cresta World Travel Ltd
Manchester City Council,Adult Social Care,Professional fees,2016-11-03,1905332872,979.00,Anglia DNA Services Ltd
Manchester City Council,Adult Social Care,Security,2016-11-03,5100887422,962.20,Manchester Mental Health & Social C
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-11-03,5100886036,930.03,Anchor Trust
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,2016-11-03,5100887336,893.14,Manchester Working Ltd
Manchester City Council,Manchester Leisure,Construction Works,2016-11-03,5100887662,885.00,Clean-Up UK Limited
Manchester City Council,Chief Executives,Printing,2016-11-03,5100887656,810.00,Astra Signs
Manchester City Council,Chief Executives,Building Materials for direct delivery,2016-11-03,1905343857,808.00,Ecomix Concrete Ltd
Manchester City Council,Chief Executives,Building Materials for direct delivery,2016-11-03,1905343859,808.00,Ecomix Concrete Ltd
Manchester City Council,Chief Executives,Building Materials for direct delivery,2016-11-03,1905343866,808.00,Ecomix Concrete Ltd
Manchester City Council,Chief Executives,Building Materials for direct delivery,2016-11-03,1905343868,808.00,Ecomix Concrete Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-11-03,5100887444,791.09,Wythenshawe Community Housing Group
Manchester City Council,Chief Executives,Building Materials for direct delivery,2016-11-03,1905343869,745.00,Ecomix Concrete Ltd
Manchester City Council,Adult Social Care,Professional fees,2016-11-03,1905334152,720.88,Middleton Psychology Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-03,1905343470,717.41,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,Professional fees,2016-11-03,1905337416,675.48,Abbott & Company Solicitors
Manchester City Council,Housing General Fund,Catering,2016-11-03,5100886955,665.00,Islington Council
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-03,1905343500,656.67,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-03,1905343509,651.00,Pasta King (Uk) Ltd
Manchester City Council,Chief Executives,Building Materials for direct delivery,2016-11-03,1905343854,646.40,Ecomix Concrete Ltd
Manchester City Council,Chief Executives,Building Materials for direct delivery,2016-11-03,1905343863,646.40,Ecomix Concrete Ltd
Manchester City Council,Chief Executives,Building Materials for direct delivery,2016-11-03,1905343864,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-11-03,1905343075,633.54,Stone Marketing Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Equipment,2016-11-03,5100886003,630.00,Kensite Services Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-03,1905343486,608.14,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,Professional fees,2016-11-03,5100879833,585.00,Network Ventures Ltd T/A Topcare
Manchester City Council,Adult Social Care,Home Care,2016-11-03,5100879831,585.00,Network Ventures Ltd T/A Topcare
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-11-03,1905343465,580.21,Brake Bros Foodservice Ltd
