Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,2021-08-02,5105770691,4040.36,Cheshire East Borough Council
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,2021-08-02,5105770692,2503.14,Cheshire East Borough Council
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,2021-08-02,5105770693,2503.14,Cheshire East Borough Council
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,2021-08-02,5105770694,2503.14,Cheshire East Borough Council
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,2021-08-02,5105770695,2063.93,Cheshire East Borough Council
Manchester City Council,Adult Social Care,Rents,2021-08-02,5105770702,5095.95,Riverside ECHG
Manchester City Council,Adult Social Care,Rents,2021-08-02,5105770703,2734.87,Riverside ECHG
Manchester City Council,Childrens & Education Services,Contract Cleaning External,2021-08-02,5105770688,638.00,Freshwave Cleaning Services Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2021-08-02,5105770757,579.20,Standard Fuels Oils
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2021-08-02,5105770696,71261.54,Winners Contract Hire Ltd
Manchester City Council,Manchester Leisure,Equipment,2021-08-02,5105770718,2500.00,Durham Foundry (Sheffield) Ltd
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2021-08-02,5105770751,1084.63,Redacted Personal Information
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2021-08-02,5105770748,536.95,Redacted Personal Information
Manchester City Council,Highways Services,Payments to Sub-Contractors,2021-08-02,1907307198,657.53,Redacted Personal Information
Manchester City Council,Highways Services,Hire of Machinery,2021-08-02,5105770704,550.00,MTK Breaker Hire and Sales Ltd
Manchester City Council,Highways Services,Hire of Equipment,2021-08-02,5105770704,770.00,MTK Breaker Hire and Sales Ltd
Manchester City Council,Chief Executives,Printing,2021-08-02,5105770831,1070.00,Astra Signs
Manchester City Council,Manchester Leisure,Professional fees,2021-08-02,5105770756,2784.64,Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,2021-08-02,1907308182,12187.00,M.E.E.N
Manchester City Council,Manchester Leisure,Professional fees,2021-08-02,1907308183,11060.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,2021-08-02,5105770761,552.74,Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,2021-08-02,5105770723,500.00,Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,2021-08-02,5105770701,950.00,Hollinshead Education Consultancy
Manchester City Council,Chief Executives,Professional fees,2021-08-02,1700122048,-625.00,St Johns Buildings-Barristers
Manchester City Council,Chief Executives,Professional fees,2021-08-02,1700122047,-2687.50,St Johns Buildings-Barristers
Manchester City Council,Chief Executives,Licences Purchase,2021-08-02,5105770689,5000.04,Rightmove Group Limited
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2021-08-02,5105770791,17256.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2021-08-02,5105770779,-17256.00,Redacted Personal Information
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,2021-08-02,5105770690,7466.00,Marlborough Road Academy
Manchester City Council,Childrens & Education Services,Payments for services,2021-08-02,5105770716,41927.99,The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,2021-08-02,5105770713,39849.23,The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,2021-08-02,5105770711,20998.28,The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,2021-08-02,5105770598,9811.67,Trafford College
Manchester City Council,Childrens & Education Services,Payments for services,2021-08-02,5105770719,6958.01,The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,2021-08-02,5105770720,4767.67,The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,2021-08-02,5105770597,3200.00,Holy Cross Catholic Sixth Form
Manchester City Council,Childrens & Education Services,Payments for services,2021-08-02,5105770763,1128.00,Citywall
Manchester City Council,Adult Social Care,Personal needs of client,2021-08-02,5105770752,3006.00,James Leckey Design Ltd
Manchester City Council,Manchester Leisure,Child Service,2021-08-02,1907308567,10337.00,Women Support Group
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2021-08-02,5105770687,1855.00,NJL Consulting Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2021-08-02,5105770686,920.00,NJL Consulting Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2021-08-02,5105770697,-9750.00,Buro Happold Limited
Manchester City Council,Manchester Leisure,Agency staff provision,2021-08-03,5105770897,16374.71,University Of Manchester
Manchester City Council,Chief Executives,Agency staff provision,2021-08-03,5105770801,6187.50,Sanctuary Social Care
Manchester City Council,Chief Executives,Agency staff provision,2021-08-03,5105770802,2062.50,Sanctuary Social Care
Manchester City Council,Libraries and Theatres,Training and Development,2021-08-03,5105770799,600.00,Public Sector Software Ltd
Manchester City Council,Regeneration Finance,Training and Development,2021-08-03,1907307591,1500.00,Blue Book Artist Management LTD
Manchester City Council,Insurance Fund,Insurance,2021-08-03,1907272818,5550.00,Simpsons Solicitors
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,2021-08-03,5105771037,3623.80,UPS Building & Maintenance Ltd
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,2021-08-03,5105770847,874.00,AVOIRA Limited
Manchester City Council,Adult Social Care,Rents,2021-08-03,5105770838,4430.40,Houses4Homes 4U Ltd
Manchester City Council,Adult Social Care,Rents,2021-08-03,5105770953,3072.25,Great Places Housing Association
Manchester City Council,Regeneration Finance,Rents,2021-08-03,1907305532,3373.28,Threadneedle Curtis Limited
Manchester City Council,Regeneration Finance,Rents,2021-08-03,1907305531,917.07,Threadneedle Curtis Limited
Manchester City Council,Regeneration Finance,Rents,2021-08-03,1907305530,840.80,Threadneedle Curtis Limited
Manchester City Council,Highways Services,Refuse Collection,2021-08-03,5105770941,1200.39,Balfour Beatty Living Places Ltd
Manchester City Council,Manchester Leisure,Security,2021-08-03,5105770827,21538.03,Showsec International Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2021-08-03,5105770932,15648.04,Standard Fuels Oils
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2021-08-03,5105770936,15648.04,Standard Fuels Oils
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2021-08-03,5105770937,15626.27,Standard Fuels Oils
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2021-08-03,5105770788,2831.00,Standard Fuels Oils
Manchester City Council,Childrens & Education Services,Transport Coach Hire,2021-08-03,5105770933,103073.00,APTSL
Manchester City Council,Childrens & Education Services,Transport Coach Hire,2021-08-03,5105770786,1819.00,Saltax Ltd
