Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",2020-12-01,5101112205,500.00,David A.Wilcock Hauliers & Agricult
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2020-12-01,5101112257,13000.00,Arboricultural Services Treework
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2020-12-01,5101112256,9000.00,Arboricultural Services Treework
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2020-12-01,5101112210,10426.94,Seddon Construction Ltd
Manchester City Council,Childrens & Education Services,Transport Coach Hire,2020-12-01,5101112221,1003.20,Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,2020-12-01,5101112224,1003.20,Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,2020-12-01,5101112229,775.20,Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,2020-12-01,5101112228,684.00,Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,2020-12-01,5101112219,592.80,Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,2020-12-01,5101112218,547.20,Westfield Minibuses
Manchester City Council,Adult Social Care,Rents,2020-12-01,1907054776,2919.06,MCKOM SOLUTIONS LTD
Manchester City Council,Adult Social Care,Rents,2020-12-01,1907054775,3035.05,CAMEOLORD LTD
Manchester City Council,Adult Social Care,Equipment,2020-12-01,5101112262,1413.22,Sarabec Limited
Manchester City Council,Adult Social Care,Equipment,2020-12-01,5101112268,2215.00,Invacare Limited
Manchester City Council,Adult Social Care,Equipment,2020-12-01,5101112272,-2215.00,Invacare Limited
Manchester City Council,Adult Social Care,Equipment,2020-12-01,5101112264,534.00,Bentley Fielden Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2020-12-01,5101112207,13496.43,Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2020-12-01,5101112258,28639.42,Redacted Personal Information
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2020-12-01,5101112278,13782.14,Breakthrough Uk Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2020-12-01,5101112278,3707.88,Breakthrough Uk Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,2020-12-01,5101112206,10817.58,Richmond Fellowship
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2020-12-01,5101112203,15277.44,Rothwell Plumbing Services Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2020-12-01,5101112204,3687.62,Rothwell Plumbing Services Ltd
Manchester City Council,Chief Executives,Vehicle Hire Costs,2020-12-01,5101112225,642.42,Manchester Van Hire Ltd
Manchester City Council,Chief Executives,Vehicle Hire Costs,2020-12-01,5101112226,642.42,Manchester Van Hire Ltd
Manchester City Council,Chief Executives,Vehicle Hire Costs,2020-12-01,5101112222,-642.42,Manchester Van Hire Ltd
Manchester City Council,Chief Executives,Paper & Envelopes,2020-12-01,5101112239,1684.98,Premier Paper Group Ltd
Manchester City Council,Chief Executives,Professional fees,2020-12-01,1907054287,2087.50,Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Professional fees,2020-12-01,1907054286,1292.50,Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Professional fees,2020-12-01,1907054285,1218.75,Weightmans LLP Solicitors
Manchester City Council,Regeneration Finance,Security,2020-12-01,5101112276,449921.58,MITIE SECURITY LIMITED
Manchester City Council,Regeneration Finance,Security,2020-12-01,5101112279,449921.58,MITIE SECURITY LIMITED
Manchester City Council,Regeneration Finance,Security,2020-12-01,5101112277,-449921.58,MITIE SECURITY LIMITED
Manchester City Council,Highways Services,Compensation Payments,2020-12-01,1907047238,5250.00,JMW Solicitors
Manchester City Council,Highways Services,Compensation Payments,2020-12-01,1907052875,3500.00,Redacted Personal Information
Manchester City Council,Highways Services,Compensation Payments,2020-12-01,1907052879,4500.00,Redacted Personal Information
Manchester City Council,Highways Services,Compensation Payments,2020-12-01,1907051517,23000.00,Cheadle Solicitors
Manchester City Council,Highways Services,Legal Fees,2020-12-01,1907052879,5137.88,Redacted Personal Information
Manchester City Council,Highways Services,Compensation Payments,2020-12-01,1907047238,9210.50,JMW Solicitors
Manchester City Council,Highways Services,Compensation Payments,2020-12-01,1907050741,688.00,Department For Work & Pensions
Manchester City Council,Highways Services,Compensation Payments,2020-12-01,1907051517,6324.00,Cheadle Solicitors
Manchester City Council,Manchester Leisure,Equipment,2020-12-02,5101112315,1380.00,Groundwork Landscapes Ltd
Manchester City Council,Manchester Leisure,Equipment,2020-12-02,5101112499,694.77,Fast Hire UK
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2020-12-02,5101112293,1140.00,Plantscape
Manchester City Council,Manchester Leisure,Professional fees,2020-12-02,5101112353,36084.00,Walk The Plank Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2020-12-02,5101112350,3448.00,Healthy Me Healthy Communities
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2020-12-02,5101112322,1065.00,Friends of Alex Park Manchester
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2020-12-02,5101112358,4900.44,Manchester Vineyard
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2020-12-02,5101112473,993.60,Manchester Jewellers Network
Manchester City Council,Hospitality + Trading Services,Equipment,2020-12-02,5101112213,3515.00,Tents & Events Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2020-12-02,5101112471,1038.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2020-12-02,5101112472,1038.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Professional fees,2020-12-02,5101112399,1457.50,Jacobs UK Ltd
Manchester City Council,Environment and Operations,Construction Works,2020-12-02,5101112250,1140.98,GMCA
Manchester City Council,Environment and Operations,Construction Works,2020-12-02,5101112357,47500.00,Balfour Beatty Living Places Ltd
Manchester City Council,Environment and Operations,Construction Works,2020-12-02,5101112364,-2531.67,Temporary Foundation Hire Ltd
Manchester City Council,Childrens & Education Services,Internal Repairs and Maintenance for buildings,2020-12-02,5101112303,1296.88,Manchester School Services Limited
Manchester City Council,Childrens & Education Services,Contract Cleaning External,2020-12-02,5101112285,2231.25,Brighter Beginnings Day Nursery
Manchester City Council,Childrens & Education Services,Contract Cleaning External,2020-12-02,5101112282,1673.43,Brighter Beginnings Day Nursery
Manchester City Council,Childrens & Education Services,Contract Cleaning External,2020-12-02,5101112284,1673.43,Brighter Beginnings Day Nursery
Manchester City Council,Childrens & Education Services,Contract Cleaning External,2020-12-02,5101112287,2231.25,Brighter Beginnings (Charlestown)
Manchester City Council,Childrens & Education Services,Transport Coach Hire,2020-12-02,5101112351,88742.70,Westfield Minibuses
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907053772,1135.42,Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907054279,986.16,Avr Transcription Ltd
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,5101112399,1060.00,Jacobs UK Ltd
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907047143,666.73,Forensic Testing Service Ltd
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907038755,600.00,Central Chambers
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907038376,500.00,Central Chambers
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907047236,500.00,Central Chambers
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907042336,1727.92,Waddington & Son Solicitors
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907038396,825.00,Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,5101112356,1711.40,The Owl Centre
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907047243,687.50,Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,2020-12-02,1907052189,750.00,Redacted Personal Information
Manchester City Council,Childrens & Education Services,Private Finance and Public Private partnership initiatives,2020-12-02,5101112318,78307.29,NU3PS
Manchester City Council,Childrens & Education Services,Payments for services,2020-12-02,5101112384,3287.59,The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,2020-12-02,5101112433,683.46,NISAI Virtual Academy
Manchester City Council,Childrens & Education Services,Payments for services,2020-12-02,5101112373,35109.00,Aim Habonim
Manchester City Council,Childrens & Education Services,Payments for services,2020-12-02,5101112388,32165.00,Aim Habonim
Manchester City Council,Childrens & Education Services,Payments for services,2020-12-02,5101112401,6801.39,Keys PCE Limited
Manchester City Council,Childrens & Education Services,Payments for services,2020-12-02,5101112396,4179.00,Keys PCE Limited
Manchester City Council,Childrens & Education Services,Payments for services,2020-12-02,5101112403,3360.00,Keys PCE Limited
Manchester City Council,Childrens & Education Services,Payments for services,2020-12-02,5101112436,3000.00,Project Inc
Manchester City Council,Childrens & Education Services,Legal Fees,2020-12-02,1907046821,2625.00,11KBW
Manchester City Council,Adult Social Care,Rents,2020-12-02,5101108739,669.20,Wythenshawe Community Housing Group
Manchester City Council,Adult Social Care,Rents,2020-12-02,5101112361,9503.22,Eeven Homes Ltd.
Manchester City Council,Adult Social Care,Rents,2020-12-02,1907054685,2380.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Rents,2020-12-02,1907058254,1200.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Rents,2020-12-02,1907058253,550.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Rents,2020-12-02,1907058252,550.00,EVERMOUNT HOMES LTD
Manchester City Council,Adult Social Care,Rents,2020-12-02,1907054727,2991.75,Judge Properties
Manchester City Council,Adult Social Care,Rents,2020-12-02,1907058251,689.00,LETSMOVE
Manchester City Council,Adult Social Care,Rents,2020-12-02,1907058249,1300.00,SELDONS PROPERTY
Manchester City Council,Adult Social Care,Equipment,2020-12-02,5101112464,5673.60,Invacare Limited
Manchester City Council,Adult Social Care,Equipment,2020-12-02,5101112426,2400.00,Aidapt Bathrooms Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2020-12-02,5101112376,515196.50,Change Grow Live
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2020-12-02,5101112377,515196.50,Change Grow Live
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2020-12-02,5101112376,47632.42,Change Grow Live
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2020-12-02,5101112377,47632.42,Change Grow Live
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2020-12-02,5101112380,41637.75,Change Grow Live Services Ltd
Manchester City Council,Adult Social Care,Payments for services,2020-12-02,5101112313,2108.40,Slimming World
Manchester City Council,Adult Social Care,Supporting People Payments,2020-12-02,5101112260,10817.58,Richmond Fellowship
Manchester City Council,Adult Social Care,Supporting People Payments,2020-12-02,5101112365,-10817.58,Richmond Fellowship
Manchester City Council,Adult Social Care,Personal needs of client,2020-12-02,5101112359,2960.50,Sunrise Medical Ltd
Manchester City Council,Corporate Services,Discounted Car Parking,2020-12-02,1907054744,1592.65,National Car Parks Ltd Season Ticke
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2020-12-02,5101112449,570.00,Stagecoach Manchester
Manchester City Council,Corporate Services,Fees,2020-12-02,1907046818,3309.95,Marston Group Limited
Manchester City Council,Corporate Services,Fees,2020-12-02,1907050910,69317.00,Newlyn Plc
Manchester City Council,Corporate Services,Fees,2020-12-02,1907046818,-3309.95,Marston Group Limited
Manchester City Council,Corporate Services,Fees,2020-12-02,1907050910,-69317.00,Newlyn Plc
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2020-12-02,5101112298,5000.00,Eversheds Llp
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2020-12-02,5101112308,101472.68,Morgan Sindall  PLC
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2020-12-02,1907054660,8515.65,Tiegnmouth Maritime Services Limite
Manchester City Council,Corporate Services,Compensation Payments,2020-12-02,1907058250,6910.99,Redacted Personal Information
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,2020-12-02,5101112399,562.50,Jacobs UK Ltd
Manchester City Council,Housing General Fund,Building Works,2020-12-02,5101112399,560.00,Jacobs UK Ltd
Manchester City Council,Housing General Fund,Surplus property Fees,2020-12-02,5101112399,927.50,Jacobs UK Ltd
Manchester City Council,Housing General Fund,Surplus property Fees,2020-12-02,5101112399,927.50,Jacobs UK Ltd
Manchester City Council,Housing Revenue Account,Professional fees,2020-12-02,5101112399,1750.00,Jacobs UK Ltd
Manchester City Council,Housing Revenue Account,Professional fees,2020-12-02,5101112399,1575.00,Jacobs UK Ltd
Manchester City Council,Housing Revenue Account,Professional fees,2020-12-02,5101112399,750.00,Jacobs UK Ltd
Manchester City Council,Housing Revenue Account,Professional fees,2020-12-02,5101112399,750.00,Jacobs UK Ltd
