Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Expenditure Code,Payment Date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648907,324.96,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648645,326.00,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650397,331.42,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648905,348.87,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650394,349.67,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648879,352.47,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650587,382.27,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648778,479.20,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650583,488.28,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648866,493.88,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648886,494.77,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648875,534.34,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650586,536.92,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650411,549.80,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650396,559.23,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650407,601.15,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650393,734.86,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650384,1119.60,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648644,2075.60,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-27,200859,CITY ELECTRICAL FACTORS LTD,3650385,2586.51,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,200859,CITY ELECTRICAL FACTORS LTD,3648643,2945.45,IHMT
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-08,226238,CLARKES ENVIRONMENTAL LTD,1812752,736.98,373609/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,226238,CLARKES ENVIRONMENTAL LTD,1814411,1217.58,374429/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,226238,CLARKES ENVIRONMENTAL LTD,1814412,1359.54,374752/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,226238,CLARKES ENVIRONMENTAL LTD,1814410,1430.52,374242/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-08,226238,CLARKES ENVIRONMENTAL LTD,1812754,294.84,373536/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-29,226238,CLARKES ENVIRONMENTAL LTD,1814409,862.68,374304/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-01,226238,CLARKES ENVIRONMENTAL LTD,1812618,1395.03,373541/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-29,229563,COA BUILDING SERVICES LTD,1813240,275.00,370514/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-08,229563,COA BUILDING SERVICES LTD,1811136,280.00,371819/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-22,229563,COA BUILDING SERVICES LTD,1813239,300.00,369855/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-29,229563,COA BUILDING SERVICES LTD,1812759,336.00,370127/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-22,229563,COA BUILDING SERVICES LTD,1813238,460.00,370438/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-22,229563,COA BUILDING SERVICES LTD,1813237,660.00,370496/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-08,229563,COA BUILDING SERVICES LTD,1811137,680.00,367413/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-08,229563,COA BUILDING SERVICES LTD,1812755,1585.00,373974/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-29,229563,COA BUILDING SERVICES LTD,1812762,2930.00,363703/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,229563,COA BUILDING SERVICES LTD,1813236,9875.00,370691/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-08,229563,COA BUILDING SERVICES LTD,1811134,9841.00,368037/1
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-08,230894,COMMUNITY RESOURCING LIMITED,3649087,503.78,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-22,230894,COMMUNITY RESOURCING LIMITED,3650390,503.78,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-22,230894,COMMUNITY RESOURCING LIMITED,3650389,514.35,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-29,230894,COMMUNITY RESOURCING LIMITED,3651011,582.14,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-27,230894,COMMUNITY RESOURCING LIMITED,3651013,615.73,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-08,230894,COMMUNITY RESOURCING LIMITED,3649657,640.08,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-29,230894,COMMUNITY RESOURCING LIMITED,3651012,660.51,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-08,230894,COMMUNITY RESOURCING LIMITED,3649088,662.74,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-08,230894,COMMUNITY RESOURCING LIMITED,3649656,671.70,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-27,230894,COMMUNITY RESOURCING LIMITED,3650691,682.90,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-27,230894,COMMUNITY RESOURCING LIMITED,3651014,685.80,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-20,230894,COMMUNITY RESOURCING LIMITED,3650689,828.43,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-27,230894,COMMUNITY RESOURCING LIMITED,3650692,828.43,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-27,230894,COMMUNITY RESOURCING LIMITED,3650693,828.43,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-08,230894,COMMUNITY RESOURCING LIMITED,3649301,831.39,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-08,230894,COMMUNITY RESOURCING LIMITED,3649302,831.39,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-08,230894,COMMUNITY RESOURCING LIMITED,3649303,831.39,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-27,230894,COMMUNITY RESOURCING LIMITED,3651015,845.82,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-15,204787,DUFFIELDS,1812990,388.48,367342/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-01,204787,DUFFIELDS,1812619,29957.70,366366/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,223144,ENVIRONTEC LIMITED,1812622,225.00,370609/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-15,223144,ENVIRONTEC LIMITED,1812991,225.00,370613/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,223144,ENVIRONTEC LIMITED,1814431,250.00,373642/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-01,223144,ENVIRONTEC LIMITED,1812621,250.00,370936/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-01,223144,ENVIRONTEC LIMITED,1812625,250.00,372496/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-15,223144,ENVIRONTEC LIMITED,1812992,250.00,373045/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-29,223144,ENVIRONTEC LIMITED,1814420,250.00,373703/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-29,223144,ENVIRONTEC LIMITED,1814432,250.00,373863/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-08,218510,G & G SIGNS,3648659,330.10,
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,201,Materials,2022-06-01,218510,G & G SIGNS,3648218,665.90,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-08,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1811154,220.00,367063/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-08,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1811156,275.00,366800/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812773,370.00,366647/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-01,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1810929,380.00,362989/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-01,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1810926,385.00,367877/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-01,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1810928,450.00,372293/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812766,450.00,349605/8
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812770,450.00,373051/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-01,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1810925,585.00,363169/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812767,660.00,364581/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-01,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1810927,715.00,370063/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-08,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1811157,900.00,372402/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812768,900.00,372481/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812769,900.00,372387/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-15,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812628,1020.00,363478/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812764,1066.00,364026/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-08,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1811150,1100.00,366462/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812997,1700.00,374190/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1812999,2202.00,362925/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-08,221986,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1811382,4150.00,373347/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,220442,HAMBLETON ROOFING LTD,1814456,252.00,368115/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-08,220442,HAMBLETON ROOFING LTD,1812776,311.00,373270/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-08,220442,HAMBLETON ROOFING LTD,1812774,643.00,370898/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,220442,HAMBLETON ROOFING LTD,1814455,983.00,369629/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,220442,HAMBLETON ROOFING LTD,1814457,1210.00,363023/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,220442,HAMBLETON ROOFING LTD,1814460,1224.00,370163/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-08,220442,HAMBLETON ROOFING LTD,1812775,643.00,370897/1
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-06,215028,HAYS SPECIALIST RECRUITMENT,3649891,686.76,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,019,Temporary Staff,2022-06-06,215028,HAYS SPECIALIST RECRUITMENT,3649892,861.36,Temporary Staff
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,076,Heating  Maintenance,2022-06-08,225588,HOME UTILITY GROUP LIMITED,1811179,277.50,362575/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-01,225588,HOME UTILITY GROUP LIMITED,1810949,210.00,364131/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-15,225588,HOME UTILITY GROUP LIMITED,1811397,235.14,364255/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-15,225588,HOME UTILITY GROUP LIMITED,1811396,573.80,371221/3
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,225588,HOME UTILITY GROUP LIMITED,1813000,789.70,361429/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,225588,HOME UTILITY GROUP LIMITED,1813001,1466.85,372414/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,225588,HOME UTILITY GROUP LIMITED,1813002,8437.00,373730/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,225588,HOME UTILITY GROUP LIMITED,1813003,8976.00,373729/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-15,225588,HOME UTILITY GROUP LIMITED,1811398,2350.00,371926/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-15,225588,HOME UTILITY GROUP LIMITED,1811399,3694.00,372415/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-01,225263,HUNT & SYKES SAFETY SERVICES LTD,3649802,380.00,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,228106,INNERCITY ROOFING (YORKSHIRE) LTD,1813260,549.44,368421/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,228106,INNERCITY ROOFING (YORKSHIRE) LTD,1813261,642.45,367275/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,228106,INNERCITY ROOFING (YORKSHIRE) LTD,1814463,686.66,368090/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,228106,INNERCITY ROOFING (YORKSHIRE) LTD,1813259,1203.02,370369/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,223680,J HEWSON (BUILDERS) LTD,1814462,2990.00,355931/3
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-29,227632,KINGFISHER UPVC WINDOWS & DOORS LTD,1814470,679.66,371261/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-01,227632,KINGFISHER UPVC WINDOWS & DOORS LTD,1812630,720.88,370234/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-29,227632,KINGFISHER UPVC WINDOWS & DOORS LTD,1814469,724.43,370504/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-15,227632,KINGFISHER UPVC WINDOWS & DOORS LTD,1813006,902.48,361285/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-29,227632,KINGFISHER UPVC WINDOWS & DOORS LTD,1814467,902.48,370014/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-29,227632,KINGFISHER UPVC WINDOWS & DOORS LTD,1814468,1222.30,370490/3
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-29,227632,KINGFISHER UPVC WINDOWS & DOORS LTD,1814466,3782.69,367988/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-13,229367,LEE WALKER PIPE & WELDING SERVICES,3650129,280.00,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,367258/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,367871/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,368230/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,369780/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,370203/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,370598/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,370600/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,370601/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,370604/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,371359/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,073,Electrical Repairs & Maint,2022-06-01,220938,MATTHEW FLETCHER,1812627,35.00,371772/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-15,225249,McNAIR UTILITIES LIMITED,1813010,450.00,373882/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,224156,MEARS LIMITED,1814473,1252.30,365490/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,223679,METRO ROD LTD,1813269,350.00,374285/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,223679,METRO ROD LTD,1814477,390.00,374101/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,223679,METRO ROD LTD,1813268,623.00,373937/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,223679,METRO ROD LTD,1813267,643.00,372529/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-01,223679,METRO ROD LTD,1812635,690.00,370845/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,223679,METRO ROD LTD,1814478,881.00,373825/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,223679,METRO ROD LTD,1814475,921.00,373965/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-22,223679,METRO ROD LTD,1813266,1788.00,374299/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,098,Planned Repairs,2022-06-29,223679,METRO ROD LTD,1814480,4380.30,373868/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,087,Payments to Ext Contractors,2022-06-29,208594,NETSAT AERIALS LTD,1813020,280.00,374015/1
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,452,Tyres/Tubes,2022-06-06,200249,NORTHGATE VEHICLE HIRE LTD,3649862,298.65,
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,452,Tyres/Tubes,2022-06-01,200249,NORTHGATE VEHICLE HIRE LTD,3649863,302.79,
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-01,200249,NORTHGATE VEHICLE HIRE LTD,3649449,233.80,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-01,200249,NORTHGATE VEHICLE HIRE LTD,3649488,233.80,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-01,200249,NORTHGATE VEHICLE HIRE LTD,3649490,233.80,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-27,200249,NORTHGATE VEHICLE HIRE LTD,3650160,234.25,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-27,200249,NORTHGATE VEHICLE HIRE LTD,3650194,234.25,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-27,200249,NORTHGATE VEHICLE HIRE LTD,3650198,234.25,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-27,200249,NORTHGATE VEHICLE HIRE LTD,3650200,234.25,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-27,200249,NORTHGATE VEHICLE HIRE LTD,3650211,234.65,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-01,200249,NORTHGATE VEHICLE HIRE LTD,3649480,258.16,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-27,200249,NORTHGATE VEHICLE HIRE LTD,3650177,258.61,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-01,200249,NORTHGATE VEHICLE HIRE LTD,3649454,262.36,IHMT
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,461,Hire of Vehicles/Plant,2022-06-01,200249,NORTHGATE VEHICLE HIRE LTD,3649455,262.36,IHMT
