Body Name,Expenditure Category(T),Capital /Revenue,Service Label(T),Service Code(T),Expenditure Code,Expenditure Code(T),Payment date,Supplier Name,Supplier Name(T),Transaction No.,Net Amount,Narrative
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,201,Materials,2022-01-05,214921,BC SOFTWEAR LTD,6000348,560.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,201,Materials,2022-01-05,214921,BC SOFTWEAR LTD,6000421,768.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,212,Purchase of Chemicals,2022-01-05,200207,BRENNTAG UK LIMITED,6000413,360.40,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,243,Laundry,2022-01-26,204247,ELIS UK LIMITED,6000450,6578.85,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,241,Uniforms,2022-01-05,219233,EMBLAZON SCREENPRINTING & EMBROIDERY,6000412,330.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,178,Saleable Items,2022-01-24,201596,GERRARD INTERNATIONAL LTD,6000473,227.50,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,178,Saleable Items,2022-01-24,201596,GERRARD INTERNATIONAL LTD,6000475,530.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,201,Materials,2022-01-31,201596,GERRARD INTERNATIONAL LTD,6000453,315.80,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,201,Materials,2022-01-24,201596,GERRARD INTERNATIONAL LTD,6000474,422.25,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,246,Stationery/Office Consumables,2022-01-19,230580,GLADSTONE MRM LTD,6000455,2250.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,246,Stationery/Office Consumables,2022-01-19,230580,GLADSTONE MRM LTD,6000455,433.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-12,202192,J P LENNARD LTD,6000419,239.25,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-12,202192,J P LENNARD LTD,6000419,14.35,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-19,202192,J P LENNARD LTD,6000405,433.65,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-05,202192,J P LENNARD LTD,6000367,18.80,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-05,202192,J P LENNARD LTD,6000367,495.41,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,178,Saleable Items,2022-01-05,202192,J P LENNARD LTD,6000365,404.90,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-05,230068,JANGRO NETWORK LIMITED,6000369,2474.85,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,206,Cleaning Materials,2022-01-19,230068,JANGRO NETWORK LIMITED,6000409,259.75,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,206,Cleaning Materials,2022-01-05,230068,JANGRO NETWORK LIMITED,6000372,447.10,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,206,Cleaning Materials,2022-01-12,230068,JANGRO NETWORK LIMITED,6000420,578.61,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,243,Laundry,2022-01-05,202529,LEEDS ROAD LAUNDRY,6000401,1105.50,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-10,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000417,675.20,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,178,Saleable Items,2022-01-26,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000459,454.08,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,268,Other Consultants Fees,2022-01-24,230531,MR DAVID WEAKLEY,6000472,800.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,178,Saleable Items,2022-01-05,226645,NEOM LIMITED,6000428,-25.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,178,Saleable Items,2022-01-05,226645,NEOM LIMITED,6000298,569.22,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,178,Saleable Items,2022-01-12,226645,NEOM LIMITED,6000426,830.64,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,178,Saleable Items,2022-01-19,226645,NEOM LIMITED,6000468,1274.82,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,201,Materials,2022-01-12,226645,NEOM LIMITED,6000418,415.20,
