Supplier Name,Item Description,Category Family,Invoice GL Date,Spend
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-02-24,18888100.19
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-02-20,12055405.43
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-23,5369634.30
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-22,1479578.24
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,353779.12
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-02-16,201755.14
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,177906.21
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-16,161998.85
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-09,148726.72
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-21,125324.86
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,92645.98
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-21,91411.43
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-21,86853.27
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-21,76614.72
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-14,51455.60
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-28,46757.13
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-10,43885.04
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-21,41846.25
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-08,33334.98
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-02-15,32258.24
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,31841.20
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,31431.01
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-28,31226.70
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-20,30000.00
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-07,25502.86
EDF Energy Customers Plc,Procurement of utilities to operate the railway,Utilities,2017-02-09,28004022.35
EDF Energy Customers Plc,Procurement of utilities to operate the railway,Utilities,2017-02-27,485157.93
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-13,3724430.84
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-23,2426423.00
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-28,2250286.82
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-23,2232105.00
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-21,1845046.21
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-23,1464434.82
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-06,1239789.11
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-24,1226610.94
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-06,1143518.83
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-03,1092217.84
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-10,1001655.91
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-01,909137.89
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-28,880079.29
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-15,856353.11
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-27,726262.70
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-09,724738.28
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-20,619610.47
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-17,562831.94
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-02,342287.11
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-03,331403.70
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-16,309290.36
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-20,287374.00
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-24,177257.87
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-24,169301.92
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-08,132994.31
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-10,118614.73
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-02,118286.24
Siemens Rail Automation Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-28,86487.43
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-14,85081.03
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-06,82162.00
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-23,25428.34
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-01,4035891.07
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-24,2307747.54
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-16,1862858.68
Carillion Construction Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-21,1757262.71
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,1589946.00
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,1387805.04
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-01,1379545.54
Carillion Construction Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-22,1212927.41
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-17,1096526.95
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-14,701484.63
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-07,699228.35
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-28,477283.07
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-27,475675.81
