Supplier Name,Category Family,Invoice GL Date,Spend
1Spatial Group Ltd,Information Technology,2018-06-07,54607.60
1st Inrail Ltd,Track,2018-06-24,36338.47
1st Inrail Ltd,Track,2018-06-19,37077.27
ABB Ltd,Electrification and Fixed Plant,2018-06-15,964468.11
ABC Electrification Ltd,Electrification and Fixed Plant,2018-06-25,176973.49
ABC Electrification Ltd,Electrification and Fixed Plant,2018-06-12,2046958.48
ABC Electrification Ltd,Electrification and Fixed Plant,2018-06-12,1130089.72
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-06-17,58919.82
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-06-24,29546.98
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-05,52798.41
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-05,57814.44
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-28,175777.79
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-06-24,42525.44
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-06-28,30510.75
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-08,61498.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-08,40000.00
AECOM Infrastructure & Environment UK Ltd,General Civils,2018-06-12,45000.00
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-06-24,87507.57
AECOM Infrastructure & Environment UK Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-06-02,61907.65
AECOM Infrastructure & Environment UK Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-06-21,70914.63
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-14,45718.16
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-15,138082.45
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-10,50348.10
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-10,116513.70
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-10,291723.22
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-06-01,27018.66
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-19,55202.67
AECOM Infrastructure & Environment UK Ltd,General Civils,2018-06-28,121016.00
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-06-13,107618.34
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-12,34700.74
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-12,279290.95
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-12,99430.90
AECOM Infrastructure & Environment UK Ltd,Track,2018-06-12,110632.57
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-06-13,30204.93
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-06-09,36944.29
AECOM Ltd,General Civils,2018-06-17,43353.08
AECOM Ltd,General Civils,2018-06-24,34668.94
AECOM Ltd,Professional Services Direct,2018-06-17,181854.05
AECOM Ltd,Professional Services Direct,2018-06-17,59388.27
AECOM Ltd,Professional Services Direct,2018-06-17,63991.52
AECOM Ltd,Professional Services Direct,2018-06-17,225750.31
AECOM Ltd,General Civils,2018-06-24,48667.95
AECOM Ltd,General Civils,2018-06-28,193774.57
AECOM Ltd,Professional Services Direct,2018-06-12,146624.55
AECOM Ltd,General Civils,2018-06-18,37953.01
AECOM Ltd,General Civils,2018-06-17,52535.88
AECOM Ltd,General Civils,2018-06-17,119681.36
AEG Power Solutions Ltd,Electrification and Fixed Plant,2018-06-05,44186.00
AM1 Projects Ltd,Electrification and Fixed Plant,2018-06-20,36013.85
AMT Sybex,Information Technology,2018-06-29,57250.00
APB Group Ltd,General Civils,2018-06-04,40224.75
APB Group Ltd,General Civils,2018-06-15,29359.34
APCOA Parking (UK) Ltd,Facilities - Soft Services,2018-06-21,60668.00
APCOA Parking (UK) Ltd,Facilities - Soft Services,2018-06-01,201624.36
APCOA Parking (UK) Ltd,Facilities - Soft Services,2018-06-01,204870.60
APCOA Parking (UK) Ltd,Facilities - Soft Services,2018-06-04,27850.00
ASE Corporate Eyecare Ltd,HR and Training,2018-06-08,41190.96
Abellio East Anglia Ltd t/a Greater Anglia,Telecoms,2018-06-13,27531.69
Abellio East Anglia Ltd t/a Greater Anglia,Supplies and Services,2018-06-01,39530.75
Abellio London Ltd,Supplies and Services,2018-06-22,35750.00
Abellio London Ltd,Supplies and Services,2018-06-17,28600.00
Abellio ScotRail Ltd,Telecoms,2018-06-24,135503.11
Abellio ScotRail Ltd,Regulatory Charges,2018-06-02,101643.15
Abellio ScotRail Ltd,Regulatory Charges,2018-06-02,454623.29
Abellio ScotRail Ltd,Regulatory Charges,2018-06-24,55000.00
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-06-12,157348.91
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-06-01,312360.18
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-06-17,308143.20
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-06-17,409065.45
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-06-24,353444.40
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-06-28,349277.77
Addleshaw Goddard,Land & Property Acquisitions (incl. Business Consultancy),2018-06-12,41359.46
Addleshaw Goddard,Land & Property Acquisitions (incl. Business Consultancy),2018-06-20,35656.94
Aero Healthcare Ltd,Supplies and Services,2018-06-08,43935.00
Afiniti Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-06-12,69922.86
Aggreko UK Ltd,Electrification and Fixed Plant,2018-06-20,37727.54
Alan Dick Communications Ltd,Telecoms,2018-06-27,150000.20
Alan Dick Communications Ltd,Telecoms,2018-06-12,52089.00
Alan Dick Communications Ltd,Telecoms,2018-06-14,46436.29
Alan Dick Communications Ltd,Telecoms,2018-06-13,32594.05
Allstar Business Solutions Ltd,Road Fleet,2018-06-25,394740.07
Allstar Business Solutions Ltd,Road Fleet,2018-06-26,390081.83
Alstom Transport UK Ltd,Signalling,2018-06-06,46492.49
Alstom Transport UK Ltd,Signalling,2018-06-24,80279.57
Alstom Transport UK Ltd,Signalling,2018-06-25,65725.53
Alstom Transport UK Ltd,Signalling,2018-06-05,587488.72
Alstom Transport UK Ltd,Signalling,2018-06-25,1477207.96
Alstom Transport UK Ltd,Signalling,2018-06-15,39873.76
Alstom Transport UK Ltd,Signalling,2018-06-01,82858.00
Alstom Transport UK Ltd,Signalling,2018-06-01,51177.00
Alstom Transport UK Ltd,Signalling,2018-06-19,349442.66
Alstom Transport UK Ltd,Signalling,2018-06-26,132539.52
Alstom Transport UK Ltd,Signalling,2018-06-15,654073.59
Alstom Transport UK Ltd,Signalling,2018-06-01,59553.39
Alstom Transport UK Ltd,Signalling,2018-06-20,2739394.20
Alstom Transport UK Ltd,Signalling,2018-06-22,35813.71
Alstom Transport UK Ltd,Signalling,2018-06-13,161940.00
Alstom Transport UK Ltd,Professional Services Direct,2018-06-19,38613.21
Alstom Transport UK Ltd,Professional Services Direct,2018-06-19,37093.64
Altran UK Ltd,Professional Services Direct,2018-06-20,49834.49
Alun Griffiths (Contractors) Ltd,General Civils,2018-06-01,25747.18
Alun Griffiths (Contractors) Ltd,General Civils,2018-06-08,81159.92
Alun Griffiths (Contractors) Ltd,General Civils,2018-06-25,1082809.65
Alun Griffiths (Contractors) Ltd,General Civils,2018-06-25,772497.04
