Supplier Name,Item Description,Category Family,Invoice GL Date,Spend
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-18,132836259.96
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-12,1730766.34
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-19,1333475.42
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-21,985020.02
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-26,686570.99
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-24,685560.25
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-12,478971.12
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-06,315687.30
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-18,113466.93
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-21,106769.85
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-18,98360.96
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-21,96555.58
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-10,38567.82
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-04-21,15563457.15
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-04-13,14516415.91
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-20,4770136.77
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-24,2097319.84
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-25,572416.00
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-12,354096.35
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-20,308486.35
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-12,219959.35
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-28,116827.30
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-12,105365.61
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-28,104719.90
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-26,103818.08
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-04-07,79902.49
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-21,79502.02
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-12,68851.28
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-11,51475.98
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-28,50000.00
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-12,35942.66
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-12,34712.94
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-20,32694.89
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-28,28735.12
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-20,27260.25
Carillion Construction Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-13,7687962.32
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-25,4467382.61
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-24,3963079.49
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-18,2277470.59
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-20,2181097.05
Carillion Construction Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-04-13,1303970.00
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-18,846548.36
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-20,815928.29
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-11,780841.45
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-18,708552.89
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-18,694787.00
Carillion Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-04-18,683693.98
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-18,621633.00
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-13,590907.60
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-06,580978.77
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-01,576046.28
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-25,533834.93
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-25,411523.00
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-24,401615.21
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-12,373430.62
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-26,332555.88
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-20,306064.80
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-04-18,273069.91
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-04-13,268681.19
Carillion Construction Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-04-24,253324.70
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-04-18,246411.00
Carillion Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-04-28,241455.09
Carillion Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-04-28,230441.99
