Supplier Name,Category Family,Invoice GL Date,Spend
1st Inrail Ltd,Track,2021-02-06,59491.45
1st Inrail Ltd,Track,2021-02-06,49750.00
1st Inrail Ltd,Track,2021-02-06,69693.00
3Squared Ltd,Information Technology,2021-02-06,67138.89
ABP Associates Ltd,Facilities - Hard Services,2021-02-06,30584.84
ADJsoft Ltd t/a Dronecloud,Information Technology,2021-02-06,69160.00
AECOM Infrastructure & Environment UK Ltd,DSF National Multi-Discipline,2021-02-06,31277.47
AECOM Infrastructure & Environment UK Ltd,DSF National Multi-Discipline,2021-02-06,50371.83
AECOM Infrastructure & Environment UK Ltd,DSF National Multi-Discipline,2021-02-06,26364.09
AECOM Infrastructure & Environment UK Ltd,DSF National Multi-Discipline,2021-02-06,35081.35
AECOM Infrastructure & Environment UK Ltd,DSF National Multi-Discipline,2021-02-06,49266.78
AECOM Infrastructure & Environment UK Ltd,General Civils,2021-02-06,46624.83
AECOM Infrastructure & Environment UK Ltd,General Civils,2021-02-06,98303.16
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,26262.83
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,65875.97
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,46883.62
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,32774.74
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,65417.47
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,31432.78
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,45571.36
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,43521.47
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,41160.88
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,55844.41
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,36156.33
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,28633.90
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,80538.50
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,93628.04
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,35806.94
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,63075.50
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2021-02-06,33449.87
AECOM Infrastructure & Environment UK Ltd,Track,2021-02-02,115185.57
AECOM Ltd,General Civils,2021-02-06,121816.24
AECOM Ltd,General Civils,2021-02-06,133206.86
AECOM Ltd,General Civils,2021-02-06,232317.55
AECOM Ltd,General Civils,2021-02-06,38177.79
AECOM Ltd,General Civils,2021-02-06,75938.66
AECOM Ltd,General Civils,2021-02-06,43270.11
AECOM Ltd,General Civils,2021-02-06,70396.22
AECOM Ltd,Professional Services Direct,2021-02-06,42724.33
AECOM Ltd,Professional Services Direct,2021-02-06,126069.01
AECOM Ltd,Professional Services Direct,2021-02-06,73891.70
AECOM Ltd,Professional Services Direct,2021-02-06,85454.85
AECOM Ltd,Professional Services Direct,2021-02-06,193423.90
AECOM Ltd,Professional Services Direct,2021-02-06,37760.10
AECOM Ltd,Track,2021-02-01,112837.00
AECOM Ltd,Track,2021-02-01,246167.85
AECOM Ltd,Track,2021-02-01,100989.04
AECOM Ltd,Track,2021-02-01,27733.80
AECOM Ltd,Track,2021-02-04,114089.00
AECOM Ltd,Track,2021-02-04,40398.35
AECOM Ltd,Track,2021-02-08,57643.07
AECOM Ltd,Track,2021-02-09,714371.00
AECOM Ltd,Track,2021-02-10,44638.87
AECOM Ltd,Track,2021-02-25,38868.35
AECOM Ltd,Track,2021-02-25,60000.00
AECOM Ltd,Track,2021-02-25,100036.60
AECOM Ltd,Track,2021-02-26,68662.00
AECOM Ltd,Track,2021-02-26,177931.00
AECOM Ltd,Track,2021-02-26,595230.00
AM1 Projects Ltd,Electrification and Fixed Plant,2021-02-06,25820.07
AMCL Systems Engineering Ltd t/a Vertex Systems Engineering,Professional Services Direct,2021-02-06,33825.00
AMCL Systems Engineering Ltd t/a Vertex Systems Engineering,Professional Services Direct,2021-02-06,40300.00
AMT-Sybex Ltd,Information Technology,2021-02-06,27400.00
APCOA Parking (UK) Ltd,Facilities - Soft Services,2021-02-06,35559.20
APCOA Parking (UK) Ltd,Facilities - Soft Services,2021-02-06,74226.56
APCOA Parking (UK) Ltd,Facilities - Soft Services,2021-02-06,37326.88
APCOA Parking (UK) Ltd,Facilities - Soft Services,2021-02-06,69054.96
ATOC Ltd,HR and Training,2021-02-06,26307.69
Abellio East Midlands Ltd,Regulatory Charges,2021-02-06,27082.65
Abellio ScotRail Ltd,Regulatory Charges,2021-02-06,53720.00
Abellio ScotRail Ltd,Regulatory Charges,2021-02-06,62508.28
Abellio ScotRail Ltd,Regulatory Charges,2021-02-06,62500.00
Abellio ScotRail Ltd,Regulatory Charges,2021-02-06,45700.00
Abellio ScotRail Ltd,Regulatory Charges,2021-02-06,28807.34
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2021-02-06,117660.40
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2021-02-06,62440.90
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2021-02-06,44828.50
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2021-02-06,79561.90
Academy for Project Management Ltd,HR and Training,2021-02-06,42000.00
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2021-02-04,87700.00
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2021-02-05,859000.00
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2021-02-06,81158.14
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2021-02-06,194040.91
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2021-02-11,30000.00
Advanced Power Services Ltd,Electrification and Fixed Plant,2021-02-06,26692.31
Advanced Power Services Ltd,Electrification and Fixed Plant,2021-02-06,26751.01
Adviserplus Business Solutions Ltd,HR and Training,2021-02-06,106000.00
Aegis Engineering Systems (AES) Ltd,Professional Services Direct,2021-02-06,25581.46
Aero Healthcare Ltd,Supplies and Services,2021-02-06,31311.30
Afiniti Consultants LLP,Land & Property Acquisitions (incl. Business Consultancy),2021-02-06,85085.00
Alan Dick Communications Ltd,Railway Spares,2021-02-06,33736.00
Alan Dick Communications Ltd,Telecoms,2021-02-03,37996.85
Alan Dick Communications Ltd,Telecoms,2021-02-04,59402.10
Alan Dick Communications Ltd,Telecoms,2021-02-06,41336.71
Alan Dick Communications Ltd,Telecoms,2021-02-06,37996.84
Alchemmy Consulting Ltd,Land & Property Acquisitions (incl. Business Consultancy),2021-02-06,43001.67
Alchemmy Consulting Ltd,Land & Property Acquisitions (incl. Business Consultancy),2021-02-06,243926.04
Allstar Business Solutions Ltd,Road Fleet,2021-02-06,499797.26
Allstar Business Solutions Ltd,Road Fleet,2021-02-06,515556.77
Allstar Business Solutions Ltd,Road Fleet,2021-02-06,515735.41
Alstom Transport UK Ltd,Professional Services Direct,2021-02-26,1592410.95
Alstom Transport UK Ltd,Signalling,2021-02-01,166392.02
Alstom Transport UK Ltd,Signalling,2021-02-01,800423.15
Alstom Transport UK Ltd,Signalling,2021-02-02,52308.79
Alstom Transport UK Ltd,Signalling,2021-02-02,138376.83
Alstom Transport UK Ltd,Signalling,2021-02-04,481693.38
Alstom Transport UK Ltd,Signalling,2021-02-06,255316.88
Alstom Transport UK Ltd,Signalling,2021-02-06,68634.30
Alstom Transport UK Ltd,Signalling,2021-02-06,68634.30
Alstom Transport UK Ltd,Signalling,2021-02-06,136236.48
Alstom Transport UK Ltd,Signalling,2021-02-06,294048.63
Alstom Transport UK Ltd,Signalling,2021-02-06,30408.56
Alstom Transport UK Ltd,Signalling,2021-02-06,75184.37
