Supplier Name,Category Family,Invoice GL Date,Spend
1st Inrail Ltd,General Civils,2020-07-25,27378.00
1st Inrail Ltd,Track,2020-07-25,70382.80
1st Inrail Ltd,Track,2020-07-25,25563.16
1st Inrail Ltd,Track,2020-07-25,30781.43
1st Inrail Ltd,Track,2020-07-25,41435.99
ABB Ltd,Electrification and Fixed Plant,2020-07-03,467512.60
ABB Ltd,Electrification and Fixed Plant,2020-07-25,467512.60
ABB Ltd,Electrification and Fixed Plant,2020-07-27,2425649.85
ABP Associates Ltd,Facilities - Hard Services,2020-07-25,33183.37
AECOM Infrastructure & Environment UK Ltd,DSF National Multi-Discipline,2020-07-25,37713.46
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,71960.00
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,87887.61
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,28851.12
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,26338.78
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,31674.06
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,141295.08
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,113448.32
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,46774.01
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,34646.01
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,59815.67
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,132699.25
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-07-25,75980.01
AECOM Infrastructure & Environment UK Ltd,Track,2020-07-23,286072.10
AECOM Infrastructure & Environment UK Ltd,Track,2020-07-27,524945.00
AECOM Ltd,General Civils,2020-07-25,145021.98
AECOM Ltd,General Civils,2020-07-25,46800.00
AECOM Ltd,Professional Services Direct,2020-07-25,25629.71
AECOM Ltd,Professional Services Direct,2020-07-25,81996.97
AECOM Ltd,Professional Services Direct,2020-07-25,80621.38
AECOM Ltd,Professional Services Direct,2020-07-25,143456.28
AECOM Ltd,Track,2020-07-15,54721.11
AECOM Ltd,Track,2020-07-17,30700.34
AECOM Ltd,Track,2020-07-17,38280.90
AECOM Ltd,Track,2020-07-17,108609.86
AECOM Ltd,Track,2020-07-17,54563.94
AECOM Ltd,Track,2020-07-17,42922.62
AECOM Ltd,Track,2020-07-20,62793.00
AECOM Ltd,Track,2020-07-20,118731.19
AECOM Ltd,Track,2020-07-21,292606.00
AECOM Ltd,Track,2020-07-22,136239.19
AECOM Ltd,Track,2020-07-23,398977.69
AECOM Ltd,Track,2020-07-31,111222.53
AEG Power Solutions Ltd,Electrification and Fixed Plant,2020-07-25,43200.00
AMT-Sybex Ltd,Information Technology,2020-07-25,96000.00
AMT-Sybex Ltd,Information Technology,2020-07-25,123768.00
APCOA Parking (UK) Ltd,Facilities - Soft Services,2020-07-25,69054.96
APCOA Parking (UK) Ltd,Facilities - Soft Services,2020-07-25,86192.00
APCOA Parking (UK) Ltd,Facilities - Soft Services,2020-07-25,75418.64
APCOA Parking (UK) Ltd,Facilities - Soft Services,2020-07-25,42659.00
APCOA Parking (UK) Ltd,Facilities - Soft Services,2020-07-25,37326.88
APCOA Parking (UK) Ltd,Facilities - Soft Services,2020-07-25,35559.20
APCOA Parking (UK) Ltd,Facilities - Soft Services,2020-07-25,75418.64
APCOA Parking (UK) Ltd,Facilities - Soft Services,2020-07-25,37326.88
APCOA Parking (UK) Ltd,Facilities - Soft Services,2020-07-25,69054.96
AXA PPP Healthcare Administration Services Ltd T/A PPP Healthcare,HR and Training,2020-07-25,109072.00
Abellio East Anglia Ltd t/a Greater Anglia,Regulatory Charges,2020-07-25,40000.00
Abellio East Midlands Ltd,Regulatory Charges,2020-07-25,53808.00
Abellio Greater Anglia Ltd,Professional Services Direct,2020-07-25,466194.73
Abellio ScotRail Ltd,Recruitment Services,2020-07-25,252089.00
Achilles Information Ltd,Regulatory Charges,2020-07-03,109000.00
Achilles Information Ltd,Regulatory Charges,2020-07-27,71000.00
Acorn Rail Ltd,General Civils,2020-07-25,40647.76
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2020-07-21,167500.00
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2020-07-25,61957.10
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2020-07-25,49027.20
Advanced Power Services Ltd,Electrification and Fixed Plant,2020-07-25,48822.42
Advanced Power Services Ltd,Electrification and Fixed Plant,2020-07-25,26224.63
Adviserplus Business Solutions Ltd,HR and Training,2020-07-25,106000.00
Aeon Green Ltd,Information Technology,2020-07-25,36950.00
Aero Healthcare Ltd,Supplies and Services,2020-07-25,88161.16
Afiniti Consultants LLP,Land & Property Acquisitions (incl. Business Consultancy),2020-07-25,69525.63
Airwave Solutions Ltd,Telecoms,2020-07-25,34525.94
Airwave Solutions Ltd,Telecoms,2020-07-25,61678.09
Airwave Solutions Ltd,Telecoms,2020-07-25,47090.60
Alan Dick Communications Ltd,Telecoms,2020-07-25,25921.56
Alchemmy Consulting Ltd,Land & Property Acquisitions (incl. Business Consultancy),2020-07-25,99869.92
Allstar Business Solutions Ltd,Road Fleet,2020-07-25,403234.00
Allstar Business Solutions Ltd,Road Fleet,2020-07-25,427722.71
Allstar Business Solutions Ltd,Road Fleet,2020-07-25,423062.76
Allstar Business Solutions Ltd,Road Fleet,2020-07-25,424477.22
Allstar Business Solutions Ltd,Road Fleet,2020-07-25,399790.80
Alstom Academy for Rail,Signalling,2020-07-25,28362.11
Alstom Product and Services Limited (APSL),Professional Services Direct,2020-07-08,718676.40
Alstom Product and Services Limited (APSL),Signalling,2020-07-25,86292.60
Alstom Product and Services Limited (APSL),Signalling,2020-07-25,36462.20
Alstom Transport UK Ltd,Signalling,2020-07-02,127475.61
Alstom Transport UK Ltd,Signalling,2020-07-10,363785.32
Alstom Transport UK Ltd,Signalling,2020-07-13,276027.20
Alstom Transport UK Ltd,Signalling,2020-07-16,1403632.66
Alstom Transport UK Ltd,Signalling,2020-07-17,395264.54
Alstom Transport UK Ltd,Signalling,2020-07-17,142409.72
Alstom Transport UK Ltd,Signalling,2020-07-20,295660.96
Alstom Transport UK Ltd,Signalling,2020-07-21,118626.95
