Body name,Service label,Service divison label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,2011-08-03,1108-00001,707.20,R,A Andrews & Sons (Marbles & Tiles)
East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,2011-08-23,1108-00002,707.20,R,A Andrews & Sons (Marbles & Tiles)
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Fostering - Placement Support,550,2011-08-01,1108-00003,12200.00,R,A C Construction Ltd
Leeds City Council,City Development,Highways,Capital,Construction,3,2011-08-17,1108-00004,602.00,C,A D D Loop Cutting Services Ltd
Leeds City Council,City Development,Highways,Supplies and Services,Other Hired And Contracted Services,265,2011-08-31,1108-00005,1525.52,R,A D D Loop Cutting Services Ltd
East - North East,East - North East,Construction Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-19,1108-00006,1205.82,R,A D Simpson Construction Ltd
Leeds City Council,City Development,Highways,Capital,Construction,3,2011-08-24,1108-00007,186865.05,C,A E Yates Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,2011-08-31,1108-00008,2508.00,R,A J HPump Supply & Repair Ltd
Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,2011-08-16,1108-00009,450.00,R,A J Paraskos
Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,2011-08-19,1108-00010,450.00,R,A J Paraskos
Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,2011-08-19,1108-00011,450.00,R,A J Paraskos
Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,2011-08-19,1108-00012,450.00,R,A J Paraskos
Leeds City Council,City Development,Recreation,Supplies and Services,Resaleable Materials,204,2011-08-24,1108-00013,680.40,R,A J Promotions
Leeds City Council,City Development,Recreation,Supplies and Services,Resaleable Materials,204,2011-08-26,1108-00014,1074.95,R,A J Promotions
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-12,1108-00015,13000.00,R,A Lowrie Care Service Limited
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-12,1108-00016,14000.00,R,A Lowrie Care Service Limited
Leeds City Council,Central & Corporate Functions,Customer Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-02,1108-00017,675.25,R,A Mohammed
Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Transport,Public Transport Expenses,310,2011-08-12,1108-00018,2305.00,R,A Zoom Taxis
Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Operational Materials,205,2011-08-31,1108-00019,498.75,R,Aalco Leeds
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,2011-08-03,1108-00020,1170.76,R,Abbey Lea Residential Care Home
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,2011-08-31,1108-00021,1170.76,R,Abbey Lea Residential Care Home
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,2011-08-03,1108-00022,1163.80,R,Abbeydale Care Home
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,2011-08-31,1108-00023,1163.80,R,Abbeydale Care Home
Leeds City Council,Environment & Neighbourhoods,Belle Isle,Capital,Construction,3,2011-08-02,1108-00024,1712.95,C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,2011-08-03,1108-00025,2890.00,C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,South South East,Capital,Construction,3,2011-08-05,1108-00026,5734.00,C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,2011-08-10,1108-00027,4150.00,C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,2011-08-22,1108-00028,4150.00,C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,2011-08-22,1108-00029,2890.00,C,Able Bathing & Building Contractors Ltd
Leeds City Council,City Development,Recreation,Supplies and Services,Other Hired And Contracted Services,265,2011-08-19,1108-00030,4645.00,R,Abyss Recycling
Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,2011-08-04,1108-00031,1044.00,R,Academic Appointments Ltd
Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,2011-08-11,1108-00032,1044.00,R,Academic Appointments Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,2011-08-04,1108-00033,2241.00,C,Accent Homes Ltd
Leeds City Council,Central & Corporate Functions,Leeds Shared Services,Supplies and Services,Computer Software & Equipment,214,2011-08-24,1108-00034,5162.60,R,Accenture (Uk) Ltd
East - North East,East - North East,Construction Services,Supplies and Services,Miscellaneous Expenditure,208,2011-08-15,1108-00035,39360.00,R,Access Platform Sales Limited
East - North East,East - North East,Construction Services,Supplies and Services,Miscellaneous Expenditure,208,2011-08-15,1108-00036,528.00,R,Access Platform Sales Limited
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-01,1108-00037,1643.28,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-01,1108-00038,895.44,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-01,1108-00039,1230.00,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,2011-08-01,1108-00040,808.01,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-01,1108-00041,1436.64,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,2011-08-02,1108-00042,1752.96,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,2011-08-04,1108-00043,808.01,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-04,1108-00044,1530.12,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,2011-08-05,1108-00045,657.36,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,2011-08-05,1108-00046,511.28,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-11,1108-00047,1431.72,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,2011-08-11,1108-00048,438.24,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-11,1108-00049,1161.12,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-11,1108-00050,1062.72,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,2011-08-11,1108-00051,1173.21,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-11,1108-00052,2169.72,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,2011-08-19,1108-00053,808.01,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,2011-08-19,1108-00054,1886.82,R,Acclaimed Security Services
Leeds City Council,Insurance,Insurance,Supplies and Services,Insurance Claims,248,2011-08-04,1108-00055,628.19,R,Accountant General Of The Senior Court
Leeds City Council,Childrens Services,Learning Skills & Universal,Supplies and Services,Other Hired And Contracted Services,265,2011-08-01,1108-00056,547.50,R,Ace Container Services Limited
West - North West,West - North West,Corporate Services,Supplies and Services,Information Technology - Agency,215,2011-08-08,1108-00057,2051.68,R,Achievetech Solutions Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,2011-08-03,1108-00058,1185.08,R,Ackworth House
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Services Rendered By Schools,506,2011-08-26,1108-00059,14850.00,R,Ackworth School
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-01,1108-00060,1120.00,R,Acm
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-12,1108-00061,1570.00,R,Acm
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-31,1108-00062,780.00,R,Acm
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-01,1108-00063,1234.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-01,1108-00064,1184.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-01,1108-00065,1234.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-01,1108-00066,1234.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,"Crockery, Cutlery & Utensils",221,2011-08-03,1108-00067,970.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Furniture And Equipment,203,2011-08-09,1108-00068,4748.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,"Crockery, Cutlery & Utensils",221,2011-08-30,1108-00069,1660.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-30,1108-00070,1091.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Furniture And Equipment,203,2011-08-30,1108-00071,735.00,R,Acme
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Furniture And Equipment,203,2011-08-30,1108-00072,3320.00,R,Acme
Leeds City Council,City Development,"Libraries, Arts & Heritage",Supplies and Services,Operational Furniture And Equipment,203,2011-08-26,1108-00073,22000.00,R,Acorn Event Solutions Ltd
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,2011-08-05,1108-00074,444.54,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,2011-08-05,1108-00075,714.67,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,2011-08-08,1108-00076,2720.76,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,2011-08-12,1108-00077,4650.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,2011-08-12,1108-00078,4774.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,2011-08-12,1108-00079,4774.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Fees,559,2011-08-16,1108-00080,2000.00,R,Action For Children
